mz_rt,Yellow,Red,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
1122.0248_4.125,800.0176629166667,21079.459450000002,26.34874256794469,9.32e-8,4.719662209149231,7.030584087646019
1122.0249_4.032,729.1239854166666,19972.428533333332,27.392362523802927,1.83e-8,4.775701795190862,7.73754891026957
201.0227_4.086,3667.599325,338825.9195,92.38357014366612,3.77e-9,6.52956439479848,8.423658649794207
201.0228_4.555,8611.553116666666,1459009.2466666666,169.42463535908786,8.71e-10,7.404499856217572,9.059981844992336
215.0021_3.307,25458.18825,41639.901333333335,1.6356191934959605,0.00318,0.7098368976656971,2.4975728800155674
217.0172_4.4,16553.932166666666,66284.46233333333,4.004152105129745,0.00138,2.001496778656519,2.8601209135987635
217.0173_3.88,15097.575833333332,29370.712,1.9453925798573293,0.0244,0.9600613201793302,1.6126101736612706
253.0503_5.048,501.6828541666667,29906.019366666667,59.61140413367891,1.56e-7,5.897516450964718,6.806875401645539
255.0674_5.078,1231.4227875,11540.338391666666,9.371548511860446,0.00225,3.2282874519187383,2.6478174818886377
257.0816_6.056,588.3885708333333,11504.552341666667,19.552644140202787,8.06e-6,4.289291813929591,5.09366495819491
297.0975_4.072,2189.9549583333333,129868.26741666667,59.30179838744401,1.32e-7,5.890003951518774,6.87942606879415
297.0975_4.498,2061.7811833333335,277194.26383333333,134.44407489702004,7.24e-9,7.0708623651785505,8.140261433802854
333.0047_4.33,2811.1463416666666,76562.82341666667,27.235445654982964,2.35e-6,4.767413569151218,5.628932137728264
333.0066_3.893,2025.3607083333334,28658.545658333336,14.14984774831364,5.09e-6,3.8227146246982584,5.293282217663241
335.0244_4.36,1546.5150833333332,54492.522666666664,35.23568780798075,2.16e-7,5.138965470941825,6.665546248849069
363.021_3.933,1985.60295,12356.957891666667,6.223277363516542,0.00136,2.637674546731891,2.8664610916297826
363.0234_4.453,5616.266391666667,32143.423258333332,5.72327254740396,0.00161,2.516840310962649,2.7931741239681505
365.0863_4.095,1544.7810666666667,20611.687,13.342788466766985,5.88e-6,3.7379882971504794,5.230622673923862
366.0851_4.55,3708.8000279166667,8947.4515,2.4124922974145964,0.00156,1.2705243361633072,2.8068754016455384
393.0495_3.605,3528.5799166666666,14936.056166666667,4.2328802292725936,2.13e-4,2.081639667706874,3.6716203965612624
429.0815_4.032,1275.8560833333333,42218.705916666666,33.090492311926766,5.64e-9,5.048344850747297,8.248720896016657
429.082_3.756,1989.0683129166666,58037.625,29.178296503500494,3.64e-7,4.866823752725361,6.438898616350944
429.083_3.201,1354.2686879166667,23117.847216666665,17.07035496200529,9.65e-7,4.093421153053854,6.015472686656207
431.0979_3.907,1319.4045016666666,47069.88858333333,35.675100792724926,5.87e-7,5.156845600634904,6.231361898752386
433.1136_4.519,16010.418066666667,62077.89641666666,3.877343874355877,3.13e-4,1.955068690680508,3.5044556624535517
433.113_4.886,1100.4828125,161626.22008333335,146.8684637756061,1.77e-9,7.198380837276381,8.752026733638193
445.0782_4.484,2414.1795333333334,26888.40233333333,11.137697906090551,6.54e-6,3.4773791621540835,5.184422251675732
447.0928_3.777,3040.305675,9156.033116666667,3.011550184560527,0.0147,1.5905063002336575,1.832682665251824
447.092_4.187,7131.904008333334,22896.246958333333,3.2103975223979484,0.0333,1.6827519478410704,1.47755576649368
449.1074_4.301,1820.0025683333333,9116.265616666667,5.008930083551961,8.23e-4,2.324502474079976,3.08460016478773
459.093_3.801,1317.19955,27391.31375,20.795113200577696,3.67e-9,4.378172633368509,8.435333935747911
493.1666_4.573,3091.8069833333334,14010.166625,4.5313846241123965,1.38e-4,2.1799519520627624,3.8601209135987635
495.2232_5.846,11077.011733333333,18829.178975,1.6998428302046997,0.0213,0.7654013589708281,1.6716203965612624
497.0695_3.785,1256.9848416666666,12521.605866666667,9.96162042023034,7.17e-6,3.316380439289515,5.1444808443322
509.0384_0.699,1316.4167433333332,11716.472666666667,8.900276243068042,7.33e-6,3.153850114541901,5.134896025358872
509.0409_3.291,2591.3607916666665,19679.665,7.59433617398478,3.22e-6,2.924923863298065,5.492144128304169
521.1082_4.508,1283.3875833333334,12096.440175,9.425399101635378,5.62e-5,3.236553708010986,4.250263684430939
525.0334_3.606,1264.6345566666666,13008.269025,10.286188176991853,9.54e-6,3.362636546800391,5.020451625295905
605.1126_3.023,1034.4060933333333,5957.074175,5.758931828991417,4.03e-5,2.525801244319469,4.394694953858891
617.1836_4.515,1114.9169316666666,10547.85731,9.460666539732447,5.8e-4,3.2419418304664784,3.2365720064370627
639.0783_3.758,787.8455695833334,5953.584908333333,7.556791759940969,1.87e-5,2.917773867461853,4.728158393463501
