Feature_ID,mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1122.0248_4.125,1122.0248_4.125,22374.650581818183,694.3278177272728,32.22490876868021,1.07e-8,5.010104369093871,7.97061622231479,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1
1122.0249_4.032,1122.0249_4.032,21166.980490909093,851.9500031818181,24.845331782212295,1.51e-7,4.634902902517237,6.82102305270683,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1
194.0458_3.657,194.0458_3.657,41930.102636363634,17814.721327272728,2.3536771564409733,0.0141,1.2349164458038906,1.85078088734462,194.0458,3.657,13268.275000000001,194.0458_3.657,194.0458_3.657,1
199.0068_4.328,199.0068_4.328,70066.71381818182,44838.99845454546,1.5626288773869559,0.0148,0.6439751805584295,1.8297382846050425,199.0068,4.328,30964.303,199.0068_4.328,199.0068_4.328,1
208.0615_3.836,208.0615_3.836,7578.261381818182,25563.876727272727,0.29644413727489705,0.00839,-1.7541678298110854,2.0762380391712996,208.0615,3.836,8988.825499999999,208.0615_3.836,208.0615_3.836,1
209.0532_3.773,209.0532_3.773,1987.6878390909092,3026.178627272727,0.6568309686603881,0.0392,-0.6064059451171258,1.4067139329795428,209.0532,3.773,2141.1334500000003,Cluster_209.0532_3.773,209.0532_3.773;883.1453_3.774,2
211.0611_3.158,211.0611_3.158,5905.239527272727,30055.877245454547,0.19647536749790914,0.0103,-2.3475796445724453,1.9871627752948278,211.0611,3.158,8877.771499999999,211.0611_3.158,211.0611_3.158,1
215.0021_3.307,215.0021_3.307,38825.228727272726,10573.490209090909,3.671940670441199,2.86e-5,1.8765427485252082,4.543633966870957,215.0021,3.307,18056.441,215.0021_3.307,215.0021_3.307,1
217.0172_4.4,217.0172_4.4,65331.618,13060.870872727271,5.0020874286737325,1.7e-4,2.3225302737947158,3.769551078621726,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1
217.0173_3.88,217.0173_3.88,29268.181727272728,12700.474463636363,2.3044951439469883,0.00433,1.2044507276177254,2.3635121036466344,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1
218.0821_5.22,218.0821_5.22,5229.383936363636,28132.527518181818,0.18588390015735093,0.0194,-2.4275262744363126,1.712198270069774,218.0821,5.22,8452.2785,218.0821_5.22,218.0821_5.22,1
223.0623_0.802,223.0623_0.802,2087.054309090909,3327.2749727272726,0.6272563362505054,0.0274,-0.6728729557479144,1.562249437179612,223.0623,0.802,2785.21265,223.0623_0.802,223.0623_0.802,1
225.0623_0.658,225.0623_0.658,11123.902327272728,18182.6377,0.611787052616284,0.0214,-0.7088985197400757,1.6695862266508092,225.0623,0.658,12963.181,225.0623_0.658,225.0623_0.658,1
232.9759_0.708,232.9759_0.708,44853.782181818184,27973.44027272727,1.603441755626619,0.0043,0.6811719494173674,2.3665315444204134,232.9759,0.708,37385.9745,232.9759_0.708,232.9759_0.708,1
247.0798_4.12,247.0798_4.12,3272.8539681818183,10209.474313636363,0.3205702730267322,0.0322,-1.6412874465169829,1.4921441283041692,247.0798,4.12,2807.0637500000003,247.0798_4.12,247.0798_4.12,1
275.0224_3.427,275.0224_3.427,4871.142054545455,19427.450699999998,0.2507350104635939,0.0215,-1.9957646392193271,1.6675615400843946,275.0224,3.427,4806.38385,Cluster_275.0224_3.427,275.0224_3.427;297.0036_3.423,2
295.0806_3.721,295.0806_3.721,6857.608818181818,3263.7214999999997,2.101162374970358,0.014,1.0711876558294804,1.853871964321762,295.0806,3.721,2530.0080500000004,295.0806_3.721,295.0806_3.721,1
295.0815_4.242,295.0815_4.242,15799.72600909091,5949.874436363636,2.655472174761922,0.00144,1.4089684122990092,2.8416375079047502,295.0815,4.242,3948.1325500000003,295.0815_4.242,295.0815_4.242,1
331.1218_3.932,331.1218_3.932,1820.6610527272728,13539.406781818183,0.13447125727636788,0.00969,-2.8946302597726428,2.0136762229492344,331.1218,3.932,2517.19545,331.1218_3.932,331.1218_3.932,1
343.1396_5.368,343.1396_5.368,29857.00727272727,97617.63654545454,0.3058566907510068,0.00855,-1.7090722588714715,2.068033885271827,343.1396,5.368,41856.735,Cluster_343.1396_5.368,343.1396_5.368;344.143_5.362,2
345.1554_3.382,345.1554_3.382,8293.679763636363,27778.0255,0.2985698088453538,0.0176,-1.7438598062776656,1.75448733218585,345.1554,3.382,13381.6485,345.1554_3.382,345.1554_3.382,1
345.1554_4.506,345.1554_4.506,78212.88172727273,635953.6905454545,0.12298518412589116,0.00622,-3.0234435685549514,2.2062096153091812,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9
345.1933_4.201,345.1933_4.201,1866.0455454545454,12357.691869545455,0.15100275724249654,0.0497,-2.7273532021333056,1.3036436112666678,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2
347.1678_4.233,347.1678_4.233,7213.851354545454,15326.260563636364,0.4706856786489261,0.0362,-1.0871641374550478,1.4412914294668342,347.1678,4.233,7930.8678,347.1678_4.233,347.1678_4.233,1
351.0199_0.667,351.0199_0.667,11264.156027272727,21746.72072727273,0.5179703261258266,0.0321,-0.9490586448082866,1.493494967595128,351.0199,0.667,13734.188,Cluster_351.0199_0.667,151.0066_0.66;351.0199_0.667,2
355.1037_4.621,355.1037_4.621,2806.840927272727,5865.0087,0.47857404325294983,9.22e-4,-1.0631859443247114,3.0352690789463708,355.1037,4.621,3691.01965,355.1037_4.621,355.1037_4.621,1
359.1344_4.351,359.1344_4.351,5723.096772727273,16034.82160909091,0.35691677227531954,0.0152,-1.4863403966108826,1.8181564120552274,359.1344,4.351,8483.775000000001,359.1344_4.351,359.1344_4.351,1
359.1353_0.806,359.1353_0.806,2024.4731909090908,3950.4439636363636,0.5124672592610512,0.011,-0.9644682588752624,1.958607314841775,359.1353,0.806,3162.0041499999998,359.1353_0.806,359.1353_0.806,1
359.1353_3.002,359.1353_3.002,3492.6469545454547,6340.630190909091,0.5508359341872759,0.0138,-0.8603054170724977,1.8601209135987635,359.1353,3.002,4470.37775,Cluster_359.1353_3.002,139.0401_3.003;227.0551_2.986;277.0329_2.993;359.1353_3.002;360.1388_3.006;457.0623_2.989;771.1944_2.999;855.1197_2.99;861.1356_3.001;875.1494_2.993,10
361.1499_3.066,361.1499_3.066,3888.546018181818,14769.306381818182,0.2632856220633915,0.0131,-1.9252993564286291,1.8827287043442358,361.1499,3.066,6873.502350000001,361.1499_3.066,361.1499_3.066,1
361.1502_3.49,361.1502_3.49,5782.323872727273,14036.01061818182,0.41196348663608356,0.0107,-1.279411621516383,1.9706162223147903,361.1502,3.49,8128.0475,361.1502_3.49,361.1502_3.49,1
365.0863_4.095,365.0863_4.095,22118.08490909091,1468.1123545454545,15.065662270745579,2.93e-6,3.913192188577765,5.533132379645891,365.0863,4.095,1797.8510500000002,365.0863_4.095,365.0863_4.095,1
366.0851_4.55,366.0851_4.55,8744.158454545455,2387.532831818182,3.662424381358769,0.00104,1.872798972295311,2.9829666607012197,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1
370.0972_3.765,370.0972_3.765,11410.256127272727,20222.7996,0.5642273252449541,0.00911,-0.8256515582783457,2.0404816230270018,370.0972,3.765,14124.8815,370.0972_3.765,370.0972_3.765,1
370.097_3.208,370.097_3.208,6126.230490909091,10260.418172727273,0.5970741530976711,0.0265,-0.7440179780323922,1.576754126063192,370.097,3.208,7323.2762,370.097_3.208,370.097_3.208,1
371.0976_0.801,371.0976_0.801,7491.048981818181,11725.997527272728,0.638841084896636,0.0274,-0.6464709971184591,1.562249437179612,371.0976,0.801,8335.4335,371.0976_0.801,371.0976_0.801,1
371.0978_3.481,371.0978_3.481,6790.473163636364,30747.65930909091,0.2208452063090435,0.00614,-2.1788925774707084,2.2118316288588322,371.0978,3.481,9853.008000000002,371.0978_3.481,371.0978_3.481,1
372.0951_0.795,372.0951_0.795,2842.9195818181815,4321.073872727273,0.6579196897700467,0.0146,-0.6040166055191385,1.8356471442155629,372.0951,0.795,3588.6447,372.0951_0.795,372.0951_0.795,1
373.1141_3.685,373.1141_3.685,7890.090645454546,16755.486454545455,0.47089594604483176,0.00754,-1.086519792394735,2.122628654130226,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1
375.1278_3.109,375.1278_3.109,5465.918336363637,23876.17632727273,0.22892770858456735,0.0146,-2.1270360028184436,1.8356471442155629,375.1278,3.109,9196.405999999999,375.1278_3.109,375.1278_3.109,1
375.1294_0.798,375.1294_0.798,14513.844381818182,60874.645363636366,0.2384218305522658,0.0137,-2.0684117559514927,1.8632794328435933,375.1294,0.798,21387.654000000002,Cluster_375.1294_0.798,361.1497_0.795;375.1294_0.798,2
393.0495_3.605,393.0495_3.605,14338.742,2688.786390909091,5.332793281191819,4.49e-5,2.4148914049045302,4.347753658996677,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1
393.0776_3.464,393.0776_3.464,3200.4358636363636,8653.7114,0.3698339031315932,0.0139,-1.4350506104431298,1.856985199745905,393.0776,3.464,3313.5073,393.0776_3.464,393.0776_3.464,1
4-ethylphenol sulfate,201.0227_4.086,350758.40763636364,3629.8155181818183,96.63257151208037,4.55e-8,6.594437648737017,7.341988603342887,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2
