mz_rt,pre,post,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
178.0524_2.721,325420.9203333333,830387.66,2.551734102249548,0.0465,1.3514780041216519,1.332547047110046,178.0524,2.721,460841.17000000004,178.0524_2.721,178.0524_2.721,1
215.0021_3.307,11150.286033333334,25458.18825,2.28318701187519,5.48e-4,1.1910490330427517,3.261219441515631,215.0021,3.307,18056.441,215.0021_3.307,215.0021_3.307,1
230.9963_3.838,8117.027783333334,18045.258875,2.2231362706497406,0.00431,1.152596383346961,2.3655227298392685,230.9963,3.838,7759.3057,230.9963_3.838,230.9963_3.838,1
230.9968_3.178,18871.471708333334,30035.762583333333,1.5915961959697096,0.00873,0.6704743560026735,2.0589857562944305,230.9968,3.178,23767.8875,230.9968_3.178,230.9968_3.178,1
230.9969_3.457,8633.579233333334,17953.031408333332,2.0794424795475996,1.49e-4,1.0561967784590691,3.826813731587726,230.9969,3.457,8095.5585,230.9969_3.457,230.9969_3.457,1
240.9816_3.419,5687.114691666667,10631.894841666666,1.8694707981264365,0.00238,0.9026299359047141,2.623423042943488,240.9816,3.419,4639.444600000001,240.9816_3.419,240.9816_3.419,1
337.0556_0.777,4130.117716666667,7276.664708333334,1.7618540699140606,0.0105,0.8170944342866963,1.978810700930062,337.0556,0.777,4305.2935,337.0556_0.777,337.0556_0.777,1
337.056_3.104,2588.31415,4706.355025,1.81830904297301,0.00935,0.8625974233347209,2.0291883891274822,337.056,3.104,2868.4964,337.056_3.104,337.056_3.104,1
403.1971_3.26,4681.049208333334,9548.697583333333,2.0398626800022686,0.0277,1.0284720357517554,1.5575202309355514,403.1971,3.26,4559.199,403.1971_3.26,403.1971_3.26,1
403.197_0.807,7202.779991666666,12617.2307,1.7517167974861985,0.0111,0.8087695512587868,1.9546770212133426,403.197,0.807,7092.49,403.197_0.807,403.197_0.807,1
413.1436_3.2,1365.1525045833332,5400.479083333334,3.95595295412189,0.0392,1.9840252690549032,1.4067139329795428,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
447.0919_4.504,2610.087108333333,11201.025233333334,4.2914373231342955,9.15e-4,2.1014609278326426,3.0385789059335515,447.0919,4.504,7327.2997,447.0919_4.504,447.0919_4.504,1
447.0921_4.067,3285.7818941666665,8604.649858333332,2.618752593898393,0.00226,1.3888797678153284,2.6458915608525992,447.0921,4.067,6185.180200000001,447.0921_4.067,447.0921_4.067,1
499.0756_0.705,2862.022608333333,4401.095066666667,1.5377569184296538,0.00997,0.6208274666986031,2.001304841688344,499.0756,0.705,2260.3548499999997,499.0756_0.705,499.0756_0.705,1
