mz_rt,pre,post,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
182.0282_0.77,4659.610257272727,16221.798772727274,3.4813638645868,0.0318,1.7996526092931056,1.4975728800155672
215.0021_3.307,11188.761127272728,26327.496454545457,2.3530305236718205,9.06e-4,1.2345200354216845,3.042871802323187
230.9963_3.838,8726.598845454546,19416.578263636366,2.224988063218919,0.00877,1.1537975962223774,2.0570004066339593
230.9969_3.457,9225.7673,19180.213018181817,2.0789829609274686,4.1e-4,1.055877934104807,3.3872161432802645
240.9816_3.419,6094.463209090909,11457.042918181818,1.879910096280789,0.00298,0.9106636689501205,2.5257837359237447
337.0556_0.777,4140.1295272727275,7417.704809090909,1.7916600821852195,0.017,0.84129695198121,1.7695510786217261
337.056_3.104,2587.5776818181816,4877.642781818182,1.8850227438933806,0.00994,0.9145819305518913,2.002613615602687
403.1971_3.26,4869.265109090909,10050.647345454545,2.0640994319019526,0.0445,1.0455124700134246,1.3516399890190685
403.197_0.807,7663.1197,13614.438181818183,1.776618233148333,0.00545,0.8291337025733391,2.2636034977233574
413.1436_3.2,1443.6012663636363,5845.404,4.049181817860481,0.0386,2.0176304248954406,1.413412695328245
447.0919_4.504,2704.534972727273,11582.859909090908,4.282754716020798,0.00234,2.098539052873663,2.630784142589857
447.0921_4.067,2417.135611818182,7955.612027272727,3.291338718595302,0.00235,1.7186745048858199,2.6289321377282637
576.1384_0.705,1332.1283045454545,2032.0926545454545,1.5254481476083042,0.021,0.6092331412671096,1.6777807052660807
