Feature_ID,mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
175.0241_0.753,175.0241_0.753,13955.416545454545,49235.39118181818,0.283442788012377,0.0356,-1.8188705335485003,1.448550002027125,175.0241,0.753,15775.6835,175.0241_0.753,175.0241_0.753,1
178.0524_2.721,178.0524_2.721,350820.692,818697.8018181818,0.42851060699184707,0.0263,-1.2225971788456422,1.5800442515102422,178.0524,2.721,460841.17000000004,178.0524_2.721,178.0524_2.721,1
206.9967_2.418,206.9967_2.418,24835.875,39286.729181818184,0.6321695777996706,0.0306,-0.6616164854810785,1.51427857351842,206.9967,2.418,27502.637499999997,206.9967_2.418,206.9967_2.418,1
345.1554_4.506,345.1554_4.506,78212.88172727273,457271.26972727274,0.1710426324704824,0.0325,-2.5475721324197576,1.4881166390211256,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9
345.1933_4.201,345.1933_4.201,1866.0455454545454,10369.9486,0.17994742475913,0.0321,-2.4743526389921406,1.493494967595128,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2
359.1353_0.806,359.1353_0.806,2024.4731909090908,3753.8247181818183,0.5393094624539777,0.0141,-0.8908147480115076,1.85078088734462,359.1353,0.806,3162.0041499999998,359.1353_0.806,359.1353_0.806,1
361.1499_3.066,361.1499_3.066,3888.546018181818,11634.793318181819,0.3342170257640198,0.0309,-1.58114286549885,1.5100415205751654,361.1499,3.066,6873.502350000001,361.1499_3.066,361.1499_3.066,1
373.1141_3.685,373.1141_3.685,7890.090645454546,16057.56549090909,0.49136281897286865,0.015,-1.025139400624174,1.8239087409443189,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1
413.1426_4.219,413.1426_4.219,9053.628745454545,37560.037836363634,0.2410441859749487,0.023,-2.052630462773057,1.6382721639824072,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1
413.1426_4.51,413.1426_4.51,12293.728454545455,59069.19119090909,0.2081242049652018,0.0234,-2.2644833337903165,1.630784142589857,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4
413.1436_3.2,413.1436_3.2,1498.8412727272728,5845.404,0.25641363244136295,0.0494,-1.963455128824928,1.3062730510763532,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
427.1967_4.894,427.1967_4.894,3600.9926545454546,6243.398236363636,0.576768054546332,0.0432,-0.7939368346496252,1.3645162531850878,427.1967,4.894,4333.7293,427.1967_4.894,427.1967_4.894,1
427.197_3.64,427.197_3.64,2664.4285545454545,12520.264727272726,0.21280928259780044,0.0256,-2.2323670132882274,1.5917600346881504,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1
427.197_4.049,427.197_4.049,4099.447090909091,17697.873672727274,0.23163500693455671,0.0385,-2.1100747909801756,1.4145392704914994,427.197,4.049,5658.172500000001,427.197_4.049,427.197_4.049,1
572.2105_4.512,572.2105_4.512,733.3780427272727,2643.5370472727272,0.277423024384652,0.0118,-1.8498405675462872,1.9281179926938745,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1
576.1384_0.705,576.1384_0.705,1078.6143981818182,2032.0926545454545,0.5307899695268011,0.0108,-0.9137869868971746,1.9665762445130504,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1
691.3179_4.171,691.3179_4.171,1080.5619563636365,7835.889077272727,0.13789908786454197,0.0271,-2.858315180730567,1.5670307091255944,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1
Isoferulic acid glucuronide,369.0829_3.476,5780.058627272727,14423.179990909091,0.4007478677320736,0.0353,-1.3192332506661093,1.4522252946121774,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1
