mz_rt,Yellow,Red,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,pre,post,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
1122.0248_4.125,826.7188141,22374.65058,27.06440231,1.34E-08,4.758324623,7.872895202,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1,694.3278177,22374.65058,32.22490877,1.07E-08,5.010104369,7.970616222,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1
1122.0249_4.032,749.3802568,21166.98049,28.24598099,6.21E-09,4.819973702,8.2069084,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1,851.9500032,21166.98049,24.84533178,1.51E-07,4.634902903,6.821023053,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1
201.0227_4.086,3754.197936,350758.4076,93.43098408,4.02E-09,6.545829158,8.395773947,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2,3629.815518,350758.4076,96.63257151,4.55E-08,6.594437649,7.341988603,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2
201.0228_4.555,8847.466218,1531222.078,173.068994,1.63E-09,7.435203473,8.787812396,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4,9223.499145,1531222.078,166.0131425,2.66E-08,7.375153648,7.575118363,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4
217.0172_4.4,14765.916,65331.618,4.42448799,8.68E-04,2.145510513,3.061480275,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1,13060.87087,65331.618,5.002087429,1.70E-04,2.322530274,3.769551079,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1
217.0173_3.88,14788.71909,29268.18173,1.979088354,0.0449,0.984836021,1.347753659,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1,12700.47446,29268.18173,2.304495144,0.00433,1.204450728,2.363512104,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1
253.0503_5.048,501.2626591,30829.36785,61.50342,9.00E-07,5.942594731,6.045757491,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1,1390.755293,30829.36785,22.16735612,4.28E-05,4.470364807,4.368556231,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1
255.0674_5.078,1233.246686,11890.28825,9.641451607,0.00339,3.269250373,2.469800302,255.0674,5.078,1161.1672,255.0674_5.078,255.0674_5.078,1,985.6614895,11890.28825,12.06325739,0.00431,3.592547619,2.36552273,255.0674,5.078,1161.1672,255.0674_5.078,255.0674_5.078,1
257.0816_6.056,595.8507136,11708.98692,19.65087337,3.36E-05,4.296521528,4.473660723,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1,621.7162864,11708.98692,18.83332828,6.85E-05,4.235216075,4.164309429,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1
297.0975_4.072,2222.517373,118358.5299,53.25426535,1.17E-06,5.734825176,5.931814138,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1,2711.374109,118358.5299,43.65260018,1.95E-07,5.447995686,6.709965389,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1
297.0975_4.498,1965.448436,255732.2878,130.1139644,7.15E-08,7.023631996,7.145693958,297.0975,4.498,3050.37375,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3,2173.637373,255732.2878,117.6517716,3.03E-08,6.878379235,7.518557371,297.0975,4.498,3050.37375,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
333.0047_4.33,2299.021555,80856.93927,35.17015276,1.84E-06,5.136279696,5.735182177,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1,3275.873064,80856.93927,24.68256178,8.12E-06,4.625420233,5.090443971,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1
333.0066_3.893,1512.691527,30310.47481,20.03744601,1.45E-06,4.324626728,5.838631998,333.0066,3.893,1989.00555,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2,1846.336436,30310.47481,16.41655021,2.56E-05,4.037079084,4.591760035,333.0066,3.893,1989.00555,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2
335.0244_4.36,1545.964245,52490.95473,33.95353734,5.35E-07,5.08548998,6.271646218,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1,2229.694191,52490.95473,23.5417731,2.48E-06,4.557151079,5.605548319,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1
363.021_3.933,2036.279327,13203.90755,6.484330204,0.00273,2.69695756,2.563837353,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1,1749.448559,13203.90755,7.547468302,0.00106,2.915992793,2.974694135,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1
363.0234_4.453,5790.948255,33400.38501,5.767688389,0.0113,2.527993222,1.946921557,363.0234,4.453,6724.13405,363.0234_4.453,363.0234_4.453,1,5606.315664,33400.38501,5.957635462,0.00756,2.57473985,2.121478204,363.0234,4.453,6724.13405,363.0234_4.453,363.0234_4.453,1
365.0863_4.095,1486.3337,22118.08491,14.88096846,4.62E-06,3.895396516,5.335358024,365.0863,4.095,1797.85105,365.0863_4.095,365.0863_4.095,1,1468.112355,22118.08491,15.06566227,2.93E-06,3.913192189,5.53313238,365.0863,4.095,1797.85105,365.0863_4.095,365.0863_4.095,1
366.0851_4.55,3925.453103,8744.158455,2.227553922,0.00251,1.155460355,2.600326279,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1,2387.532832,8744.158455,3.662424381,0.00104,1.872798972,2.982966661,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1
393.0495_3.605,2745.376955,14338.742,5.222868203,1.19E-04,2.384842298,3.924453039,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1,2688.786391,14338.742,5.332793281,4.49E-05,2.414891405,4.347753659,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1
429.0815_4.032,1290.372836,43509.88145,33.71884484,5.53E-08,5.075483207,7.257274869,429.0815,4.032,1794.5069,429.0815_4.032,429.0815_4.032,1,2322.39732,43509.88145,18.73489996,9.46E-07,4.227656369,6.024108864,429.0815,4.032,1794.5069,429.0815_4.032,429.0815_4.032,1
429.082_3.756,1033.612341,60152.38882,58.19627573,8.14E-08,5.862854926,7.089375595,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1,2607.140202,60152.38882,23.07217263,5.58E-07,4.528081959,6.253365801,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1
429.083_3.201,944.2923595,24024.31842,25.44161051,3.23E-07,4.669118094,6.490797478,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2,1798.569332,24024.31842,13.35746028,1.13E-06,3.739573822,5.946921557,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2
431.0979_3.907,1393.322638,47552.15664,34.12860405,3.58E-06,5.092909501,5.446116973,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1,2072.291602,47552.15664,22.94665316,9.66E-07,4.520211842,6.015022874,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1
433.1136_4.519,17262.34712,61103.24564,3.539683521,0.00125,1.823620377,2.903089987,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1,15819.24519,61103.24564,3.862589201,7.51E-04,1.94956825,3.124360063,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1
