mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
1122.0248_4.125,22374.650581818183,826.7188140909091,27.06440231001902,1.34e-8,4.758324622829338,7.872895201635193,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1,22374.650581818183,694.3278177272728,32.22490876868021,1.07e-8,5.010104369093871,7.97061622231479,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1
1122.0249_4.032,21166.980490909093,749.3802568181818,28.245980993391353,6.21e-9,4.819973701764379,8.20690839982342,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1,21166.980490909093,851.9500031818181,24.845331782212295,1.51e-7,4.634902902517237,6.82102305270683,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1
201.0227_4.086,350758.40763636364,3754.1979363636365,93.43098408287781,4.02e-9,6.545829158419426,8.39577394691553,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2,350758.40763636364,3629.8155181818183,96.63257151208037,4.55e-8,6.594437648737017,7.341988603342887,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2
201.0228_4.555,1531222.0781818181,8847.466218181818,173.06899403979742,1.63e-9,7.435203473394649,8.787812395596042,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4,1531222.0781818181,9223.499145454545,166.01314252155848,2.66e-8,7.375153647612842,7.575118363368933,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4
217.0172_4.4,65331.618,14765.916000000001,4.424487989773205,8.68e-4,2.145510513420753,3.061480274823508,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1,65331.618,13060.870872727271,5.0020874286737325,1.7e-4,2.3225302737947158,3.769551078621726,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1
217.0173_3.88,29268.181727272728,14788.71909090909,1.9790883542621647,0.0449,0.9848360213851637,1.3477536589966768,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1,29268.181727272728,12700.474463636363,2.3044951439469883,0.00433,1.2044507276177254,2.3635121036466344,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1
253.0503_5.048,30829.367854545453,501.2626590909091,61.50342000431002,9e-7,5.942594731129043,6.045757490560675,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1,30829.367854545453,1390.7552927272727,22.16735612351259,4.28e-5,4.470364806682468,4.368556230986828,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1
255.0674_5.078,11890.288245454545,1233.2466863636364,9.641451606502482,0.00339,3.269250373409841,2.469800301796918,255.0674,5.078,1161.1671999999999,255.0674_5.078,255.0674_5.078,1,11890.288245454545,985.6614895454545,12.063257387622848,0.00431,3.592547619242384,2.3655227298392685,255.0674,5.078,1161.1671999999999,255.0674_5.078,255.0674_5.078,1
257.0816_6.056,11708.986918181818,595.8507136363636,19.650873365115395,3.36e-5,4.29652152805932,4.473660722610156,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1,11708.986918181818,621.7162863636364,18.83332828011736,6.85e-5,4.235216074601079,4.164309428507575,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1
297.0975_4.072,118358.52990909091,2222.5173727272727,53.25426534859973,1.17e-6,5.734825176110021,5.931814138253839,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1,118358.52990909091,2711.3741090909093,43.65260017503637,1.95e-7,5.447995685692959,6.709965388637482,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1
297.0975_4.498,255732.28781818182,1965.4484363636363,130.11396436902893,7.15e-8,7.023631996141079,7.14569395819892,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3,255732.28781818182,2173.6373727272726,117.65177164639627,3.03e-8,6.878379235166734,7.518557371497695,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
333.0047_4.33,80856.93927272728,2299.0215545454544,35.17015276036145,1.84e-6,5.1362796961609964,5.735182176990463,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1,80856.93927272728,3275.8730636363634,24.682561778804857,8.12e-6,4.625420233044704,5.090443970758825,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1
333.0066_3.893,30310.47480909091,1512.6915272727274,20.03744601104396,1.45e-6,4.324626728070476,5.838631997765025,333.0066,3.893,1989.0055499999999,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2,30310.47480909091,1846.3364363636363,16.416550208361514,2.56e-5,4.037079084354596,4.591760034688151,333.0066,3.893,1989.0055499999999,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2
335.0244_4.36,52490.95472727273,1545.9642454545456,33.95353733542479,5.35e-7,5.085489979532072,6.2716462179787715,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1,52490.95472727273,2229.694190909091,23.541773101122498,2.48e-6,4.557151079149089,5.605548319173784,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1
363.021_3.933,13203.907545454545,2036.2793272727272,6.484330203921032,0.00273,2.6969575596138786,2.563837352959244,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1,13203.907545454545,1749.4485590909092,7.547468301849286,0.00106,2.9159927926649196,2.9746941347352296,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1
363.0234_4.453,33400.38500909091,5790.948254545455,5.767688389008509,0.0113,2.5279932221765034,1.9469215565165803,363.0234,4.453,6724.134050000001,363.0234_4.453,363.0234_4.453,1,33400.38500909091,5606.315663636364,5.957635462043673,0.00756,2.5747398501414067,2.1214782044987937,363.0234,4.453,6724.134050000001,363.0234_4.453,363.0234_4.453,1
365.0863_4.095,22118.08490909091,1486.3337,14.880968458893795,4.62e-6,3.8953965155119055,5.335358024443875,365.0863,4.095,1797.8510500000002,365.0863_4.095,365.0863_4.095,1,22118.08490909091,1468.1123545454545,15.065662270745579,2.93e-6,3.913192188577765,5.533132379645891,365.0863,4.095,1797.8510500000002,365.0863_4.095,365.0863_4.095,1
366.0851_4.55,8744.158454545455,3925.4531031818183,2.227553921726331,0.00251,1.155460355053871,2.600326278518962,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1,8744.158454545455,2387.532831818182,3.662424381358769,0.00104,1.872798972295311,2.9829666607012197,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1
393.0495_3.605,14338.742,2745.3769545454547,5.222868202583142,1.19e-4,2.384842298219305,3.9244530386074694,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1,14338.742,2688.786390909091,5.332793281191819,4.49e-5,2.4148914049045302,4.347753658996677,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1
429.0815_4.032,43509.88145454546,1290.3728363636365,33.718844839573215,5.53e-8,5.075483207301238,7.257274868695302,429.0815,4.032,1794.5068999999999,429.0815_4.032,429.0815_4.032,1,43509.88145454546,2322.39732,18.734899958696758,9.46e-7,4.227656368819272,6.024108863598207,429.0815,4.032,1794.5068999999999,429.0815_4.032,429.0815_4.032,1
429.082_3.756,60152.38881818182,1033.6123413636365,58.19627573217949,8.14e-8,5.862854925776355,7.089375595110798,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1,60152.38881818182,2607.140201818182,23.072172634303445,5.58e-7,4.5280819593829005,6.253365801062421,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1
429.083_3.201,24024.318418181818,944.2923595454546,25.44161050900188,3.23e-7,4.669118094118448,6.490797477668897,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2,24024.318418181818,1798.5693318181818,13.35746028422242,1.13e-6,3.739573822484843,5.94692155651658,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2
431.0979_3.907,47552.15663636364,1393.322638181818,34.128604052838504,3.58e-6,5.092909500615262,5.446116973356125,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1,47552.15663636364,2072.291601818182,22.946653161477105,9.66e-7,4.520211842450377,6.015022873584507,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1
433.1136_4.519,61103.24563636364,17262.34711818182,3.5396835214839206,0.00125,1.8236203765805075,2.9030899869919438,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1,61103.24563636364,15819.245190909092,3.862589200619893,7.51e-4,1.9495682502483418,3.1243600629958315,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1
433.113_4.886,161260.54281818183,1154.4989772727272,139.68010885477577,5.82e-8,7.125982778168748,7.235077015350112,433.113,4.886,1617.15355,Cluster_433.113_4.886,433.113_4.886;553.0631_4.891,2,161260.54281818183,2399.593929090909,67.20326337851492,7.6e-7,6.070459386606976,6.119186407719209,433.113,4.886,1617.15355,Cluster_433.113_4.886,433.113_4.886;553.0631_4.891,2
445.0782_4.484,28329.407363636365,2521.9377,11.233190797550774,4.57e-5,3.489695879611505,4.34008379993015,445.0782,4.484,4053.7058,445.0782_4.484,445.0782_4.484,1,28329.407363636365,3033.9507272727274,9.337464550422075,2.34e-5,3.223030860736964,4.6307841425898575,445.0782,4.484,4053.7058,445.0782_4.484,445.0782_4.484,1
447.0928_3.777,8585.048945454546,1810.606009090909,4.741533443692165,0.0032,2.2453537118316844,2.494850021680094,447.0928,3.777,2274.9899,447.0928_3.777,447.0928_3.777,1,8585.048945454546,1912.7230909090908,4.488390915683561,1.59e-4,2.1661983327109295,3.7986028756795487,447.0928,3.777,2274.9899,447.0928_3.777,447.0928_3.777,1
447.092_4.187,22911.460772727274,5953.8874636363635,3.8481514661907963,0.0305,1.944165585807986,1.5157001606532141,447.092,4.187,6378.7322,447.092_4.187,447.092_4.187,1,22911.460772727274,6893.259545454545,3.3237484562488615,0.0082,1.7328112020076878,2.0861861476162833,447.092,4.187,6378.7322,447.092_4.187,447.092_4.187,1
449.1074_4.301,8703.808854545454,1802.824710909091,4.827873060468801,0.00289,2.2713877437317658,2.5391021572434522,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1,8703.808854545454,2005.6191636363635,4.339711652318222,1.94e-4,2.117599187464566,3.712198270069774,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1
459.093_3.801,27824.000636363635,1280.678981818182,21.725975854512626,7.19e-9,4.4413490741754815,8.143271109617118,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1,27824.000636363635,1619.0868090909091,17.184996184353054,1.91e-8,4.103077626270803,7.718966632752273,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1
493.1666_4.573,14644.611636363636,3142.5718363636365,4.6600721952976425,9.79e-5,2.220352305736009,4.009217308196862,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1,14644.611636363636,2934.568818181818,4.990379351688556,6.98e-4,2.319149488507984,3.156144577376839,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1
497.0695_3.785,13430.849863636364,1161.9685909090908,11.558703022366942,1.16e-7,3.5309076200465475,6.935542010773082,497.0695,3.785,1810.0136499999999,497.0695_3.785,497.0695_3.785,1,13430.849863636364,1456.3950545454545,9.221982608165456,1.81e-5,3.2050769449585688,4.7423214251308154,497.0695,3.785,1810.0136499999999,497.0695_3.785,497.0695_3.785,1
