Feature_ID,mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
154.9984_0.703,154.9984_0.703,19664.373,35467.327545454544,0.5544362758879521,0.0186,-0.8509064410711183,1.7304870557820837,154.9984,0.703,24608.89,154.9984_0.703,154.9984_0.703,1
168.0777_0.606,168.0777_0.606,45168.840454545454,87658.76736363636,0.5152803514470011,0.0152,-0.9565705138662893,1.8181564120552274,168.0777,0.606,55270.68949999999,Cluster_168.0777_0.606,168.0777_0.606;236.065_0.603,2
182.0282_0.77,182.0282_0.77,16221.798772727274,4659.610257272727,3.4813638645868,0.0318,1.7996526092931056,1.4975728800155672,182.0282,0.77,2683.3879500000003,182.0282_0.77,182.0282_0.77,1
185.0819_4.129,185.0819_4.129,39753.45909090909,61967.23390909091,0.6415238600004228,0.0276,-0.6404251708597917,1.5590909179347823,185.0819,4.129,41884.5095,185.0819_4.129,185.0819_4.129,1
188.0021_0.665,188.0021_0.665,13811.9264,23174.395545454547,0.5959994241450275,0.0347,-0.7466171581319967,1.4596705252091262,188.0021,0.665,19903.0975,188.0021_0.665,188.0021_0.665,1
193.0353_5.465,193.0353_5.465,3856.7712181818183,27037.12429090909,0.14264724223939051,0.0371,-2.8094762389317234,1.4306260903849541,193.0353,5.465,4999.976049999999,Cluster_193.0353_5.465,193.0353_5.465;405.1707_5.449;407.129_5.446;535.0762_5.453,4
215.0021_3.307,215.0021_3.307,26327.496454545457,11188.761127272728,2.3530305236718205,9.06e-4,1.2345200354216845,3.042871802323187,215.0021,3.307,18056.441,215.0021_3.307,215.0021_3.307,1
217.0486_0.63,217.0486_0.63,60639.20918181818,158021.79836363636,0.38373952081140433,0.00196,-1.3818007410946902,2.707743928643524,217.0486,0.63,78276.785,217.0486_0.63,217.0486_0.63,1
218.0492_0.684,218.0492_0.684,13470.061081818181,29858.564045454546,0.45112889760245406,0.0231,-1.148388392309457,1.6363880201078558,218.0492,0.684,16366.7885,Cluster_218.0492_0.684,218.0492_0.684;316.0285_0.688,2
219.0457_0.629,219.0457_0.629,22715.461727272726,48210.74036363637,0.4711701491397586,0.0347,-1.0856799543866784,1.4596705252091262,219.0457,0.629,27026.4205,219.0457_0.629,219.0457_0.629,1
222.1134_5.811,222.1134_5.811,28156.737363636363,47702.160454545454,0.5902612606082364,0.00124,-0.7605744354030379,2.906578314837765,222.1134,5.811,34398.477,222.1134_5.811,222.1134_5.811,1
230.9963_3.838,230.9963_3.838,19416.578263636366,8726.598845454546,2.224988063218919,0.00877,1.1537975962223774,2.0570004066339593,230.9963,3.838,7759.3057,230.9963_3.838,230.9963_3.838,1
230.9969_3.457,230.9969_3.457,19180.213018181817,9225.7673,2.0789829609274686,4.1e-4,1.055877934104807,3.3872161432802645,230.9969,3.457,8095.5585,230.9969_3.457,230.9969_3.457,1
231.9926_0.79,231.9926_0.79,14477.681854545455,22651.217045454545,0.6391569082355649,0.0347,-0.6457579494038407,1.4596705252091262,231.9926,0.79,13947.334,231.9926_0.79,231.9926_0.79,1
240.9816_3.419,240.9816_3.419,11457.042918181818,6094.463209090909,1.879910096280789,0.00298,0.9106636689501205,2.5257837359237447,240.9816,3.419,4639.444600000001,240.9816_3.419,240.9816_3.419,1
269.1505_4.575,269.1505_4.575,175909.63090909092,327311.32727272727,0.5374382621427484,1.78e-4,-0.8958290592850989,3.749579997691106,269.1505,4.575,229617.04,Cluster_269.1505_4.575,269.1505_4.575;269.1614_4.571;270.1538_4.572;561.29_4.571,4
269.1506_4.275,269.1506_4.275,67888.00281818182,127026.96854545454,0.534437715042292,1.32e-4,-0.9039062731073113,3.87942606879415,269.1506,4.275,87971.035,269.1506_4.275,269.1506_4.275,1
274.039_0.769,274.039_0.769,11790.075818181818,18770.35681818182,0.628122093382978,0.00794,-0.670883079723026,2.1001794975729036,274.039,0.769,12161.317,274.039_0.769,274.039_0.769,1
287.0227_3.548,287.0227_3.548,46159.018218181816,92059.99636363637,0.5014014777477722,0.0249,-0.9959618467485357,1.6038006529042637,287.0227,3.548,54997.795,287.0227_3.548,287.0227_3.548,1
