term,576.1384_0.705,413.1426_4.219,413.1426_4.51,345.1554_4.506,413.1436_3.2,361.1499_3.066,691.3179_4.171,373.1141_3.685,572.2105_4.512,427.197_3.64,359.1353_0.806,il_12p70,427.197_4.049,345.1933_4.201,Isoferulic acid glucuronide,il_5,gm_csf,447.092_4.187,dihydrodaidzein,O-DMA glucuronide isomer 2,glycitein sulfate isomer 2,217.0173_3.88,617.1836_4.515,glycitein sulfate isomer 1,genistein glucuronide,dihydrogenistein glucuronide isomer 1,6-OH-O-DMA glucuronide,493.1666_4.573,366.0851_4.55,O-DMA,217.0172_4.4,daidzein sulfoglucuronide isomer 1,O-DMA glucuronide isomer 1,497.0695_3.785,daidzein diglucuronide,glycitein glucuronide,genistein sulfoglucuronide,total_lyc,393.0495_3.605,daidzein sulfate isomer 1,365.0863_4.095,ethylphenol glucuronide isomer 2,1122.0249_4.032,ethylphenol glucuronide isomer 1,daidzein sulfoglucuronide isomer 2,521.1082_4.508,1122.0248_4.125,daidzein sulfate isomer 2,daidzein glucuronide isomer 2,daidzein glucuronide isomer 3,daidzein,daidzein glucuronide isomer 1,639.0783_3.758,ethylphenol sulfate isomer,dihydrodaidzein sulfate,4-ethylphenol sulfate,dihydrodaidzein glucuronide
576.1384_0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1426_4.219,0.7413890457368718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1426_4.51,0.7323546019198192,0.9932241671372105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345.1554_4.506,0.7538114059853189,0.992094861660079,0.9887069452286842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.1436_3.2,0.6126482213438734,0.9243365330321851,0.9164313946922642,0.9017504234895538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361.1499_3.066,0.6713721061547148,0.9514398644833427,0.9412761151891585,0.9446640316205533,0.849802371541502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691.3179_4.171,0.5765104460756634,0.8836815358554487,0.896103896103896,0.8983625070581591,0.8802936194240542,0.8373800112930547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373.1141_3.685,0.6205533596837944,0.9254658385093167,0.929983060417843,0.9424054206662902,0.8577075098814227,0.8938452851496329,0.8791643139469225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572.2105_4.512,0.7797854319593449,0.9175607001693957,0.9062676453980801,0.9130434782608695,0.8068887634105025,0.8610954263128175,0.7888198757763973,0.8317334839073968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427.197_3.64,0.5245623941276115,0.7515527950310558,0.7492941840767927,0.7662337662337662,0.6736307171089779,0.8023715415019762,0.686053077357425,0.7617165443252399,0.686053077357425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
