m.z,r.t,p.value,t.score
1030.3123,3.466,0.616,0.518192116320505
108.0216,3.832,0.542,-0.631667843209398
109.0294,3.11,0.598,0.5443594171301218
1093.9937,2.988,0.747,0.3323092100858502
1108.0095,3.117,0.636,0.4885578500876073
1108.0095,3.194,0.68,0.42440580495628827
1108.0095,3.804,0.628,0.49935615301237424
111.0085,0.703,0.829,0.2218160914982351
1122.0248,4.125,1.34e-8,16.568040502429156
1122.0249,4.032,6.21e-9,17.93527436545674
1133.0047,3.302,0.445,-0.7944350135589515
123.0452,4.211,0.76,-0.31385353475663413
124.0072,0.616,0.574,0.5804452265352161
131.0349,0.8,0.858,0.18348440176796926
133.0504,0.696,0.212,-1.3317527148818367
135.0295,0.64,0.421,0.8393566301986246
137.0243,4.815,0.495,-0.7085949232843918
137.0244,4.225,0.522,-0.6632607893029603
137.0248,0.733,0.151,-1.554631390342125
144.03,0.697,0.22,1.3070795560637225
144.0665,0.781,0.317,1.0541888298554827
145.0141,0.693,0.974,0.03384110651796843
146.0456,0.708,0.266,1.1778318016035005
147.0298,0.76,0.348,-0.9848245364054528
149.0089,0.649,0.964,-0.04633886784900267
149.0452,0.654,0.595,-0.5492336406626166
151.04,4.082,0.113,1.7362412079896872
151.04,4.576,0.242,1.2428632559363275
154.0621,0.609,0.289,1.1202606225362397
154.9984,0.703,0.26,1.1936760197583698
157.0506,2.959,0.271,1.1644471698792398
161.0454,0.768,0.769,-0.3019578418201432
161.9866,2.133,0.144,1.5846255288768427
161.988,0.685,0.102,1.7979367166516138
165.0405,0.634,0.513,0.6775546368135508
165.0409,0.76,0.699,-0.3973484974618161
165.0417,2.342,0.811,0.24562618329429772
165.0557,4.102,0.321,1.0433909637863974
167.0208,0.657,0.725,0.361630440130994
167.0211,1.15,0.869,-0.16975189176405178
168.0301,0.797,0.435,0.8132865616701217
168.0302,2.597,0.139,1.6077500527015225
168.0777,0.606,0.315,1.0580671783905284
171.0487,4.824,0.972,0.03562691563085474
172.9915,3.001,0.55,0.618031365737371
173.0001,2.997,0.691,0.4086795585942249
173.0089,0.672,0.857,0.185354669822716
173.0091,1.231,0.515,-0.674916708207747
173.9923,0.799,0.28,1.1418683559831821
174.0405,0.655,0.806,-0.2518096872879815
175.0241,0.753,0.0356,-2.426976578079962
175.0611,3.177,0.868,-0.1707285129869835
175.0975,4.743,0.992,-0.010336584431039585
177.0225,0.776,0.465,0.7598983076486728
177.1283,5.202,0.803,-0.256485261872836
178.0513,2.879,0.406,-0.8670778759963221
178.0515,2.811,0.798,-0.2625866117322917
178.0515,3.479,0.512,-0.6801323600690938
178.0524,2.721,0.0263,-2.604367209116841
178.0526,3.481,0.981,-0.02471566647673282
178.0557,3.444,0.308,-1.0751093304889878
179.0556,0.643,0.287,-1.1255738021934378
181.0503,4.495,0.0732,-2.001250629349674
181.0504,3.017,0.735,-0.3479862469370176
181.0505,0.817,0.8,-0.26041282034631785
181.0507,4.062,0.0583,-2.1373299690381615
181.9916,0.803,0.843,0.20339310141770073
181.9917,2.823,0.885,0.14853277838525616
182.0076,0.788,0.82,0.23390727990642546
182.0282,0.77,0.7,-0.39699691937685844
182.0458,0.803,0.115,1.724005225140615
182.0458,2.174,0.301,1.0896769750797537
184.0979,4.054,0.262,-1.1880833471275285
185.0819,4.129,0.231,1.2759118740267652
187.0075,3.121,0.787,0.278087001663549
187.0079,3.815,0.731,0.3538074092399196
187.0101,3.824,0.491,0.7157555499327274
187.0383,0.634,0.496,-0.7061626567019577
187.0387,3.806,0.768,0.3026408799081505
