m/z,rt,p-value,t-score
1030.3123,3.466,0.0838,1.9200579210066637
108.0216,3.832,0.809,-0.24831120760064804
109.0294,3.11,0.572,0.5847882934047379
1093.9937,2.988,0.785,-0.2808145488503043
1108.0095,3.117,0.183,1.4313229263462612
1108.0095,3.194,0.144,1.5860102726238487
1108.0095,3.804,0.192,1.3981960097554031
111.0085,0.703,0.592,-0.5534448528070525
1122.0248,4.125,1.07e-8,16.953937986666837
1122.0249,4.032,1.51e-7,12.864394038983045
1133.0047,3.302,0.343,-0.9943891265545844
123.0452,4.211,0.731,0.3538183618920016
124.0072,0.616,0.33,-1.0236686376850093
131.0349,0.8,0.0637,-2.084539612419619
133.0504,0.696,0.512,-0.6793229427424816
135.0295,0.64,0.772,0.2978616722148472
137.0243,4.815,0.639,0.48409589828943445
137.0244,4.225,0.967,-0.04298413112288747
137.0248,0.733,0.64,0.4816859168334758
144.03,0.697,0.717,0.37340428925530367
144.0665,0.781,0.116,-1.7186817174363969
145.0141,0.693,0.525,-0.6590698968382157
146.0456,0.708,0.489,0.7183436170774056
147.0298,0.76,0.954,-0.05912418741130366
149.0089,0.649,0.625,-0.503963367142378
149.0452,0.654,0.567,-0.5925845964725699
151.04,4.082,0.649,0.46977487911328514
151.04,4.576,0.936,0.08176095454324692
154.0621,0.609,0.392,-0.8953785341406646
154.9984,0.703,0.681,0.4226894978007401
157.0506,2.959,0.275,-1.154473693659173
161.0454,0.768,0.994,0.007433686495039825
161.9866,2.133,0.427,0.8288695814616962
161.988,0.685,0.54,0.6348174865046071
165.0405,0.634,0.172,1.4727264542188379
165.0409,0.76,0.0572,-2.1491044727271693
165.0417,2.342,0.131,-1.6434930788577842
165.0557,4.102,0.0852,1.9098052140131405
167.0208,0.657,0.274,-1.158314210056001
167.0211,1.15,0.294,-1.106325294808272
168.0301,0.797,0.108,1.7656766012451954
168.0302,2.597,0.0267,2.5948197420703267
168.0777,0.606,0.72,-0.36874481756505273
171.0487,4.824,0.82,0.23334595795147176
172.9915,3.001,0.725,0.36230443777551624
173.0001,2.997,0.835,0.213298106340333
173.0089,0.672,0.25,-1.221490032374125
173.0091,1.231,0.715,0.3762388154098068
173.9923,0.799,0.578,0.5744114537522516
174.0405,0.655,0.0306,-2.5156471162633887
175.0241,0.753,0.842,-0.20490703744008795
175.0611,3.177,0.812,-0.2443598723637833
175.0975,4.743,0.749,-0.3288821082737612
177.0225,0.776,0.141,-1.5976685000925612
177.1283,5.202,0.728,-0.3571789574313036
178.0513,2.879,0.705,0.3900510351009595
178.0515,2.811,0.719,-0.37041966398233206
178.0515,3.479,0.686,0.4155926123491692
178.0524,2.721,0.878,0.15700832565833808
178.0526,3.481,0.862,-0.17792372753054528
178.0557,3.444,0.753,0.3240425418546528
179.0556,0.643,0.89,-0.14224381576797773
181.0503,4.495,0.582,-0.5690748116199167
181.0504,3.017,0.419,-0.8429366187653832
181.0505,0.817,0.484,-0.7274090051840654
181.0507,4.062,0.277,-1.150864434019762
181.9916,0.803,0.879,0.15603055709881739
181.9917,2.823,0.837,0.21160784330997934
182.0076,0.788,0.867,-0.17186457690434578
182.0282,0.77,0.847,0.198183207384389
182.0458,0.803,0.727,0.3588361097042347
182.0458,2.174,0.637,0.48736973741112505
184.0979,4.054,0.187,-1.4152161523373568
185.0819,4.129,0.548,-0.6213252018195823
187.0075,3.121,0.237,1.2575629376360158
187.0079,3.815,0.189,1.4097663694114746
187.0101,3.824,0.172,1.4694857115341557
187.0383,0.634,0.028,-2.5677306267497255
187.0387,3.806,0.203,1.362972458865492
188.0021,0.665,0.889,0.1429951482340381
188.9863,1.166,0.732,0.35230440483660874
188.9864,0.815,0.637,0.4867196986967558
188.9864,2.765,0.276,1.153331515424849
189.0027,3.097,0.232,1.2728703245296984
191.0201,1.159,0.124,-1.6808807273785389
191.0203,0.697,0.488,-0.7198829162565067
191.0212,0.699,0.249,-1.225058239683093
191.0267,0.755,0.154,1.5441768005365362
191.0276,1.165,0.233,1.2707402148126206
191.0523,0.699,0.746,-0.33316443467218476
191.0524,0.713,0.571,0.5850585854802628
191.1076,5.282,0.581,-0.5696652133717336
191.1105,5.283,0.765,0.30712051940676893
193.0351,0.617,0.698,0.3988074486598173
193.0353,5.465,0.757,0.3182374838045629
194.0458,3.657,0.0141,2.967654146149809
194.0459,0.799,0.734,-0.3499869724504217
194.0459,2.735,0.835,-0.21327214600178226
194.0459,2.921,0.402,-0.8752784668866098
194.0459,3.542,0.0685,2.0413139478141744
194.0459,4.033,0.106,1.774225115819669
194.046,0.798,0.734,-0.3499869724504217
194.0491,4.031,0.2,-1.3717036980408743
194.0495,2.735,0.406,-0.8677638902213191
194.0546,0.797,0.788,-0.2763385570665895
195.0512,0.787,0.227,-1.2877541886280144
195.0514,2.765,0.123,-1.6858587679367718
195.051,0.627,0.0188,-2.8006966773646
197.0442,3.134,0.783,-0.2830837529213749
197.0453,3.76,0.853,-0.1904110051538389
197.0471,3.745,0.609,-0.5278141109683281
197.0819,4.344,0.692,-0.40821676957506053
198.1135,5.021,0.157,-1.5312855906245417
199.0068,4.328,0.0148,2.93795678608101
199.0975,5.017,0.0887,1.885434263679148
200.1291,5.38,0.649,0.4687288397975937
201.0227,4.086,4.55e-8,14.594623216275757
201.0228,4.555,2.66e-8,15.429912915870828
203.0017,3.661,0.406,0.8678292336532102
203.0021,0.801,0.0791,1.9548184260129666
203.0021,2.888,0.506,0.6898343614911184
203.002,3.205,0.354,0.9715479671033022
203.0048,3.202,0.383,0.9118147621777236
204.0666,4.129,0.754,-0.32209955155169895
204.0666,4.532,0.863,-0.17643048568658604
204.9812,0.795,0.46,0.7685234160184037
204.9812,2.586,0.451,0.7852286133209608
205.0352,0.76,0.336,-1.010072317919298
206.9961,0.7,0.163,1.505040254110033
206.9967,2.418,0.152,1.5494831993688407
208.0615,3.836,0.00839,-3.2727239986051657
208.0646,0.766,0.354,-0.9720569053719821
209.0452,3.159,0.8,-0.25982771220311185
209.0452,3.24,0.926,0.09570118486748258
209.0455,3.749,0.48,-0.734278702785437
209.0532,3.773,0.0392,-2.3712271710322974
210.0419,3.959,0.339,-1.004587381220312
211.0611,3.158,0.0103,-3.149252856035279
211.0613,3.866,0.561,-0.6008690987316261
211.0615,4.235,0.471,-0.749121304028103
211.0967,4.185,0.0994,-1.8159826867961992
211.0971,3.846,0.135,-1.6264705185083048
212.0023,0.825,0.779,0.2884153019898131
212.0027,3.304,0.327,1.0303964086027737
212.0065,4.503,0.196,1.3847147177104022
212.0937,3.815,0.23,-1.2795429119506099
213.1132,5.201,0.274,1.1584220373019274
213.9981,2.254,0.479,0.7355630829233475
215.0021,3.307,2.86e-5,7.220692657944291
215.0326,0.629,0.523,-0.66265381242403
216.9808,0.715,0.338,1.0054660395290225
216.9812,2.65,0.435,0.8129190012225584
216.981,0.709,0.334,1.0151367111357852
217.0161,1.159,0.635,-0.4895850292205111
217.0162,0.671,0.353,-0.9746546045899612
217.0172,4.4,1.7e-4,5.811750134189185
217.0173,3.88,0.00433,3.667623963727998
217.0486,0.63,0.494,-0.7096424980334192
217.1081,3.912,0.923,0.09878184320346818
218.0492,0.684,0.297,-1.100138851789328
218.0821,5.22,0.0194,-2.78289929750548
218.1032,0.748,0.758,-0.3171183151634674
218.1033,2.56,0.0906,-1.8726895250421596
218.9961,0.686,0.983,-0.021970843718946937
218.9964,3.175,0.65,-0.4679523433353714
219.0457,0.629,0.224,-1.2962475479824793
219.0508,0.792,0.451,-0.783929304074794
219.0509,2.854,0.529,-0.6517109488963331
219.0524,2.85,0.747,-0.33187959481121443
220.0979,4.733,0.0674,2.0505280587210475
221.1178,5.185,0.279,-1.1456497182850829
222.0406,3.686,0.422,-0.8363507264424146
222.1134,5.811,0.734,-0.3495154147206573
223.0623,0.802,0.0274,-2.5804910924389217
223.0969,5.259,0.408,-0.8637927639537182
223.0982,5.267,0.89,-0.14179999880194297
224.0561,3.018,0.551,0.6174179633669264
224.0563,0.81,0.535,0.6426453512464914
224.062,4.537,0.14,-1.6049002755295132
225.0623,0.658,0.0214,-2.723897630201337
227.0554,2.1,0.995,-0.006908267362970021
227.0559,0.8,0.0467,-2.2680315177874597
227.06,0.796,0.622,-0.508951505351504
227.9967,0.668,0.225,1.2946761983383375
227.9971,0.795,0.454,0.7796133495737807
227.9972,2.377,0.418,0.8450020369621374
229.017,4.354,0.449,-0.7879846743928782
229.0539,5.383,0.852,-0.19123243222306316
230.0128,3.042,0.933,-0.08586771630341337
230.0128,3.569,0.508,0.686187732365476
230.0129,2.513,0.164,1.5016063971700087
230.0135,0.791,0.474,0.7435034218314831
230.0139,0.763,0.245,1.2360114632465813
230.0156,0.793,0.86,0.18148216978595783
230.0159,2.501,0.228,1.2836260040300675
230.0493,0.666,0.751,-0.32616781228069597
230.9963,3.838,0.601,-0.539289550526435
230.9967,0.757,0.0264,2.6014966207360057
230.9968,3.178,0.0857,1.9067071310466355
230.9969,3.457,0.603,0.5369081711439202
231.0308,0.666,0.137,-1.6188973862979072
231.9926,0.79,0.845,-0.2002569767206285
232.005,0.705,0.15,1.5585095648683749
232.9759,0.708,0.0043,3.67304482882373
233.0124,2.47,0.445,0.7960133211911962
235.057,0.641,0.00916,-3.2207582751942154
235.0957,5.223,0.767,-0.3041290057825938
236.1018,5.033,0.711,-0.38070657261105145
237.0356,3.369,0.625,-0.5044735749681118
237.0359,3.933,0.433,0.8164505600329374
237.1243,4.614,0.12,1.6989077397958596
238.0776,4.607,0.0545,-2.1772284787565463
239.1144,0.622,0.923,-0.0995435235579214
240.9816,3.419,0.289,-1.1186842910657953
241.1189,3.536,0.914,-0.11037930297774576
241.1193,2.896,0.794,-0.26853876234566587
242.0115,0.695,0.632,0.4936965264372292
242.0128,2.785,0.598,0.5439789880453455
242.0128,3.535,0.132,-1.6381248326395934
243.0329,4.371,0.161,-1.5141833560836138
243.0617,0.662,0.831,-0.2195839898751952
243.0779,4.486,0.862,-0.1787043863861747
243.1236,4.74,0.591,0.5557835808897444
243.1344,3.787,0.989,-0.013954936228571094
243.1349,3.353,0.977,0.02980968598776972
245.0124,3.342,0.202,-1.3665807936061274
245.0433,0.63,0.223,1.3007621759723191
245.0485,4.677,0.566,0.5928860802951837
245.0488,4.187,0.43,-0.8216186198879959
245.0489,3.748,0.356,-0.9677544868822023
245.0937,4.487,0.47,-0.7516221021261434
245.1137,0.783,0.595,0.549544416354284
246.0109,2.385,0.476,0.7409932407860181
246.0383,2.873,0.866,0.17365434341313937
246.0383,3.487,0.752,-0.3246183276057403
246.0433,0.669,0.263,-1.1860567234255446
246.0752,4.139,0.0946,-1.846335711667978
246.0753,3.721,0.0227,-2.690304057618422
246.1531,5.399,0.677,-0.4286727306987021
246.9913,0.705,0.578,0.5754447977809386
246.9917,2.802,0.155,1.5378869902662535
247.0277,0.755,0.132,1.6401531737672361
247.062,0.659,0.106,-1.776629325306861
247.0798,4.12,0.0322,-2.485532968341191
248.0596,0.808,0.925,0.09686231786881476
250.0718,3.655,0.478,-0.7372035936691186
251.0128,3.524,0.196,-1.385975495661075
253.0503,5.048,4.28e-5,6.883944475500525
253.9903,0.661,0.124,-1.6786595453027482
254.9816,0.664,0.0436,-2.3086064630900522
254.9941,3.14,0.188,1.4115277060017701
255.0674,5.078,0.00431,3.6712582818675163
255.1349,3.614,0.474,-0.7441447816921608
255.1349,4.042,0.498,-0.7034266673642955
257.0816,6.056,6.85e-5,6.505158378873507
258.0424,0.699,0.161,1.5146661938256507
258.044,2.007,0.17,-1.4778503262532503
258.9916,0.797,0.64,-0.48251878705955115
258.9926,3.301,0.256,1.20380967263432
259.057,0.712,0.0454,-2.285240694474301
259.129,3.733,0.443,-0.7992878757844446
260.0239,2.686,0.412,0.8553270203840394
260.0254,0.667,0.781,0.2856352543388077
261.0071,3.241,0.61,0.5263740995484328
261.0072,0.769,0.377,-0.9241934296222135
261.0232,0.668,0.433,-0.8168128153960311
261.039,0.66,0.309,1.070823212772285
262.0286,0.664,0.387,0.9039409711319287
262.0364,0.654,0.92,0.10303264167573532
262.9863,0.693,0.0944,-1.8476227240056382
263.0249,0.69,0.3,-1.0939913878534653
263.0272,2.81,0.989,0.014008741125018992
263.0573,0.662,0.121,-1.6938438571314736
263.1041,2.759,0.221,1.3059455228579688
263.1041,2.796,0.0525,2.19917668930966
263.1046,3.466,0.137,1.6145884834183226
263.1054,2.91,0.402,-0.8743555200604235
263.1397,2.777,0.169,1.4806907006798742
263.141,3.465,0.176,1.4573442975840052
264.0876,3.875,0.434,0.8156826712613825
264.1168,3.46,0.255,1.208470553709638
264.9884,0.68,0.474,-0.7431986933877663
265.0184,2.828,0.319,-1.0495770611885022
265.1192,4.316,0.643,-0.47768426469152514
267.1235,7.063,0.165,1.4991227789661854
269.1505,4.575,0.348,-0.9847418493550034
269.1506,4.275,0.287,-1.1239247078746193
273.0073,0.807,0.154,-1.5420486476492206
273.0074,3.349,0.254,-1.2092039004164958
274.0026,0.671,0.214,-1.3277729813766093
274.0027,2.51,0.161,-1.513984430968857
274.0396,0.676,0.495,-0.7080157380195271
274.039,0.769,0.575,-0.579481135162552
275.0216,0.69,0.514,-0.6770983579451372
275.0221,0.754,0.592,-0.5532002069967131
275.0224,3.427,0.0215,-2.7210291062664678
275.0569,0.663,0.174,-1.4650979663942487
276.0009,3.151,0.834,0.21499977548583085
276.0018,0.763,0.433,0.8175122512105722
277.0021,0.707,0.374,0.931295894215882
277.0349,0.667,0.94,0.07775252812916945
277.052,0.659,0.388,0.9025551077348605
277.0852,0.658,0.0609,-2.111360251706038
278.0698,0.683,0.00125,-4.4413240067872115
279.0491,3.95,0.809,0.24850780274678194
279.049,3.659,0.791,0.2719227047952731
279.0984,3.799,0.768,-0.30311291547209357
279.9896,3.301,0.457,0.7730743605611281
281.1142,4.039,0.148,-1.5661719905032105
282.0473,0.802,0.34,-1.0024277957339203
283.0822,3.328,0.126,1.6671117779628062
283.0822,3.893,0.139,1.6097394530042815
283.1657,5.239,0.637,-0.4870053711892614
287.0195,0.66,0.148,1.5664958144789243
287.0227,3.548,0.0819,-1.9340295554737414
287.0526,0.66,0.0307,-2.513388716927275
289.0363,0.688,0.116,-1.721832093655436
289.0528,0.664,0.0574,-2.1468794524656127
289.0702,0.663,0.136,-1.6226254694205868
290.0877,0.662,0.379,-0.9205253689251306
291.0345,0.717,0.844,-0.2016768101543866
291.0683,0.654,0.289,-1.1190708475035487
293.0301,0.685,0.313,-1.0631850209504063
293.0331,2.576,0.177,-1.4537638291259438
293.0676,0.65,0.612,-0.5242318526199061
293.0743,2.543,0.988,-0.015067642162724593
295.0242,4.354,0.41,-0.8602723164032454
295.0252,3.897,0.988,-0.015652220629814015
295.0806,3.721,0.014,2.970590545587557
295.0815,4.242,0.00144,4.351550803882667
295.1298,3.641,0.815,0.24005738340096405
296.0197,0.697,0.0942,-1.8486749379361194
296.9824,0.699,0.091,-1.8698613487823263
297.0975,4.072,1.95e-7,12.525848267086431
297.0975,4.498,3.03e-8,15.225046786943675
298.0002,3.49,0.925,-0.09697420020577825
299.0779,3.509,0.981,-0.024036519884803414
299.1247,0.784,0.591,-0.5549065212151522
300.0195,0.687,0.122,-1.6877264150280145
300.039,0.661,0.0146,-2.9459552582451964
301.0547,0.665,0.567,0.5921081656162268
301.0563,0.774,0.16,1.5193697240694672
302.0532,0.694,0.571,-0.5850705631309556
302.1145,3.69,0.812,-0.24373171407906724
303.0177,0.795,0.0608,-2.1127654139088454
303.0178,3.212,0.0955,-1.840889735256589
303.0365,0.684,0.847,0.19865175784265474
303.0532,0.705,0.604,-0.5353748752535723
303.0712,0.728,0.0105,3.139115927436952
303.072,2.684,0.0376,2.3951471981506227
305.1604,5.512,0.503,-0.6949132980451738
306.9561,3.814,0.185,1.4223136944503645
307.0326,0.669,0.852,-0.19206519452513326
307.1184,6.294,0.979,0.02650125278237496
308.0774,3.378,0.17,1.477932497544437
308.0983,0.658,0.157,-1.5309323460898479
310.9691,1.162,0.651,-0.46577337537541447
310.9761,0.719,0.52,-0.6672291051518584
311.0752,3.182,0.128,1.6603201172170168
313.0567,0.793,0.424,0.8326816304472497
313.0569,3.13,0.0614,2.1062517677523944
313.9951,2.734,0.89,-0.1413073393347723
313.995,4.031,0.146,1.5780863643995957
313.999,0.818,0.276,1.1533300523951582
315.0338,0.673,0.303,-1.0865177269702826
315.0713,0.751,0.647,0.47166373149039725
317.1602,5.227,0.206,1.3529664504273646
318.064,0.674,0.431,-0.8203602702788132
319.0474,0.696,0.0465,-2.2713585571147514
319.1032,0.789,0.0177,-2.8341093890009494
319.1396,5.493,0.419,-0.8422704850173238
320.0597,0.683,0.512,-0.6797184667588746
321.0622,3.448,0.865,-0.1747475210518338
321.0625,0.656,0.0917,-1.865125063404835
324.0682,6.363,0.367,0.9439023518207675
324.0723,0.776,0.295,1.1058431469956673
324.0723,2.134,0.123,1.6839637385505302
324.0723,2.857,0.389,0.9007143808102434
325.1288,5.321,0.458,-0.7717163521826399
326.0866,0.798,0.406,0.8681808133133226
328.0474,0.665,0.0122,-3.0516229798116092
329.1602,5.369,0.803,-0.2564739747900872
330.0287,3.095,0.0645,-2.077500680884511
330.0291,0.673,0.813,0.2426433900252414
331.0121,3.56,0.716,-0.37373567340835356
331.0274,0.668,0.328,1.0294742551420986
331.091,2.747,0.405,0.8693710686437535
331.091,3.433,0.973,-0.035143312759577
331.1218,3.932,0.00969,-3.1877313575380906
331.1763,5.775,0.469,-0.7519830697189874
333.0047,4.33,8.12e-6,8.344940653180211
333.0066,3.893,2.56e-5,7.313244235403201
333.0634,0.694,0.141,-1.599866260891575
334.0517,3.708,0.998,0.002365740545101942
335.0244,4.36,2.48e-6,9.52404492608149
335.0468,0.663,0.165,-1.4983259368606885
336.0493,0.662,0.351,-0.9776166300776604
336.0706,3.376,0.369,0.9399546285207709
336.0708,0.807,0.244,-1.2386643719745682
336.0718,3.292,0.0881,-1.889878689306215
336.072,3.762,0.0638,-2.083648920633817
336.1214,3.081,0.802,-0.2574380531548378
336.1218,3.046,0.159,-1.5220907095464495
336.1323,3.647,0.456,-0.7760602858670606
337.0556,0.777,0.564,-0.5970412177160213
337.056,3.104,0.819,-0.2348049898992819
337.1446,4.025,0.778,0.28977299325316036
337.1469,3.591,0.788,0.2764930047285348
338.0632,3.433,0.527,-0.6547126183193555
338.0879,3.557,0.589,0.5582484051728228
338.1178,2.307,0.34,-1.001631456439836
339.1082,4.74,0.918,-0.10540438555812927
