mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
1122.0248_4.125,22374.650581818183,694.3278177272728,32.22490876868021,1.07e-8,5.010104369093871,7.97061622231479
1122.0249_4.032,21166.980490909093,851.9500031818181,24.845331782212295,1.51e-7,4.634902902517237,6.82102305270683
194.0458_3.657,41930.102636363634,17814.721327272728,2.3536771564409733,0.0141,1.2349164458038906,1.85078088734462
201.0227_4.086,350758.40763636364,3629.8155181818183,96.63257151208037,4.55e-8,6.594437648737017,7.341988603342887
201.0228_4.555,1531222.0781818181,9223.499145454545,166.01314252155848,2.66e-8,7.375153647612842,7.575118363368933
215.0021_3.307,38825.228727272726,10573.490209090909,3.671940670441199,2.86e-5,1.8765427485252082,4.543633966870957
217.0172_4.4,65331.618,13060.870872727271,5.0020874286737325,1.7e-4,2.3225302737947158,3.769551078621726
217.0173_3.88,29268.181727272728,12700.474463636363,2.3044951439469883,0.00433,1.2044507276177254,2.3635121036466344
253.0503_5.048,30829.367854545453,1390.7552927272727,22.16735612351259,4.28e-5,4.470364806682468,4.368556230986828
255.0674_5.078,11890.288245454545,985.6614895454545,12.063257387622848,0.00431,3.592547619242384,2.3655227298392685
257.0816_6.056,11708.986918181818,621.7162863636364,18.83332828011736,6.85e-5,4.235216074601079,4.164309428507575
295.0806_3.721,6857.608818181818,3263.7214999999997,2.101162374970358,0.014,1.0711876558294804,1.853871964321762
295.0815_4.242,15799.72600909091,5949.874436363636,2.655472174761922,0.00144,1.4089684122990092,2.8416375079047502
297.0975_4.072,118358.52990909091,2711.3741090909093,43.65260017503637,1.95e-7,5.447995685692959,6.709965388637482
297.0975_4.498,255732.28781818182,2173.6373727272726,117.65177164639627,3.03e-8,6.878379235166734,7.518557371497695
333.0047_4.33,80856.93927272728,3275.8730636363634,24.682561778804857,8.12e-6,4.625420233044704,5.090443970758825
333.0066_3.893,30310.47480909091,1846.3364363636363,16.416550208361514,2.56e-5,4.037079084354596,4.591760034688151
335.0244_4.36,52490.95472727273,2229.694190909091,23.541773101122498,2.48e-6,4.557151079149089,5.605548319173784
363.021_3.933,13203.907545454545,1749.4485590909092,7.547468301849286,0.00106,2.9159927926649196,2.9746941347352296
363.0234_4.453,33400.38500909091,5606.315663636364,5.957635462043673,0.00756,2.5747398501414067,2.1214782044987937
365.0863_4.095,22118.08490909091,1468.1123545454545,15.065662270745579,2.93e-6,3.913192188577765,5.533132379645891
366.0851_4.55,8744.158454545455,2387.532831818182,3.662424381358769,0.00104,1.872798972295311,2.9829666607012197
393.0495_3.605,14338.742,2688.786390909091,5.332793281191819,4.49e-5,2.4148914049045302,4.347753658996677
429.0815_4.032,43509.88145454546,2322.39732,18.734899958696758,9.46e-7,4.227656368819272,6.024108863598207
429.082_3.756,60152.38881818182,2607.140201818182,23.072172634303445,5.58e-7,4.5280819593829005,6.253365801062421
429.083_3.201,24024.318418181818,1798.5693318181818,13.35746028422242,1.13e-6,3.739573822484843,5.94692155651658
431.0979_3.907,47552.15663636364,2072.291601818182,22.946653161477105,9.66e-7,4.520211842450377,6.015022873584507
433.0646_4.045,6336.337463636363,2264.020565,2.798710206784877,0.00117,1.4847621103910473,2.9318141382538383
433.1136_4.519,61103.24563636364,15819.245190909092,3.862589200619893,7.51e-4,1.9495682502483418,3.1243600629958315
433.113_4.886,161260.54281818183,2399.593929090909,67.20326337851492,7.6e-7,6.070459386606976,6.119186407719209
437.0526_5.832,7456.317581818182,1416.21182,5.2649734146535945,0.0284,2.396426246418275,1.5466816599529623
445.0782_4.484,28329.407363636365,3033.9507272727274,9.337464550422075,2.34e-5,3.223030860736964,4.6307841425898575
447.0928_3.777,8585.048945454546,1912.7230909090908,4.488390915683561,1.59e-4,2.1661983327109295,3.7986028756795487
447.092_4.187,22911.460772727274,6893.259545454545,3.3237484562488615,0.0082,1.7328112020076878,2.0861861476162833
449.1074_4.301,8703.808854545454,2005.6191636363635,4.339711652318222,1.94e-4,2.117599187464566,3.712198270069774
459.093_3.801,27824.000636363635,1619.0868090909091,17.184996184353054,1.91e-8,4.103077626270803,7.718966632752273
493.1666_4.573,14644.611636363636,2934.568818181818,4.990379351688556,6.98e-4,2.319149488507984,3.156144577376839
497.0695_3.785,13430.849863636364,1456.3950545454545,9.221982608165456,1.81e-5,3.2050769449585688,4.7423214251308154
509.0384_0.699,12390.130245454546,1463.62582,8.465367361074941,7.15e-6,3.081572676331337,5.145693958198919
509.0409_3.291,19770.69381818182,1970.1409363636365,10.035167257969542,9.11e-8,3.326992757450601,7.040481623027001
521.1082_4.508,12522.355854545454,1221.1466604545456,10.254587970526224,1.05e-4,3.358197620364755,3.9788107009300617
525.0334_3.606,13955.898863636363,1362.50862,10.242796749158448,1.02e-6,3.3565377853465432,5.991399828238082
593.3333_5.048,6010.663545454546,1747.3527377272728,3.4398684453789383,0.00673,1.7823533914306875,2.171984935776023
605.1126_3.023,6297.185236363636,929.9455818181818,6.771563153245702,1.88e-5,2.7594889051628937,4.72584215073632
617.1836_4.515,9483.970065454545,850.1787681818182,11.155265716334984,0.00101,3.479652973603714,2.9956786262173574
639.0783_3.758,6371.299072727273,859.1027109090909,7.416225082080407,2.19e-5,2.890685030354147,4.6595558851598815
