mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
1122.0248_4.125,22374.650581818183,826.7188140909091,27.06440231001902,1.34e-8,4.758324622829338,7.872895201635193
1122.0249_4.032,21166.980490909093,749.3802568181818,28.245980993391353,6.21e-9,4.819973701764379,8.20690839982342
201.0227_4.086,350758.40763636364,3754.1979363636365,93.43098408287781,4.02e-9,6.545829158419426,8.39577394691553
201.0228_4.555,1531222.0781818181,8847.466218181818,173.06899403979742,1.63e-9,7.435203473394649,8.787812395596042
217.0172_4.4,65331.618,14765.916000000001,4.424487989773205,8.68e-4,2.145510513420753,3.061480274823508
253.0503_5.048,30829.367854545453,501.2626590909091,61.50342000431002,9e-7,5.942594731129043,6.045757490560675
255.0674_5.078,11890.288245454545,1233.2466863636364,9.641451606502482,0.00339,3.269250373409841,2.469800301796918
257.0816_6.056,11708.986918181818,595.8507136363636,19.650873365115395,3.36e-5,4.29652152805932,4.473660722610156
297.0975_4.072,118358.52990909091,2222.5173727272727,53.25426534859973,1.17e-6,5.734825176110021,5.931814138253839
297.0975_4.498,255732.28781818182,1965.4484363636363,130.11396436902893,7.15e-8,7.023631996141079,7.14569395819892
333.0047_4.33,80856.93927272728,2299.0215545454544,35.17015276036145,1.84e-6,5.1362796961609964,5.735182176990463
333.0066_3.893,30310.47480909091,1512.6915272727274,20.03744601104396,1.45e-6,4.324626728070476,5.838631997765025
335.0244_4.36,52490.95472727273,1545.9642454545456,33.95353733542479,5.35e-7,5.085489979532072,6.2716462179787715
363.021_3.933,13203.907545454545,2036.2793272727272,6.484330203921032,0.00273,2.6969575596138786,2.563837352959244
363.0234_4.453,33400.38500909091,5790.948254545455,5.767688389008509,0.0113,2.5279932221765034,1.9469215565165803
365.0863_4.095,22118.08490909091,1486.3337,14.880968458893795,4.62e-6,3.8953965155119055,5.335358024443875
366.0851_4.55,8744.158454545455,3925.4531031818183,2.227553921726331,0.00251,1.155460355053871,2.600326278518962
393.0495_3.605,14338.742,2745.3769545454547,5.222868202583142,1.19e-4,2.384842298219305,3.9244530386074694
429.0815_4.032,43509.88145454546,1290.3728363636365,33.718844839573215,5.53e-8,5.075483207301238,7.257274868695302
429.082_3.756,60152.38881818182,1033.6123413636365,58.19627573217949,8.14e-8,5.862854925776355,7.089375595110798
429.083_3.201,24024.318418181818,944.2923595454546,25.44161050900188,3.23e-7,4.669118094118448,6.490797477668897
431.0979_3.907,47552.15663636364,1393.322638181818,34.128604052838504,3.58e-6,5.092909500615262,5.446116973356125
433.1136_4.519,61103.24563636364,17262.34711818182,3.5396835214839206,0.00125,1.8236203765805075,2.9030899869919438
433.113_4.886,161260.54281818183,1154.4989772727272,139.68010885477577,5.82e-8,7.125982778168748,7.235077015350112
445.0782_4.484,28329.407363636365,2521.9377,11.233190797550774,4.57e-5,3.489695879611505,4.34008379993015
447.0928_3.777,8585.048945454546,1810.606009090909,4.741533443692165,0.0032,2.2453537118316844,2.494850021680094
447.092_4.187,22911.460772727274,5953.8874636363635,3.8481514661907963,0.0305,1.944165585807986,1.5157001606532141
449.1074_4.301,8703.808854545454,1802.824710909091,4.827873060468801,0.00289,2.2713877437317658,2.5391021572434522
459.093_3.801,27824.000636363635,1280.678981818182,21.725975854512626,7.19e-9,4.4413490741754815,8.143271109617118
493.1666_4.573,14644.611636363636,3142.5718363636365,4.6600721952976425,9.79e-5,2.220352305736009,4.009217308196862
497.0695_3.785,13430.849863636364,1161.9685909090908,11.558703022366942,1.16e-7,3.5309076200465475,6.935542010773082
509.0384_0.699,12390.130245454546,1320.5583745454546,9.382493409062144,8.19e-6,3.229971371659899,5.086716098239582
509.0409_3.291,19770.69381818182,1919.8400454545454,10.298094294361313,1.55e-6,3.364305480213505,5.809668301829708
521.1082_4.508,12522.355854545454,1295.3063272727272,9.667486053983328,4.51e-5,3.2731407781222948,4.345823458122039
525.0334_3.606,13955.898863636363,1333.5736072727273,10.465038290745253,1.49e-6,3.387505685197394,5.826813731587726
605.1126_3.023,6297.185236363636,1033.7170381818182,6.0917881816474795,3.13e-5,2.606865778561986,4.504455662453552
617.1836_4.515,9483.970065454545,1035.8408072727273,9.155818151656874,0.00117,3.1946888090810006,2.9318141382538383
639.0783_3.758,6371.299072727273,760.4720486363636,8.378084486013567,8.38e-6,3.066620432657316,5.076755981369724
