mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
175.0241_0.753,13955.416545454545,49235.39118181818,0.283442788012377,0.0356,-1.8188705335485003,1.448550002027125
178.0524_2.721,350820.692,818697.8018181818,0.42851060699184707,0.0263,-1.2225971788456422,1.5800442515102422
345.1554_4.506,78212.88172727273,457271.26972727274,0.1710426324704824,0.0325,-2.5475721324197576,1.4881166390211256
345.1933_4.201,1866.0455454545454,10369.9486,0.17994742475913,0.0321,-2.4743526389921406,1.493494967595128
361.1499_3.066,3888.546018181818,11634.793318181819,0.3342170257640198,0.0309,-1.58114286549885,1.5100415205751654
369.0829_3.476,5780.058627272727,14423.179990909091,0.4007478677320736,0.0353,-1.3192332506661093,1.4522252946121774
373.1141_3.685,7890.090645454546,16057.56549090909,0.49136281897286865,0.015,-1.025139400624174,1.8239087409443189
413.1426_4.219,9053.628745454545,37560.037836363634,0.2410441859749487,0.023,-2.052630462773057,1.6382721639824072
413.1426_4.51,12293.728454545455,59069.19119090909,0.2081242049652018,0.0234,-2.2644833337903165,1.630784142589857
413.1436_3.2,1498.8412727272728,5845.404,0.25641363244136295,0.0494,-1.963455128824928,1.3062730510763532
427.197_3.64,2664.4285545454545,12520.264727272726,0.21280928259780044,0.0256,-2.2323670132882274,1.5917600346881504
427.197_4.049,4099.447090909091,17697.873672727274,0.23163500693455671,0.0385,-2.1100747909801756,1.4145392704914994
572.2105_4.512,733.3780427272727,2643.5370472727272,0.277423024384652,0.0118,-1.8498405675462872,1.9281179926938745
691.3179_4.171,1080.5619563636365,7835.889077272727,0.13789908786454197,0.0271,-2.858315180730567,1.5670307091255944
