mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
168.0777_0.606,168.0777,0.606,55270.68949999999,Cluster_168.0777_0.606,168.0777_0.606;236.065_0.603,2
154.0621_0.609,154.0621,0.609,164721.21000000002,154.0621_0.609,154.0621_0.609,1
124.0072_0.616,124.0072,0.616,34493.831999999995,124.0072_0.616,124.0072_0.616,1
193.0351_0.617,193.0351,0.617,79363.17,193.0351_0.617,193.0351_0.617,1
239.1144_0.622,239.1144,0.622,8386.998,239.1144_0.622,239.1144_0.622,1
195.051_0.627,195.051,0.627,200851.99,195.051_0.627,195.051_0.627,1
215.0326_0.629,215.0326,0.629,86439.75200000001,215.0326_0.629,215.0326_0.629,1
219.0457_0.629,219.0457,0.629,27026.4205,219.0457_0.629,219.0457_0.629,1
217.0486_0.63,217.0486,0.63,78276.785,217.0486_0.63,217.0486_0.63,1
245.0433_0.63,245.0433,0.63,16794.542999999998,245.0433_0.63,245.0433_0.63,1
165.0405_0.634,165.0405,0.634,97125.6605,165.0405_0.634,165.0405_0.634,1
187.0383_0.634,187.0383,0.634,20045.358500000002,187.0383_0.634,187.0383_0.634,1
235.057_0.641,235.057,0.641,10291.8925,235.057_0.641,235.057_0.641,1
135.0295_0.64,135.0295,0.64,186850.16499999998,135.0295_0.64,135.0295_0.64,1
277.0852_0.658,277.0852,0.658,1804.7466,277.0852_0.658,277.0852_0.658,1
179.0556_0.643,179.0556,0.643,63805.663,179.0556_0.643,179.0556_0.643,1
149.0089_0.649,149.0089,0.649,36253.163,149.0089_0.649,149.0089_0.649,1
547.1106_0.67,547.1106,0.67,1891.03165,547.1106_0.67,547.1106_0.67,1
149.0452_0.654,149.0452,0.654,55019.6725,149.0452_0.654,149.0452_0.654,1
262.0364_0.654,262.0364,0.654,20604.7035,262.0364_0.654,262.0364_0.654,1
321.0625_0.656,321.0625,0.656,19879.676,Cluster_321.0625_0.656,265.0732_0.64;321.0625_0.656,2
174.0405_0.655,174.0405,0.655,24687.766,174.0405_0.655,174.0405_0.655,1
291.0683_0.654,291.0683,0.654,3971.7276,291.0683_0.654,291.0683_0.654,1
167.0208_0.657,167.0208,0.657,352837.93,167.0208_0.657,167.0208_0.657,1
261.039_0.66,261.039,0.66,22829.5785,261.039_0.66,261.039_0.66,1
494.1144_0.666,494.1144,0.666,1796.35775,494.1144_0.666,494.1144_0.666,1
308.0983_0.658,308.0983,0.658,16012.413499999999,308.0983_0.658,308.0983_0.658,1
247.062_0.659,247.062,0.659,23741.332000000002,247.062_0.659,247.062_0.659,1
363.0756_0.658,363.0756,0.658,27208.6365,363.0756_0.658,363.0756_0.658,1
277.052_0.659,277.052,0.659,7775.1942500000005,277.052_0.659,277.052_0.659,1
262.0286_0.664,262.0286,0.664,26868.822500000002,262.0286_0.664,262.0286_0.664,1
287.0195_0.66,287.0195,0.66,9832.996500000001,287.0195_0.66,287.0195_0.66,1
290.0877_0.662,290.0877,0.662,7016.4259999999995,290.0877_0.662,290.0877_0.662,1
287.0526_0.66,287.0526,0.66,7970.92455,287.0526_0.66,287.0526_0.66,1
263.0573_0.662,263.0573,0.662,22116.822,263.0573_0.662,263.0573_0.662,1
253.9903_0.661,253.9903,0.661,9957.782,253.9903_0.661,253.9903_0.661,1
188.0021_0.665,188.0021,0.665,19903.0975,188.0021_0.665,188.0021_0.665,1
300.039_0.661,300.039,0.661,23730.5715,300.039_0.661,300.039_0.661,1
379.0686_0.661,379.0686,0.661,47984.230500000005,379.0686_0.661,379.0686_0.661,1
243.0617_0.662,243.0617,0.662,28403.915,243.0617_0.662,243.0617_0.662,1
351.0566_0.663,351.0566,0.663,27684.023999999998,351.0566_0.663,351.0566_0.663,1
351.0199_0.667,351.0199,0.667,13734.188,Cluster_351.0199_0.667,151.0066_0.66;351.0199_0.667,2
396.025_0.663,396.025,0.663,21224.6305,396.025_0.663,396.025_0.663,1
293.0301_0.685,293.0301,0.685,8886.892,Cluster_293.0301_0.685,265.0186_0.67;293.0301_0.685;295.0277_0.684;307.0116_0.682;463.0657_0.669;487.0783_0.683;491.0719_0.671;527.1244_0.676;557.1344_0.671;631.1154_0.686;661.1248_0.679;691.1349_0.67,12
254.9816_0.664,254.9816,0.664,84435.52,254.9816_0.664,254.9816_0.664,1
328.0474_0.665,328.0474,0.665,7045.75575,328.0474_0.665,328.0474_0.665,1
275.0569_0.663,275.0569,0.663,13823.9515,Cluster_275.0569_0.663,275.056_0.654;275.0569_0.663,2
445.0903_0.667,445.0903,0.667,12087.324,445.0903_0.667,445.0903_0.667,1
289.0702_0.663,289.0702,0.663,8408.6025,289.0702_0.663,289.0702_0.663,1
293.0676_0.65,293.0676,0.65,14082.61275,293.0676_0.65,293.0676_0.65,1
541.1207_0.663,541.1207,0.663,8633.871,541.1207_0.663,541.1207_0.663,1
227.9967_0.668,227.9967,0.668,50549.844,227.9967_0.668,227.9967_0.668,1
395.0628_0.675,395.0628,0.675,24235.3085,395.0628_0.675,395.0628_0.675,1
405.0648_0.668,405.0648,0.668,15310.3285,405.0648_0.668,405.0648_0.668,1
398.0412_0.681,398.0412,0.681,4988.1103,398.0412_0.681,398.0412_0.681,1
231.0308_0.666,231.0308,0.666,18761.784,231.0308_0.666,231.0308_0.666,1
289.0528_0.664,289.0528,0.664,8067.264,289.0528_0.664,289.0528_0.664,1
375.054_0.665,375.054,0.665,17288.720999999998,375.054_0.665,375.054_0.665,1
225.0623_0.658,225.0623,0.658,12963.181,225.0623_0.658,225.0623_0.658,1
360.0729_0.672,360.0729,0.672,18135.4365,Cluster_360.0729_0.672,360.0729_0.672;389.0688_0.663,2
261.0232_0.668,261.0232,0.668,255209.595,Cluster_261.0232_0.668,261.0232_0.668;304.0334_0.669;305.0302_0.67;417.0297_0.684,4
260.0254_0.667,260.0254,0.667,170632.41499999998,260.0254_0.667,260.0254_0.667,1
347.059_0.674,347.059,0.674,26943.165,Cluster_347.059_0.674,347.059_0.674;373.0567_0.663,2
356.031_0.667,356.031,0.667,5298.672500000001,356.031_0.667,356.031_0.667,1
331.0274_0.668,331.0274,0.668,18398.762000000002,331.0274_0.668,331.0274_0.668,1
345.0438_0.668,345.0438,0.668,42807.7835,345.0438_0.668,345.0438_0.668,1
336.0493_0.662,336.0493,0.662,20038.8505,336.0493_0.662,336.0493_0.662,1
217.0162_0.671,217.0162,0.671,388914.62,Cluster_217.0162_0.671,216.0196_0.667;217.0162_0.671,2
349.059_0.669,349.059,0.669,39433.455,349.059_0.669,349.059_0.669,1
371.0241_0.671,371.0241,0.671,5400.6713500000005,371.0241_0.671,371.0241_0.671,1
359.0566_0.67,359.0566,0.67,15132.099,359.0566_0.67,359.0566_0.67,1
475.0782_0.667,475.0782,0.667,3824.6782,475.0782_0.667,475.0782_0.667,1
431.0534_0.666,431.0534,0.666,8004.713,Cluster_431.0534_0.666,323.0417_0.656;431.0534_0.666;432.2024_0.669;461.0646_0.667;462.0712_0.669,5
274.0026_0.671,274.0026,0.671,21403.9165,274.0026_0.671,274.0026_0.671,1
230.0493_0.666,230.0493,0.666,3545.2302,230.0493_0.666,230.0493_0.666,1
550.1307_0.664,550.1307,0.664,2111.9964499999996,Cluster_550.1307_0.664,338.1134_0.651;550.1307_0.664,2
173.0089_0.672,173.0089,0.672,517758.19,Cluster_173.0089_0.672,129.0191_0.669;173.0089_0.672;85.0291_0.668,3
526.0995_0.675,526.0995,0.675,2326.09785,526.0995_0.675,526.0995_0.675,1
232.005_0.705,232.005,0.705,4964.9912,Cluster_232.005_0.705,232.005_0.705;246.0075_0.694,2
330.0291_0.673,330.0291,0.673,23451.752,330.0291_0.673,330.0291_0.673,1
301.0547_0.665,301.0547,0.665,5937.7895,301.0547_0.665,301.0547_0.665,1
274.0396_0.676,274.0396,0.676,12062.54,274.0396_0.676,274.0396_0.676,1
318.064_0.674,318.064,0.674,10009.7675,318.064_0.674,318.064_0.674,1
315.0338_0.673,315.0338,0.673,17856.55,315.0338_0.673,315.0338_0.673,1
320.0597_0.683,320.0597,0.683,22176.6835,320.0597_0.683,320.0597_0.683,1
277.0349_0.667,277.0349,0.667,7178.59935,277.0349_0.667,277.0349_0.667,1
262.9863_0.693,262.98630000000003,0.693,5139.8567,262.9863_0.693,262.9863_0.693,1
264.9884_0.68,264.9884,0.68,94396.78700000001,264.9884_0.68,264.9884_0.68,1
399.0203_0.683,399.0203,0.683,15482.17,399.0203_0.683,399.0203_0.683,1
344.0448_0.677,344.0448,0.677,28928.565499999997,344.0448_0.677,344.0448_0.677,1
303.0365_0.684,303.0365,0.684,37633.1135,303.0365_0.684,303.0365_0.684,1
