row ID,row m/z,row retention time,PB1_C18NEG_2.mzML ,PB2_C18NEG_3.mzML ,PB3_C18NEG_4.mzML ,6111_U4_C18NEG_42.mzML ,6101_U2_C18NEG_30.mzML ,6102_U1_C18NEG_26.mzML ,6110_U2_C18NEG_34.mzML ,6105_U4_C18NEG_47.mzML ,6103_U4_C18NEG_53.mzML ,6105_U1_C18NEG_43.mzML ,6104_U1_C18NEG_55.mzML ,6113_U4_C18NEG_62.mzML ,6105_U2_C18NEG_40.mzML ,6113_U3_C18NEG_15.mzML ,6102_U3_C18NEG_48.mzML ,6101_U3_C18NEG_29.mzML ,6108_U4_C18NEG_18.mzML ,6104_U4_C18NEG_12.mzML ,6111_U1_C18NEG_51.mzML ,6105_U3_C18NEG_39.mzML ,6110_U4_C18NEG_10.mzML ,6111_U3_C18NEG_54.mzML ,6104_U2_C18NEG_19.mzML ,6101_U1_C18NEG_59.mzML ,6111_U2_C18NEG_35.mzML ,6113_U2_C18NEG_31.mzML ,6101_U4_C18NEG_14.mzML ,6103_U3_C18NEG_61.mzML ,6108_U3_C18NEG_28.mzML ,6109_U1_C18NEG_58.mzML ,6104_U3_C18NEG_32.mzML ,6110_U3_C18NEG_45.mzML ,6108_U2_C18NEG_27.mzML ,6108_U1_C18NEG_44.mzML ,6102_U4_C18NEG_50.mzML ,PooledQC10_C18NEG_64.mzML ,6103_U2_C18NEG_60.mzML ,PooledQC9_C18NEG_57.mzML ,6102_U2_C18NEG_16.mzML ,6112_U2_C18NEG_37.mzML ,6110_U1_C18NEG_11.mzML ,6112_U4_C18NEG_63.mzML ,6109_U3_C18NEG_52.mzML ,6109_U4_C18NEG_22.mzML ,6109_U2_C18NEG_13.mzML ,6106_U4_C18NEG_36.mzML ,6113_U1_C18NEG_24.mzML ,PooledQC5_C18NEG_25.mzML ,6106_U3_C18NEG_20.mzML ,PooledQC6_C18NEG_33.mzML ,6112_U3_C18NEG_56.mzML ,PooledQC4_C18NEG_17.mzML ,PooledQC8_C18NEG_49.mzML ,PooledQC7_C18NEG_41.mzML ,6103_U1_C18NEG_21.mzML ,6106_U1_C18NEG_23.mzML ,6106_U2_C18NEG_46.mzML ,6112_U1_C18NEG_38.mzML ,Prerun_PooledQC3_C18NEG_7_1.mzML 
13,966.0007248,0.5479368,39093.12,40050.883,49989.8,42124.074,36205.31,41110.99,29166.305,46749.92,39278.008,44551.094,41285.227,38455.56,35262.566,54179.805,35557.457,33170.8,47389.625,33201.57,36171.094,38460.1,45892.152,33976.99,41115.523,41582.984,61521.65,43648.56,42308.66,33991.992,33529.78,31415.168,40745.746,53354.098,42024.086,36436.867,44750.445,46163.582,34748.96,36183.035,39052.863,38335.664,47910.53,32541.36,46574.88,42843.03,35765.36,34001.434,39353.293,39383.375,40028.625,40322.605,29286.002,36918.938,58218.68,33627.246,38882.984,51411.598,34816.42,32601.781,52979.855
15,129.9757322,0.55057317,10624.492,10615.042,11532.363,14360.531,11034.615,13391.855,16056.78,11940.884,14015.689,10373.698,9440.411,10617.46,12004.701,10654.249,11784.318,13935.779,9747.879,9279.051,11675.385,10759.593,10651.871,11683.078,16878.625,12233.803,10871.684,10948.428,10137.3955,13278.917,12105.113,13099.089,11280.025,10486.047,12434.115,11149.463,11276.762,11971.948,11567.231,10811.415,14990.388,15288.475,12261.985,9711.153,12849.665,11249.779,11521.062,16360.352,11658.289,12078.35,11592.197,10472.263,14301.49,14088.563,12074.963,11492.336,13127.721,10978.219,10717.793,11957.173,13178.988
33,316.9477589,0.5530223,19186.877,9481.355,10208.65,70572.79,61222.707,73105.63,86116.484,87453.1,99468.57,83510.76,78136.81,76121.04,64066.98,73214.76,91682.71,68793.53,57914.45,89327.77,74064.69,79839.29,75573.164,73783.51,92790.9,58426.797,69039.81,73728.54,72955.38,70730.09,76391.586,62665,77524.05,73332.73,68794.75,58262.555,50119.324,70966.42,75518.7,81310.05,79656.945,73784.63,61921.24,80125.3,45017.637,64126.2,60799.902,85012.33,74757.32,79790.09,76427.3,77225.06,72482.99,81239.516,81024.56,70224.16,89533.74,53679.137,97323.07,75428.72,97092.6
39,248.9603577,0.55255145,25588.281,18306.807,15585.357,118625.18,99168.46,118963.51,137303.12,137735.14,138037.78,114821.98,123943.26,113361.78,111987.7,112490.31,122493.68,112571.33,94979.65,123946.65,120178.57,112072.71,122881.84,126847.89,134711.47,97741,110375.984,108602.19,113277.125,118476.6,119059.77,114242.805,123885.734,119834.24,98072.6,87769.24,85192.875,114412.64,122268.53,113416.34,119205.01,121912.58,100105.836,117939.15,85571.31,115444.82,106433.734,151664.36,108978.78,135410.97,127032.13,127944.79,115087.98,120338.47,121841.195,122038.95,130635.07,93823.02,166407.17,121814.586,142738.72
67,112.985587,0.5586751,106101.5,88366.43,86474.64,295488.75,276420,288158.34,348819.16,307262.34,311466.8,276361.4,280031.22,313725.78,289877.78,290749.78,292389.5,263623.56,260316.31,296438.5,303521.84,287167.97,297819.94,285263.94,288351.3,269745.22,288622.38,278173.56,310225.62,290558.9,275451.84,275593.6,305332.97,294536.2,280247.44,253021.5,249228.75,290099.8,302031.88,300458.84,280306.97,304208.8,267418.75,289861.94,246094.55,296443.7,280464.6,446109.16,300502.25,303325.2,308524.66,298330.53,283787.47,288531.47,306503.72,297675.2,304759.1,281076.56,420929.22,293815.62,304180.8
157,272.9589015,0.563529,2840.1086,2947.16,2596.6128,8284.894,17498.107,25353.979,1401.505,1046.6406,2807.6567,12965.007,2148.6992,3363.899,37917.83,25213.361,20625.242,14073.311,34349.83,7853.874,5677.2617,18249.652,3723.91,33641.414,0,45352.79,20622.266,27844.566,12690.178,5796.4023,14256.301,5538.7783,0,22771.242,50710.305,59207.85,21638.078,5283.6,0,3725.0037,17972.725,2734.1855,57681.03,2493.794,74176.1,5350.9956,0,5524.232,17492.963,6020.838,3766.0977,6661.751,16829.344,3313.6755,8252.388,6872.7983,0,2497.004,10952,2008.8534,5579.1875
174,96.96009084,0.570635,206694.64,212736.1,213961.69,1071992.8,1110094.8,1003569.25,646710.3,1122717.2,876504.7,1362810.2,1135670.9,957130.9,1409221,1173330.6,1053315.2,1164064.5,1399778.1,1080630.2,1173555.9,1292796.8,998219.44,1470795.9,1059175.9,1220628.9,1012901.9,1313409.6,988113.56,1196504.1,1127689.5,1274790.6,1205707,1232110.5,1233070.1,1383289.9,1089248,1162656.9,877256.4,1111197.1,964968.8,977008.75,1257075.9,1159878.1,1049041.4,1024027.56,936440.4,311347.22,1111189.6,1154477.1,895134.1,1134762.8,1454690.2,1122944.8,1124507.4,1152746.8,1089399.6,1909211,420555.84,1225303.2,1078254.5
262,158.9784973,0.580056,28086.812,30032.555,28382.21,113756.516,126210.3,163019.33,19368.908,16851.65,30957.803,124258.07,72986.484,58725.215,146917.98,155856.42,144430.44,133932.61,146051.1,114334.82,88692.15,138143.73,82602.16,150953.45,13994.533,168100.48,163631.77,145368.64,80837.97,96323.29,135197.11,102255.78,20399.564,132283.33,167602.31,167657.83,129479.875,101509.59,7223.32,97299.1,136878.89,33182.79,171776.67,36256.62,191259.81,92227.26,15206.363,63090.336,168713,106410.5,80965.44,104066.984,150531.62,104464.91,107564.46,96900.484,17724.836,20468.379,66497.38,77983.6,95913.67
270,226.965848,0.57562846,12823.393,17003.38,13502.067,30543.37,34148.703,36946.33,18197.053,7844.8086,24713.262,27934.053,18604.453,21322.324,35105.19,38298.934,35339.29,33912.414,34695.895,26812.889,25126.06,32269.469,25087.115,32313.322,8721.2,38519.37,40141.523,33285.258,21082.922,28490.008,33067.547,26682.895,9059.412,32741.238,37169.54,40353.92,47803.293,27607.205,7200.8584,25569.201,32112.229,13605.777,39293.39,10225.116,43970.457,29617.44,10655.203,62725.133,38947.42,30707.387,27663.225,29612.674,32904.516,28702.975,30943.742,25586.46,7793.71,9022.373,53269,21707.955,26248.346
342,236.0650198,0.60323066,0,0,0,4148.156,65118.8,16741.85,16350.678,46170.508,62220.047,22077.182,24802.018,84415.375,40040.94,129096.43,19393.852,40928.19,74813.914,39472.074,11893.755,122650.73,71332.09,81834.266,17014.443,106616.484,4509.495,118818.516,19130.48,131359.86,108672.51,44842.598,11266.135,75554.62,122916.625,138031.9,9761.517,47597.703,137786.38,38887.305,33904.37,3235.104,221140,3971.044,17313.164,11375.427,6750.089,6533.1216,14953.626,37558.887,12697.017,35077.24,24371.947,35254.54,42292.39,42350.008,52805.965,31562.29,6652.2993,2725.3887,42938.242
