mz_rt,row ID,6101_U4_C18POS_14,6110_U2_C18POS_34,6104_U2_C18POS_19,6109_U4_C18POS_22,6111_U1_C18POS_51,6110_U3_C18POS_45,6105_U1_C18POS_43,6111_U4_C18POS_42,6113_U2_C18POS_31,6105_U2_C18POS_40,6109_U1_C18POS_58,6113_U4_C18POS_62,6102_U1_C18POS_26_1,6102_U2_C18POS_16,6105_U4_C18POS_47,6105_U3_C18POS_39,6111_U2_C18POS_35,6103_U4_C18POS_53,6102_U3_C18POS_48,6102_U4_C18POS_50,6104_U4_C18POS_12,6101_U1_C18POS_59,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6103_U2_C18POS_60,6101_U2_C18POS_30,6112_U2_C18POS_37,6113_U1_C18POS_24,6108_U4_C18POS_18,6104_U1_C18POS_55,6113_U3_C18POS_15,6101_U3_C18POS_29_1,6106_U3_C18POS_20,6106_U2_C18POS_46,6108_U1_C18POS_44,6111_U3_C18POS_54,6112_U4_C18POS_63,6109_U3_C18POS_52,6110_U1_C18POS_11,6110_U4_C18POS_start-10,6112_U3_C18POS_56,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6106_U1_C18POS_23,6109_U2_C18POS_13,6106_U4_C18POS_36,6112_U1_C18POS_38,PooledQC6_C18POS_17,PooledQC11_C18POS_57,PooledQC9_C18POS_41,6104_U3_C18POS_32,PooledQC10_C18POS_49,PooledQC12_C18POS_64,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC8_C18POS_33,PooledQC7_C18POS_25,...63
226.9516_0.553,37,82834.18,159688.03,140460.9,47134.42,83789.77,115715.87,141117.86,103462.3,121278.8,92647.234,71325.1,152010.11,129556.31,87254.2,126016.305,119496.164,99459.875,151227.14,158717.75,87557.96,109916.21,108696.85,138054.66,148205.27,132331.77,87252.82,135379.4,134874.95,54899.086,133671.44,115232.82,113077.48,83277.68,129639.65,88048.13,121373.62,148593.53,29571.488,82726.55,87255.984,88792.13,112433.48,133522,47348.37,42557.29,52854.555,111820.69,115757.52,118240.37,105114.6,148690.36,121176.71,105737.87,111062.14,116489.13,105719.375,NA
159.1492_0.608,187,40852.797,17948.15,32255.455,63559.54,131795.44,71032.55,72057.35,120798.03,92756.79,98266.68,43967.2,48852,142298.8,108722.12,45125.473,81703.25,126196.49,30187.975,96061.48,80956.28,75165.91,81884.32,44955.094,137800.03,31815.137,49199.188,38053.566,142823.28,105199.195,64940.02,103804.16,55141.86,30439.453,46795.38,129029.92,188306.81,23537.033,111212.414,95333.55,73131.2,77841.57,88362.89,74258.83,96163.375,87673.01,66638.414,25629.605,21210.055,22015.031,22422.412,50186.7,24738.19,21062.232,25337.414,21198.492,23833.018,NA
175.1442_0.616,197,13575.655,21984.479,14964.847,52516.56,47572.54,14294.842,44426.508,50446.316,37672.38,55319.797,51431.035,15573.125,18564.53,20142.998,36960.32,42470.18,50830.188,19550.69,15677.199,16534.807,14982.86,16201.45,19240.828,36986.703,15472.706,16545.396,91044.83,22834.74,36996.812,16883.633,15344.704,15345.043,29972.963,33895.37,46729.53,46889.742,74490.24,83805.805,18041.682,19254.072,57379.246,38633.406,5556.7363,23529.678,10710.55,6345.07,61620.72,27692.037,30782.871,27033.596,22967.107,32497.713,26731.604,30702.299,28047.193,29157.674,NA
189.1684_0.616,198,19074.893,17190.705,20831.389,24691.246,31355.463,27822.742,28435.244,33316.652,34728.844,26269.34,26198.275,18940.719,26101.877,24047.758,23779.354,28795.28,29180.318,20837.021,26480.838,24380.62,25758.904,28592.41,27282.021,207631.39,82424.97,19303.617,20892.533,26784.537,21786.781,32664.459,25316.244,21920.4,27220.258,23130.705,23986.63,31486.736,21433.28,33843.16,25284.605,28324.28,26110.379,22169.879,7922.1313,34970.906,10640.292,10293.372,20426.479,25339.65,26313.057,26264.656,32455.342,30398.734,22984.975,28100.438,25024.717,25595.705,NA
189.16_0.615,199,222439.8,184041.42,269782.4,327771.06,474162.34,379204.03,380277.4,495374.5,619336.75,392220.8,326318.25,287139.6,370087.66,327862.6,323583.94,407905.84,343974.6,287701.6,379298.9,333223.88,393059.66,407452,413321.94,287073.1,247191.03,260284.9,273968.12,363805.56,262141.08,462058.34,339223.16,286411.72,392273.2,308605.62,300982.5,497885.53,283051.12,437284.16,358736.34,353942.56,396560.4,261343.95,86662.89,642914.6,113632.88,114220.945,272035.78,347977.1,340182.12,348725.62,490092.94,209731.38,363308.7,437945.88,325348.3,369892.38,NA
156.0769_0.621,213,40528.223,18468.459,125710.73,111559.805,104119.17,46302.88,117913.33,115569.42,66684.74,124766.516,46285.516,51834.402,61783.46,65844.74,62026.832,103255.78,87008.16,31748.697,92860.36,49125.938,151751.42,52060.906,43118.453,47003.254,15954.18,48175.043,46406.88,120655.73,33618.83,138190.22,65798.29,56884.438,93179.984,53368.582,47070.05,135640.36,35788.58,93949.43,49124.348,36882.594,43268.848,33826.305,11289.108,112802.59,14779.902,14596.901,44348.906,73364.64,66721.23,71135.586,166420.84,63225.086,66063.75,63265.47,65017.645,68176.95,NA
170.0926_0.62,214,155724.97,68189.54,152682.27,185011.64,177769.8,315635.8,351803.4,164995.61,408451.88,369467.97,282296,365288.7,228834.64,224126.48,194252.73,631140,136848.05,219440.73,320339.28,168392.19,316734.78,497009.2,514488.38,503982.03,260174.61,306817.72,120507.055,308331.06,414270.66,239006.81,592997.56,283025.38,293084.16,132269.14,605182.5,450532.53,110234.8,221468.14,681209.6,255029.62,254506.16,434877.2,63596.055,459690.03,24017.957,28801.535,95746.18,299842.56,289947.72,294358.4,183914.02,280319.2,284664.38,270942.5,275686.34,300902.2,NA
136.0482_0.633,269,102048.05,190885.72,148123.45,17102.797,62847.062,161329.47,96030.8,98556.83,81741.11,82881.13,80672.49,127705.12,106401.98,100421.98,126386.125,87607.27,136709.4,96775.22,144008.16,121981.75,92052.586,63722.62,101835.016,126660.91,160063.55,77451.87,113909.93,59774.457,76626.09,110310.73,81505.53,94157.14,97358.52,96363.4,84167.23,92285.695,100197.38,12311.156,79021.21,97941.89,64867.348,85877.945,278357.44,64697.047,99225.08,134397.23,83848.016,95941.68,97010.56,94948.3,159536.19,102526.46,110262.74,87003.99,98051.74,104324.586,NA
151.1443_0.635,271,131466.11,46208.457,97567,21474.125,48863.363,105876.516,1664.4862,118058.98,1488340.5,60822.48,115729.83,50406.168,22027.36,30522.047,22547.77,27576.5,111627.81,34167.176,120907.125,85956.914,38171.703,57723.855,55291.992,76089.1,83088.7,79357.44,97922.99,65484.555,319538.72,90532.66,46202.895,226663.94,104219.48,169507.33,103306.28,108657.664,99606.17,20465.79,52988.285,233624.55,141987.5,38951.55,786404.7,456001.53,149847.6,49215.742,129040.66,144390.06,145326.1,139838.62,897226.25,186705.64,152696.94,181907.3,143204.31,141385.11,NA
137.071_0.636,274,39086.824,46495.375,26252.992,28759.168,16890.047,29090.062,46187.098,20943.441,39726.21,37211.77,26945.795,52744.688,60596.637,46831.156,58740.25,33124.54,18474.857,16192.178,59177.855,40931.4,34414.78,33764.76,15184.525,24073.15,30466.531,48759.805,33890.727,24465.43,44261.395,23252.008,46568.246,44493.508,48793.766,18398.424,38574.332,37984.473,62565.6,20623.6,44554.9,47637.164,47275.918,32971.01,23302.53,42219.26,44388.254,23512.105,60090.77,41268.4,39779.668,35279.883,19566.902,38922.832,40598.543,33424.047,35818.29,39769.74,NA
182.0574_0.654,276,7861.239,1472.308,6504.7505,NA,1428.0375,NA,1180.6722,NA,NA,1062.7222,1548.41,NA,1054.8933,NA,1024.9708,NA,NA,NA,1030.03,8840.001,1419.4702,1368.2573,1078.8854,1175.009,2037.948,2688.1606,NA,1093.0692,1609.8961,2759.619,NA,1126.1868,1390.93,1132.1798,2849.3894,1353.4672,1002.0729,6904.458,NA,NA,1026.903,1335.0837,3154.2996,1077.1804,130734.38,1325.8889,9603.437,2761.8835,4014.551,2532.442,9171.715,2796.3857,2272.3242,2250.8438,2155.8472,2912.1982,NA
162.1126_0.642,282,96176.5,23499.94,73757.68,84174.17,83833.4,28679.766,242254.45,44999.387,48348.633,187642.45,173524.8,146135.03,116125.01,43849.223,168334.61,195074.39,28012.98,52944.41,244255.8,91814.55,122817.33,79497.016,54388.008,136249.81,30161.447,21653.89,20177.42,193923.94,53431.184,47205.22,70798.91,245394.89,47772.223,71452.68,66972.11,96796.2,27147.69,66848.695,113478.96,137818.16,29888.172,138973.67,18822.521,546543.3,147254.64,25246.023,34222.832,109377.91,113145.56,108709.68,98825.67,104789.78,115060.25,100044.89,120801.25,115814.766,NA
76.0757_0.642,284,118742.83,86644.3,94024.99,18357,65133.9,168982.45,19266.395,139821.44,806455.5,124148.24,140390.89,61236.367,57277.04,82175.19,78875.37,76547.51,148898.72,29370.297,143002.39,115210.54,63040.41,83661.945,95831.664,97534.27,93014.07,79913.39,81144.44,63278.3,245682.9,106100.6,60489.305,168751.31,71005.17,107925.38,110011.766,160906.5,80814.56,23371.58,123654.055,222148.25,96277.1,78587.1,559536.5,326494.7,99697.31,36114.574,75765.516,119537.65,121904.12,128854.06,550480.56,160413.36,121909.59,162813.03,131143.92,125841.58,NA
114.0669_0.645,291,3448923.5,3002724.8,3437010.8,1660424.5,3318909,5180299,4507475,3389726.5,2029805.9,4515241.5,3578173,2888874.8,4408088.5,4666551,3541125.2,4190738.5,4385268,2039820.5,4647099,4276898.5,3711905.2,3069808.2,3614836.2,3657600,3584526.2,3491980.2,2452100.8,3331842.8,4064555.8,3733562.8,3382427.8,3438031.5,2985351.8,2078989.1,3590098.8,4826414.5,2505855.2,1539632.2,5075347.5,3925953.5,2745615.5,3416059.8,3791885.2,3340950.2,1498669.2,2815426.8,2036412.2,3427922.8,3380024.2,3445338.8,2581398.2,3316729,3505626.5,3253601.5,3482829.2,3510541.5,NA
227.1255_0.647,292,306483.78,282256.7,316054.5,171439.03,343222.78,654495.8,504760.66,361977.28,168967.42,521249.47,356166.8,278945.53,463647,520083.28,356176.72,458964.12,459496.78,183605.08,488648.4,435143.03,410695.8,294610.72,374813.2,340164.7,358998.38,327715.5,261941.3,359005.47,408024.28,380832.75,344111.3,324736.47,266659,170027.52,330496.62,559269.9,243157.66,137895.52,672756.1,424948.72,266629.2,347569.3,444767.5,325091.84,120610.46,241634.67,136634.92,338232.88,326529.53,344182.47,220461.78,318472.84,315575.9,317028.7,332842.88,348859.72,NA
193.1547_0.646,300,39124.727,10014.637,41174.92,4509.573,14368.357,29122.021,4471.733,21122.883,170160.9,19879.67,47234.383,62380.75,22992.113,35733.96,17851.604,15214.202,29856.83,3040.219,62467.94,49397.945,26666.604,35156.99,16450.926,26313.336,15436.75,34486.34,5596.149,47722.832,41414.527,34811.047,49235.402,65823.055,6772.747,2583.1155,29481.547,36714.004,7068.77,3938.7373,20931.748,36824.555,11719.068,18403.275,17014.355,18009.457,30603.3,1572.0114,4877.347,31012.117,25313.65,26681.46,53479.67,32320.652,31972.26,39547.652,26697.96,25944.844,NA
219.1705_0.65,316,536622.1,16043.993,504857.9,12604.61,197001,47386.105,53860.13,25373.875,192986.81,18759.98,86907.9,13737.61,211688.69,143620.7,63862.83,33143.164,238754.19,12457.831,417807.3,746005.94,132954.45,230532.61,20933.604,308681.22,114300.56,445871.22,93584.984,33386.633,328706.66,504704.6,175528.8,186610.62,5701.778,4048.537,624274.56,527078.6,116644.41,130902.41,99776.51,31231.879,232573.83,89661.48,85128.92,203813.22,2302833.5,3063.198,309509.47,395953,332689.38,344241.66,1162584.6,497670.8,377881.25,491431.16,329789.8,371152.2,NA
163.1243_0.654,323,1013.31866,NA,1402.3654,4912.136,4171.4,1832.773,1917.7174,NA,NA,12171.689,1535.2715,7401.8413,1969.42,1181.8828,1488.3706,1699.48,NA,1394.2318,2094.0146,1754.2979,1375.336,1303.6873,3515.0417,1129.2345,NA,NA,NA,1810.4886,NA,3372.1975,NA,2803.4841,27531.865,31614.139,5833.599,4099.7812,2691.6484,3472.6936,1539.0425,1054.6873,NA,1532.0939,2055.778,33292.285,1821.886,70023.47,3751,6646.1436,4418.0415,7645.6274,1074.8356,5968.895,6619.266,5025.503,5201.736,4261.582,NA
213.1234_0.672,330,5346.7344,10314.892,6127.0635,3768.0674,6404.1523,6442.0967,6361.5806,12355.936,741921.3,7460.1094,23202.678,7491.3955,3094.4456,4867.183,4738.001,6398.287,9453.396,7887.4546,4831.5244,6153.5913,4940.0728,4352.8022,11677.281,6385.065,7775.782,7474.668,5314.7163,7736.1997,15840.79,4177.168,4058.2395,7057.4824,9283.6455,9213.177,3253.7998,4052.2856,3707.618,4437.348,15797.277,19897.387,5932.8066,6340.001,11096.673,20491.385,7599.6377,7706.9395,5681.608,29652.387,19931.096,21155.646,121668.07,27349.936,21691.012,31027.656,23750.504,24270.852,NA
203.1502_0.654,333,73617.56,61452.926,72713.06,41201.37,63006.82,103980.21,78710.016,79230.125,48644.48,84426.63,113371.32,55262.69,79122.19,82686.65,63066.816,81696.016,91806.63,48207.473,93429.89,69078.836,66564.875,61381.93,87214.28,74048.08,91594.31,74313.22,88718.72,64884.594,100944.164,84007.72,71589.37,71094.55,49632.203,41310.68,81338.33,85894.516,77157.8,33198.926,84197.6,63529.312,68937.1,83430.8,116240.914,46351.883,82820.61,43284.9,79607.11,72077.8,71975.586,65169.832,71768.31,73465.32,69561.28,68590.04,72101.48,74510.57,NA
138.0551_0.654,336,125734.35,216849.97,143328.06,246837.06,92801.32,83293.9,36858.23,130814.586,1393257.6,123103.984,392292.22,143428.25,46380.996,132326.73,97073.35,56507.21,157670.45,218214.86,39503.566,135499.39,80067.94,83028.76,174254.11,181274.6,163527.64,188395.62,44222.59,43949.84,244262.55,82832.91,38587.51,107825.01,242678.1,343657.62,86314.03,42247.773,46206.633,107509.305,283609.06,246085.19,63343.44,167733.6,150551.28,208254.4,130986.28,342606.12,115579.4,197472.05,177719.11,192531.1,302230.72,192822.72,200600.08,193925.88,192038.1,198854.8,NA
