row ID,row m/z,row retention time,PB2tryagain_C18POS_5.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6110_U2_C18POS_34.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,
37,226.95156718067358,0.55336976,4215.5283,82834.18,159688.03,140460.9,47134.42,83789.77,115715.87,141117.86,103462.3,121278.8,92647.234,71325.1,152010.11,129556.31,87254.2,126016.305,119496.164,99459.875,151227.14,158717.75,87557.96,109916.21,108696.85,138054.66,148205.27,132331.77,87252.82,135379.4,134874.95,54899.086,133671.44,115232.82,113077.48,83277.68,129639.65,88048.13,121373.62,148593.53,29571.488,82726.55,87255.984,88792.13,112433.48,133522.0,47348.37,42557.29,52854.555,111820.69,3745.4722,115757.52,8027.0396,118240.37,105114.6,148690.36,121176.71,105737.87,111062.14,116489.13,105719.375,
157,122.0795893502809,0.6463985,48734.715,2190.2607,1075.3945,2317.7217,1236.8182,2467.291,1748.0884,0,1320.3958,1248.0624,1457.142,0,2185.5935,5246.6533,1233.5734,1098.3491,1151.3438,1275.338,0,1583.8041,0,1811.929,0,0,1270.6423,1522.1404,0,6506.1294,0,2685.2036,1050.1952,0,0,1218.7771,1049.3511,1659.2012,2386.846,3095.2043,1715.307,1573.2192,0,2601.2717,2301.745,1171.0137,1679.2802,0,0,2747.1426,122333.47,1581.1594,60781.562,0,1368.6227,2127.83,1051.7593,1271.3314,1001.13086,1746.3992,0,
187,159.14923372669205,0.6075773,0,40852.797,17948.15,32255.455,63559.54,131795.44,71032.55,72057.35,120798.03,92756.79,98266.68,43967.2,48852.0,142298.8,108722.12,45125.473,81703.25,126196.49,30187.975,96061.48,80956.28,75165.91,81884.32,44955.094,137800.03,31815.137,49199.188,38053.566,142823.28,105199.195,64940.02,103804.16,55141.86,30439.453,46795.38,129029.92,188306.81,23537.033,111212.414,95333.55,73131.2,77841.57,88362.89,74258.83,96163.375,87673.01,66638.414,25629.605,0,21210.055,0,22015.031,22422.412,50186.7,24738.19,21062.232,25337.414,21198.492,23833.018,
197,175.14420241545776,0.6160116,0,13575.655,21984.479,14964.847,52516.56,47572.54,14294.842,44426.508,50446.316,37672.38,55319.797,51431.035,15573.125,18564.53,20142.998,36960.32,42470.18,50830.188,19550.69,15677.199,16534.807,14982.86,16201.45,19240.828,36986.703,15472.706,16545.396,91044.83,22834.74,36996.812,16883.633,15344.704,15345.043,29972.963,33895.37,46729.53,46889.742,74490.24,83805.805,18041.682,19254.072,57379.246,38633.406,5556.7363,23529.678,10710.55,6345.07,61620.72,0,27692.037,0,30782.871,27033.596,22967.107,32497.713,26731.604,30702.299,28047.193,29157.674,
198,189.16835777890805,0.6155149,0,19074.893,17190.705,20831.389,24691.246,31355.463,27822.742,28435.244,33316.652,34728.844,26269.34,26198.275,18940.719,26101.877,24047.758,23779.354,28795.28,29180.318,20837.021,26480.838,24380.62,25758.904,28592.41,27282.021,207631.39,82424.97,19303.617,20892.533,26784.537,21786.781,32664.459,25316.244,21920.4,27220.258,23130.705,23986.63,31486.736,21433.28,33843.16,25284.605,28324.28,26110.379,22169.879,7922.1313,34970.906,10640.292,10293.372,20426.479,0,25339.65,0,26313.057,26264.656,32455.342,30398.734,22984.975,28100.438,25024.717,25595.705,
199,189.16001153439686,0.6150006,0,222439.8,184041.42,269782.4,327771.06,474162.34,379204.03,380277.4,495374.5,619336.75,392220.8,326318.25,287139.6,370087.66,327862.6,323583.94,407905.84,343974.6,287701.6,379298.9,333223.88,393059.66,407452.0,413321.94,287073.1,247191.03,260284.9,273968.12,363805.56,262141.08,462058.34,339223.16,286411.72,392273.2,308605.62,300982.5,497885.53,283051.12,437284.16,358736.34,353942.56,396560.4,261343.95,86662.89,642914.6,113632.88,114220.945,272035.78,0,347977.1,1658.2,340182.12,348725.62,490092.94,209731.38,363308.7,437945.88,325348.3,369892.38,
213,156.07685275878416,0.6208099,2972.0273,40528.223,18468.459,125710.73,111559.805,104119.17,46302.88,117913.33,115569.42,66684.74,124766.516,46285.516,51834.402,61783.46,65844.74,62026.832,103255.78,87008.16,31748.697,92860.36,49125.938,151751.42,52060.906,43118.453,47003.254,15954.18,48175.043,46406.88,120655.73,33618.83,138190.22,65798.29,56884.438,93179.984,53368.582,47070.05,135640.36,35788.58,93949.43,49124.348,36882.594,43268.848,33826.305,11289.108,112802.59,14779.902,14596.901,44348.906,5121.1294,73364.64,2064.4802,66721.23,71135.586,166420.84,63225.086,66063.75,63265.47,65017.645,68176.95,
214,170.0926475463114,0.62036353,0,155724.97,68189.54,152682.27,185011.64,177769.8,315635.8,351803.4,164995.61,408451.88,369467.97,282296.0,365288.7,228834.64,224126.48,194252.73,631140.0,136848.05,219440.73,320339.28,168392.19,316734.78,497009.2,514488.38,503982.03,260174.61,306817.72,120507.055,308331.06,414270.66,239006.81,592997.56,283025.38,293084.16,132269.14,605182.5,450532.53,110234.8,221468.14,681209.6,255029.62,254506.16,434877.2,63596.055,459690.03,24017.957,28801.535,95746.18,0,299842.56,4672.235,289947.72,294358.4,183914.02,280319.2,284664.38,270942.5,275686.34,300902.2,
225,130.08624846965225,0.62485904,1363.2301,18046.742,8425.007,29746.29,11189.033,18853.082,14499.131,15582.512,20353.248,27622.965,12681.576,12348.156,13797.439,13603.582,11099.251,11732.643,16411.723,15530.51,10768.836,15728.629,31253.578,14779.383,14095.538,14539.171,11599.593,8304.279,21968.354,14560.479,11409.953,7831.465,17424.564,14491.86,14253.603,17098.547,12363.39,10276.355,23587.088,16539.44,23506.37,12466.581,12058.842,13663.191,9034.615,3813.243,21333.71,102248.23,4727.18,13846.284,2559.0845,12118.782,1580.0004,13958.093,12816.223,29451.35,15882.55,16783.51,13642.086,11565.489,15264.991,
239,104.1070543091619,0.62354046,6716.0864,70117.71,26479.422,101837.64,175821.17,97845.83,62971.973,145539.27,80078.98,63972.754,132700.92,153400.77,52145.9,85679.445,77844.484,78922.555,112726.375,92208.555,46274.883,129189.36,110661.06,97836.18,152109.08,110941.31,202532.73,47312.566,148567.88,82650.43,108288.08,190756.31,108583.65,122847.6,91861.98,36073.215,23472.107,291968.22,139473.5,98028.46,164833.02,117674.88,60974.836,158411.52,156033.67,85518.01,91056.04,209866.89,31150.916,145685.67,18783.053,97117.73,4079.6748,83884.67,85131.305,61327.094,107544.77,98031.72,89094.29,95342.83,93433.69,
