row ID,row m/z,row retention time,6110_U4_C18POS_start-10.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6110_U2_C18POS_34.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,PooledQC7_C18POS_25_1.mzML Peak height,
22,224.12803809405185,0.54060924,28882.412,21513.861,22882.104,22883.182,22564.107,19016.162,19251.26,19055.365,29824.955,21825.975,26616.197,22109.738,25016.008,24559.865,22290.703,20845.803,22660.375,22667.016,21505.125,23289.959,25778.256,18796.637,17229.672,25328.156,23792.451,23761.06,24448.06,29419.705,24575.543,22114.484,20633.697,27243.723,22870.158,24578.072,31602.113,19906.207,23794.326,24368.855,26582.627,24254.24,23319.404,21220.025,25571.043,20839.713,21987.248,27470.756,23835.736,21011.822,31810.344,26909.447,28519.963,23085.09,29626.533,21348.191,22763.77,21600.709,22777.629,33116.605,29277.898,
227,159.149234060679,0.6079277,73131.2,81884.32,120798.03,32255.455,72057.35,71032.55,49199.188,23537.033,45125.473,30187.975,142298.8,63559.54,48852.0,17948.15,81703.25,44955.094,103804.16,92756.79,50186.7,75165.91,131795.44,96061.48,105199.195,64915.16,39944.203,64940.02,80956.28,111212.414,43967.2,188306.81,98266.68,87673.01,126196.49,137800.03,96163.375,129029.92,30439.453,55141.86,74258.83,142823.28,46795.38,108722.12,77841.57,38053.566,88362.89,95333.55,25629.605,31815.137,0,0,0,22015.031,24738.19,21210.055,21198.492,22422.412,21062.232,25337.414,24107.084,
236,175.1442211135721,0.61586577,19254.072,16201.45,50446.316,14964.847,44426.508,14294.842,16545.396,74490.24,36960.32,19550.69,18564.53,52516.56,15573.125,21984.479,42470.18,19240.828,15344.704,37672.38,22967.107,14982.86,47572.54,15677.199,36996.812,6345.07,13575.655,16883.633,16534.807,83805.805,51431.035,46889.742,55319.797,10710.55,50830.188,36986.703,23529.678,46729.53,29972.963,15345.043,5556.7363,22834.74,33895.37,20142.998,51626.03,91044.83,38633.406,18041.682,61620.72,15472.706,0,0,0,30782.871,32497.713,27692.037,28047.193,27033.596,26731.604,30702.299,31576.768,
239,189.1601103332588,0.61534494,353942.56,407452.0,495374.5,269782.4,380277.4,379204.03,260284.9,283051.12,323583.94,287701.6,370087.66,327771.06,287139.6,225895.23,407905.84,413321.94,339223.16,556808.0,490092.94,393059.66,474162.34,379298.9,262141.08,114220.945,158422.84,462058.34,333223.88,437284.16,326318.25,497885.53,392220.8,113632.88,406884.03,287073.1,642914.6,300982.5,392273.2,286411.72,86662.89,363805.56,308605.62,327862.6,396560.4,273968.12,261343.95,358736.34,272035.78,247191.03,1658.2,0,0,340182.12,423465.6,347977.1,325348.3,348725.62,363308.7,437945.88,397811.2,
251,189.15977829018877,0.6154681,333781.22,407452.0,495374.5,269782.4,189754.84,379204.03,260284.9,271123.56,323583.94,287701.6,370087.66,192444.16,287139.6,184041.42,344944.25,413321.94,339223.16,619336.75,490092.94,393059.66,474162.34,379043.5,262141.08,114220.945,158422.84,462058.34,333223.88,437284.16,326318.25,455316.78,392220.8,113632.88,343974.6,287073.1,642914.6,300982.5,392273.2,276681.9,86662.89,363805.56,182500.23,327862.6,396560.4,273968.12,261343.95,358736.34,272035.78,247191.03,0,0,0,328311.94,360067.22,335510.03,325348.3,348725.62,363308.7,437945.88,277341.66,
254,156.07691362970246,0.6207661,36882.594,52060.906,115569.42,125710.73,117913.33,46302.88,48175.043,35788.58,62026.832,31748.697,61783.46,111559.805,51834.402,18468.459,103255.78,43118.453,65798.29,66684.74,166420.84,151751.42,104119.17,92860.36,33618.83,14596.901,23857.316,138190.22,49125.938,93949.43,46285.516,135640.36,124766.516,14779.902,87008.16,47003.254,112802.59,47070.05,93179.984,56884.438,11289.108,120655.73,53368.582,65844.74,43268.848,46406.88,33826.305,49124.348,44348.906,15954.18,2064.4802,2972.0273,5121.1294,66721.23,63225.086,73364.64,65017.645,71135.586,65507.957,63265.47,67095.94,
258,170.09266894429277,0.62031776,255029.62,497009.2,164995.61,152682.27,351803.4,315635.8,306817.72,110234.8,194252.73,219440.73,228834.64,185011.64,365288.7,47959.082,631140.0,514488.38,592997.56,408451.88,183914.02,316734.78,177769.8,320339.28,414270.66,28801.535,89281.59,239006.81,168392.19,221468.14,282296.0,450532.53,369467.97,24017.957,136848.05,503982.03,459690.03,605182.5,293084.16,283025.38,63596.055,308331.06,132269.14,224126.48,254506.16,120507.055,434877.2,681209.6,95746.18,260174.61,4672.235,0,0,289947.72,280319.2,299842.56,275686.34,294358.4,284664.38,270942.5,291059.1,
267,130.0862511474634,0.62481457,12058.842,14095.538,20353.248,29746.29,15582.512,14499.131,21968.354,16539.44,11732.643,10768.836,13603.582,11189.033,13797.439,8425.007,16411.723,14539.171,14491.86,19087.062,29451.35,14779.383,18853.082,15728.629,7831.465,4727.18,18046.742,17424.564,31253.578,23506.37,12348.156,23587.088,12681.576,102248.23,15530.51,11599.593,21333.71,10276.355,17098.547,14253.603,3813.243,11409.953,12363.39,11099.251,13186.033,14560.479,9034.615,12466.581,13846.284,8304.279,1580.0004,1363.2301,2559.0845,13958.093,15882.55,12118.782,11565.489,12816.223,16783.51,13642.086,17277.893,
284,104.10704257082642,0.6236848,60974.836,152109.08,80078.98,101837.64,145539.27,62971.973,148567.88,45824.793,78922.555,46274.883,85679.445,175821.17,26399.67,26479.422,112726.375,110941.31,122847.6,63972.754,61327.094,97836.18,97845.83,129189.36,190756.31,31150.916,64007.055,108583.65,110661.06,164833.02,75276.19,139473.5,132700.92,209866.89,92208.555,202532.73,91056.04,291968.22,36073.215,91861.98,85518.01,108288.08,23472.107,77844.484,158411.52,21471.992,156033.67,117674.88,145685.67,38398.26,4079.6748,6716.0864,18783.053,83884.67,107544.77,97117.73,95342.83,85131.305,44867.863,89094.29,112252.14,
310,151.1442260859352,0.63552743,233624.55,57723.855,118058.98,97567.0,1664.4862,105876.516,79357.44,99606.17,22547.77,34167.176,22027.36,21474.125,50406.168,46208.457,27576.5,55291.992,46202.895,1488340.5,897226.25,38171.703,48863.363,120907.125,319538.72,49215.742,131466.11,90532.66,85956.914,20465.79,115729.83,108657.664,60822.48,149847.6,111627.81,76089.1,456001.53,103306.28,104219.48,226663.94,786404.7,65484.555,169507.33,30522.047,141987.5,97922.99,37446.477,52988.285,129040.66,71844.56,1353.7991,0,0,145326.1,177543.12,144390.06,143204.31,139838.62,152696.94,174723.45,172911.31,
