row ID,row m/z,row retention time,6110_U2_C18POS_34.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,
218,159.14921279011256,0.60777557,17847.512,39944.203,43967.2,81703.25,72057.35,63559.54,48852.0,81884.32,30187.975,98266.68,120798.03,71032.55,50186.7,142298.8,32255.455,73131.2,38053.566,108722.12,96061.48,92756.79,49199.188,111212.414,80956.28,126196.49,55141.86,23537.033,188306.81,45125.473,142823.28,129029.92,95333.55,77841.57,105199.195,44955.094,137800.03,64915.16,31815.137,103804.16,46795.38,64940.02,75165.91,88362.89,74258.83,25629.605,30439.453,131795.44,96163.375,87673.01,0,0,0,21198.492,22015.031,23833.018,22422.412,21062.232,24738.19,21210.055,25337.414,
227,175.1442034940707,0.6161107,21984.479,13575.655,51431.035,42470.18,44426.508,52516.56,15573.125,16201.45,19550.69,55319.797,50446.316,14294.842,22967.107,18564.53,14964.847,19254.072,91044.83,20142.998,15677.199,37672.38,16545.396,83805.805,16534.807,50830.188,15345.043,74490.24,46889.742,36960.32,22834.74,46729.53,18041.682,51626.03,36996.812,19240.828,36986.703,6345.07,15472.706,15344.704,33895.37,16883.633,14982.86,38633.406,5556.7363,61620.72,29972.963,47572.54,23529.678,10710.55,0,0,0,28047.193,30782.871,29157.674,27033.596,26731.604,32497.713,27692.037,30702.299,
230,189.16006655598633,0.615293,225895.23,158422.84,326318.25,407905.84,380277.4,327771.06,287139.6,407452.0,287701.6,392220.8,495374.5,379204.03,490092.94,370087.66,269782.4,353942.56,273968.12,327862.6,379298.9,556808.0,260284.9,437284.16,333223.88,406884.03,286411.72,283051.12,497885.53,323583.94,363805.56,300982.5,358736.34,396560.4,262141.08,413321.94,287073.1,114220.945,247191.03,339223.16,308605.62,462058.34,393059.66,261343.95,86662.89,272035.78,392273.2,474162.34,642914.6,113632.88,0,1658.2,0,325348.3,340182.12,369892.38,348725.62,363308.7,360067.22,347977.1,437945.88,
240,156.07689980351526,0.62081015,18468.459,23857.316,46285.516,103255.78,117913.33,111559.805,51834.402,52060.906,31748.697,124766.516,115569.42,46302.88,166420.84,61783.46,125710.73,36882.594,46406.88,65844.74,92860.36,66684.74,48175.043,93949.43,49125.938,87008.16,56884.438,35788.58,135640.36,62026.832,120655.73,47070.05,49124.348,43268.848,33618.83,43118.453,47003.254,14596.901,15954.18,65798.29,53368.582,138190.22,151751.42,33826.305,11289.108,44348.906,93179.984,104119.17,112802.59,14779.902,2972.0273,2064.4802,5121.1294,65017.645,66721.23,68176.95,71135.586,65507.957,63225.086,73364.64,63265.47,
244,170.0926529069537,0.62036335,47959.082,89281.59,282296.0,631140.0,351803.4,185011.64,365288.7,497009.2,219440.73,369467.97,164995.61,315635.8,183914.02,228834.64,152682.27,255029.62,120507.055,224126.48,320339.28,408451.88,306817.72,221468.14,168392.19,136848.05,283025.38,110234.8,450532.53,194252.73,308331.06,605182.5,681209.6,254506.16,414270.66,514488.38,503982.03,28801.535,260174.61,592997.56,132269.14,239006.81,316734.78,434877.2,63596.055,95746.18,293084.16,177769.8,459690.03,24017.957,0,4672.235,0,275686.34,289947.72,300902.2,294358.4,284664.38,280319.2,299842.56,270942.5,
256,130.08624944536527,0.6248588,8425.007,18046.742,12348.156,16411.723,15582.512,11189.033,13797.439,14095.538,10768.836,12681.576,20353.248,14499.131,29451.35,13603.582,29746.29,12058.842,14560.479,11099.251,15728.629,19087.062,21968.354,23506.37,31253.578,15530.51,14253.603,16539.44,23587.088,11732.643,11409.953,10276.355,12466.581,13186.033,7831.465,14539.171,11599.593,4727.18,8304.279,14491.86,12363.39,17424.564,14779.383,9034.615,3813.243,13846.284,17098.547,18853.082,21333.71,102248.23,1363.2301,1580.0004,2559.0845,11565.489,13958.093,15264.991,12816.223,16783.51,15882.55,12118.782,13642.086,
270,104.10703740141884,0.62363464,26479.422,64007.055,75276.19,112726.375,145539.27,175821.17,26399.67,152109.08,46274.883,132700.92,80078.98,62971.973,61327.094,85679.445,101837.64,60974.836,21471.992,77844.484,129189.36,63972.754,148567.88,164833.02,110661.06,92208.555,91861.98,45824.793,139473.5,78922.555,108288.08,291968.22,117674.88,158411.52,190756.31,110941.31,202532.73,31150.916,38398.26,122847.6,23472.107,108583.65,97836.18,156033.67,85518.01,145685.67,36073.215,97845.83,91056.04,209866.89,6716.0864,4079.6748,18783.053,95342.83,83884.67,93433.69,85131.305,44867.863,107544.77,97117.73,89094.29,
295,151.1442276795934,0.6354758,46208.457,131466.11,115729.83,27576.5,1664.4862,21474.125,50406.168,57723.855,34167.176,60822.48,118058.98,105876.516,897226.25,22027.36,97567.0,233624.55,97922.99,30522.047,120907.125,1488340.5,79357.44,20465.79,85956.914,111627.81,226663.94,99606.17,108657.664,22547.77,65484.555,103306.28,52988.285,141987.5,319538.72,55291.992,76089.1,49215.742,71844.56,46202.895,169507.33,90532.66,38171.703,37446.477,786404.7,129040.66,104219.48,48863.363,456001.53,149847.6,0,1353.7991,0,143204.31,145326.1,141385.11,139838.62,152696.94,177543.12,144390.06,174723.45,
296,249.1070585205745,0.63605917,37374.48,18440.387,11859.049,19298.098,17997.184,3226.829,23447.742,16767.637,19019.389,18228.943,23544.043,36907.367,31389.926,24799.209,29438.174,25862.473,23727.656,26026.943,29556.709,13828.193,14626.861,1813.3135,23015.0,30970.91,21015.012,25864.021,20755.2,22836.635,12155.723,17621.543,16405.334,11716.539,14432.389,21717.166,32187.326,16955.709,18107.004,22885.738,16910.059,27238.299,22971.031,19631.514,50457.406,13318.357,13847.541,10590.054,7219.634,14121.034,0,0,0,17722.518,20817.639,19737.889,18863.262,19085.666,15139.38,20117.334,16456.95,
297,227.13655184211086,0.6373884,22327.127,24491.455,26276.451,16546.367,14903.313,130595.66,236320.98,20492.162,29854.457,314722.88,17961.484,619197.7,21118.146,24115.857,20923.627,31527.508,243678.55,33881.87,20362.24,16209.381,26066.701,75045.25,26831.889,488519.44,21810.916,260768.03,267008.2,30294.305,25254.486,353073.25,33194.28,179242.19,25978.262,371964.3,34444.41,161709.8,31315.125,27014.508,113333.63,277821.1,23707.533,30711.18,30672.658,226599.78,237100.2,231029.67,167863.86,13169.881,926.17957,1297.816,740.0,306778.44,302384.88,25986.338,285479.56,202789.98,22166.379,22090.178,22371.887,
