row ID,row m/z,row retention time,6111_U2_C18POS_35.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6110_U2_C18POS_34.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6101_U3_C18POS_29.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6108_U2_C18POS_27.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6108_U3_C18POS_28.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,6102_U1_C18POS_26.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PooledQC7_C18POS_25_1.mzML Peak height,
22,224.12803821968134,0.5404513,22870.158,22882.104,19016.162,24559.865,22883.182,26811.525,29824.955,22109.738,21513.861,22564.107,24368.855,22290.703,21505.125,18796.637,23761.06,21011.822,24575.543,20633.697,22114.484,23289.959,20839.713,19251.26,26616.197,23319.404,19906.207,24448.06,21825.975,29419.705,21199.826,25778.256,21220.025,25571.043,17229.672,28882.412,19055.365,26582.627,31602.113,23792.451,24254.24,20845.803,27470.756,23835.736,21987.248,23794.326,24578.072,22528.842,27243.723,27583.44,31810.344,26909.447,28519.963,25016.008,22667.016,22660.375,21348.191,21600.709,23085.09,29626.533,22763.77,33116.605,22777.629,29277.898,
213,159.14923436989915,0.6072587,126196.49,120798.03,71032.55,17948.15,32255.455,59212.797,45125.473,63559.54,81884.32,72057.35,55141.86,81703.25,50186.7,96061.48,64940.02,31815.137,43967.2,98266.68,188306.81,75165.91,38053.566,49199.188,142298.8,46795.38,129029.92,80956.28,30187.975,111212.414,152711.52,131795.44,108722.12,77841.57,105199.195,73131.2,23537.033,74258.83,96163.375,39944.203,142823.28,44955.094,95333.55,25629.605,88362.89,30439.453,137800.03,95645.21,87673.01,139594.75,0,0,0,48852.0,92756.79,103804.16,21210.055,22422.412,22015.031,24738.19,21198.492,25337.414,21062.232,24107.084,
221,175.1442194353523,0.61573505,50830.188,50446.316,14294.842,21984.479,14964.847,18244.02,36960.32,52516.56,16201.45,44426.508,15345.043,42470.18,22967.107,15677.199,16883.633,15472.706,51431.035,55319.797,46889.742,14982.86,91044.83,16545.396,18564.53,33895.37,46729.53,16534.807,19550.69,83805.805,44434.652,47572.54,20142.998,51626.03,36996.812,19254.072,74490.24,5556.7363,23529.678,13575.655,22834.74,19240.828,18041.682,61620.72,38633.406,29972.963,36986.703,37604.645,10710.55,18170.934,0,0,0,15573.125,37672.38,15344.704,27692.037,27033.596,30782.871,32497.713,28047.193,30702.299,26731.604,31576.768,
224,189.1601092938546,0.6154278,406884.03,495374.5,379204.03,225895.23,269782.4,343761.7,323583.94,327771.06,407452.0,380277.4,286411.72,407905.84,490092.94,379298.9,462058.34,247191.03,326318.25,392220.8,497885.53,393059.66,273968.12,260284.9,370087.66,308605.62,300982.5,333223.88,287701.6,437284.16,284878.2,474162.34,327862.6,396560.4,262141.08,353942.56,283051.12,86662.89,642914.6,158422.84,363805.56,413321.94,358736.34,272035.78,261343.95,392273.2,287073.1,261257.62,113632.88,348076.75,1658.2,0,0,287139.6,556808.0,339223.16,347977.1,348725.62,340182.12,423465.6,325348.3,437945.88,363308.7,397811.2,
236,189.15978763462311,0.61545193,343974.6,495374.5,379204.03,184041.42,269782.4,343761.7,323583.94,192444.16,407452.0,189754.84,276681.9,344944.25,490092.94,379043.5,462058.34,247191.03,326318.25,392220.8,455316.78,393059.66,273968.12,260284.9,370087.66,182500.23,300982.5,333223.88,287701.6,437284.16,273187.78,474162.34,327862.6,396560.4,262141.08,333781.22,271123.56,86662.89,642914.6,158422.84,363805.56,413321.94,358736.34,272035.78,261343.95,392273.2,287073.1,261257.62,113632.88,348076.75,0,0,0,287139.6,619336.75,339223.16,335510.03,348725.62,328311.94,360067.22,325348.3,437945.88,363308.7,277341.66,
239,156.0769136270779,0.6204941,87008.16,115569.42,46302.88,18468.459,125710.73,54280.348,62026.832,111559.805,52060.906,117913.33,56884.438,103255.78,166420.84,92860.36,138190.22,15954.18,46285.516,124766.516,135640.36,151751.42,46406.88,48175.043,61783.46,53368.582,47070.05,49125.938,31748.697,93949.43,55621.312,104119.17,65844.74,43268.848,33618.83,36882.594,35788.58,11289.108,112802.59,23857.316,120655.73,43118.453,49124.348,44348.906,33826.305,93179.984,47003.254,33394.977,14779.902,64456.19,2064.4802,2972.0273,5121.1294,51834.402,66684.74,65798.29,73364.64,71135.586,66721.23,63225.086,65017.645,63265.47,65507.957,67095.94,
243,170.09267808225997,0.62015164,136848.05,164995.61,315635.8,47959.082,152682.27,298625.0,194252.73,185011.64,497009.2,351803.4,283025.38,631140.0,183914.02,320339.28,239006.81,260174.61,282296.0,369467.97,450532.53,316734.78,120507.055,306817.72,228834.64,132269.14,605182.5,168392.19,219440.73,221468.14,527119.7,177769.8,224126.48,254506.16,414270.66,255029.62,110234.8,63596.055,459690.03,89281.59,308331.06,514488.38,681209.6,95746.18,434877.2,293084.16,503982.03,502292.25,24017.957,237052.73,4672.235,0,0,365288.7,408451.88,592997.56,299842.56,294358.4,289947.72,280319.2,275686.34,270942.5,284664.38,291059.1,
253,130.08625745317264,0.6244367,15530.51,20353.248,14499.131,8425.007,29746.29,11766.853,11732.643,11189.033,14095.538,15582.512,14253.603,16411.723,29451.35,15728.629,17424.564,8304.279,12348.156,12681.576,23587.088,14779.383,14560.479,21968.354,13603.582,12363.39,10276.355,31253.578,10768.836,23506.37,13296.914,18853.082,11099.251,13186.033,7831.465,12058.842,16539.44,3813.243,21333.71,18046.742,11409.953,14539.171,12466.581,13846.284,9034.615,17098.547,11599.593,9205.939,102248.23,10928.2,1580.0004,1363.2301,2559.0845,13797.439,19087.062,14491.86,12118.782,12816.223,13958.093,15882.55,11565.489,13642.086,16783.51,17277.893,
268,104.1070380241613,0.6237197,92208.555,80078.98,62971.973,26479.422,101837.64,96210.14,78922.555,175821.17,152109.08,145539.27,91861.98,112726.375,61327.094,129189.36,108583.65,38398.26,75276.19,132700.92,139473.5,97836.18,21471.992,148567.88,85679.445,23472.107,291968.22,110661.06,46274.883,164833.02,236505.5,97845.83,77844.484,158411.52,190756.31,60974.836,45824.793,85518.01,91056.04,64007.055,108288.08,110941.31,117674.88,145685.67,156033.67,36073.215,202532.73,151502.58,209866.89,108559.2,4079.6748,6716.0864,18783.053,26399.67,63972.754,122847.6,97117.73,85131.305,83884.67,107544.77,95342.83,89094.29,44867.863,112252.14,
294,227.1365269413623,0.63456714,488519.44,17961.484,619197.7,22327.127,20923.627,23681.684,30294.305,130595.66,20492.162,14903.313,21810.916,16546.367,21118.146,20362.24,277821.1,31315.125,26276.451,314722.88,267008.2,23707.533,243678.55,26066.701,24115.857,113333.63,353073.25,26831.889,29854.457,75045.25,34969.81,231029.67,33881.87,179242.19,25978.262,31527.508,260768.03,30672.658,167863.86,24491.455,25254.486,371964.3,33194.28,226599.78,30711.18,237100.2,34444.41,31503.424,13169.881,31114.6,1297.816,926.17957,740.0,236320.98,16209.381,27014.508,22090.178,285479.56,302384.88,22166.379,306778.44,22371.887,202789.98,25584.826,
