row ID,row m/z,row retention time,6110_U2_C18POS_34.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height
1,112.0061911,0.5457902,0,24372.148,2361.7031,1906.9142,2012.4718,2453.0535,21334.857,4914.264,10534.66,3647.3518,15645.847,3143.2988,17769.545,6494.7876,2721.6606,20018.047,3689.2217,3921.302,4381.0454,3258.8547,43265.22,8208.124,46780.324,4809.173,33657.16,4976.536,2690.0503,6579.3345,3390.1914,36891.508,4188.8857,2221.0002,4632.3965,1475.183,30608.125,5075.653,6087.5293,10625.398,4668.304,2273.7825,42501.89,3059.2488,3365.0166,14346.016,1871.2727,2658.2256,1347.4324,10334.64,2461.206,2688.4326,2429.25,23935.451,2305.5034,1843.8452,2073.4143,2116.4707,2410.435,2475.507,1133.7377
2,61.007086,0.5153742,0,5811.8564,0,2981.8752,1791.9834,0,0,0,0,1210.5851,1798.2805,3121.718,0,5328.887,0,0,0,5910.0894,2191.2617,0,2578.8267,2044.9596,0,1459.8646,4172.11,5594.6167,0,0,1515.5,0,1507.8369,0,3263.1533,0,1757.061,14819.278,0,5416.673,0,0,3515.0386,0,1402.4424,0,2488.0532,2321.6711,6796.8105,2417.0715,25649.422,18171.402,21865.906,1637.125,3291.6973,2029.6554,0,0,1536.8064,0,0
3,111.0097288,0.54037064,6625.0947,25144.893,26071.832,1875.1545,15655.567,3164.3271,1832.1018,5401.263,15632.997,3125.037,16907.457,3147.3586,13826.475,28962.875,3352.664,1733.7532,4862.992,40417.87,33181.84,2051.329,36166.445,7797.6406,46111.227,29662.607,2503.4175,5995.1973,3036.558,5084.6055,12433.231,36528.074,4658.0425,1699.9617,4278.3784,11605.931,5368.267,2005.099,8130.4443,2334.0168,3505.25,1386.2004,38388.535,28183.455,2964.5974,12850.947,11226.474,1999.2245,1722.6152,4712.69,2079.162,3042.823,3170.4077,2008.829,2123.0637,2635.1528,17060.357,21531.734,1702.2395,2276.0415,17530.344
4,68.98193182,0.52799696,2620.2297,10084.078,1465.6843,5706.744,2018.4242,3372.763,9805.375,17963.283,7963.7734,10891.153,9718.761,16705.494,10078.281,15441.684,0,0,6837.503,17470.752,2467.6892,2975.0789,20744.984,3491,2900.8333,17037.914,1839.5502,3232.8115,0,3636.969,5246.745,19599.19,13664.08,8003.5513,1375.388,8072.6123,4922.4253,0,4680.372,2201.257,4896.071,2992.3542,1915.3202,3415.8076,0,9349.215,5868.265,1212.5756,2818.6848,4658.353,0,1597.8021,0,12768.306,12192.152,0,5949.9062,4676.3037,13029.296,2068.7107,0
5,151.0352676,0.546721,0,42077.5,1887.7892,2243.3818,12842.074,3382.5535,2495.0103,7146.0786,17767.215,3265.6528,16871.156,3749.6858,3983.0652,5008.047,0,3398.2573,2482.8184,5285.787,32749.504,2966.753,44095.38,11069.925,3621.967,31892.145,3414.3389,16675.701,4319.2495,6503.4478,3782.0183,33598.453,5009.35,2863.5981,33404.03,18884.04,4750.2803,12631.059,8164.626,28184.564,8012.162,1981.006,3231.0203,4422.9795,5120.1963,2343.7205,3825.7678,13732.465,2477.0493,12967.731,1725.6345,4781.1216,4568.6685,2844.4387,25349.01,2619.6033,23769.234,3246.2424,29279.512,20276.906,1860.3761
6,66.0186922,0.5311128,1473.616,14716.494,15513.741,1276.8097,3393.002,1458.9634,13342.145,20004.307,1584.3829,2951.66,6342.0454,22349.137,3067.8145,18137.105,4164.922,1607.4293,8579.517,2807.04,16241.478,2183.7388,25293.324,5134.848,29904.592,3477.0718,20241.092,5708.8784,2003.6224,3306.326,2092.6335,21470.885,15528.637,10648.213,17895.027,9987.849,18116.91,2449.3406,4886.8325,2293.0007,1358.7852,1391.8192,0,1700.0227,0,10391.526,5999.882,4442.569,1380.2954,5592.0854,1462.0253,1439.7799,0,16615.645,1903.5603,11566.574,13308.507,10422.274,1512.0461,12413.884,2698.9836
7,114.9875438,0.53068596,2631.9666,14254.474,0,11460.825,3654.662,2013.2842,13290.96,18382.693,1528.7657,3053.2715,2934.8018,20014.19,13058.928,13803.72,2398.86,11976.685,11572.359,23429.322,30997.018,2159.4949,27513.893,4806.75,2287.3457,3826.356,22654.334,5302.6553,33504.64,2974.3926,1661.9697,27323.709,21239.018,0,21674.307,1421.9612,23914.357,4171.9062,0,2601.5845,6729.8813,1373.006,1697.0509,22641.006,0,10212.403,2536.7798,4164.5747,1485.2964,1763.8994,1647.537,1621.3618,1936.7814,12740.203,8351.99,0,17375.256,11636.411,0,3378.206,0
8,152.0366389,0.5223941,1146.1973,9102.508,2640.5818,0,1314.408,0,0,1039.1282,0,2750.762,0,2628.6672,3520.7961,2307.3933,1104.5349,1922.8478,3297.8206,2931.163,1155.3447,922.7577,9471.551,5969.4146,6694.0503,2287.978,7899.4736,3706.1802,761.6722,1845.557,3346.6677,6624.531,6196.5547,2219,6671.262,2665.1658,6485.417,2541.9531,2070.1987,1562.4841,1483.4742,745.24,4713.805,4087.5413,0,1058.0183,2493.625,1918.5717,1983.0227,2196.342,1205.1511,859.95874,898.6981,4821.0493,3880.1206,1693.2477,0,4389.742,3525.6865,4434.579,744.23804
9,110.0159337,0.54818124,2949.2012,1414.4669,1841.5918,0,9282.411,1559.9175,0,2782.874,8483.643,11241.271,1481.0018,13924.036,8704.81,14737.785,0,1426.625,1214.1506,2904.325,2358.8516,1494.9839,16569.084,3679.0132,2418.325,3086.2417,1705.4146,0,1487.7981,3720.4414,1634.1439,15288.839,2790.1606,1490.2875,13885.832,1522.459,2423.5378,1218.9971,4967.23,10331.851,1288.0698,0,0,12563.941,0,7438.9316,5828.8525,1335.6964,0,5775.1157,0,1226.9723,1409.9043,0,1517.5104,1273.9034,0,0,1385.3462,9661.803,2880.8533
10,153.0328087,0.5151532,0,6505.1147,4562.046,1820.4054,3233.2354,1439.6036,1903.3917,7383.3726,2105.382,0,1532.832,4453.458,2484.1436,5294.2725,996.83813,3579.9841,2704.1194,6595.712,7854.5723,4716.092,972.0476,4858.396,7146.3555,6345.9277,1763.3789,3481.2017,13022.616,0,1696.3124,1096.0531,7202.6665,1168.8922,1504.4465,3316.315,5379.007,1538.0035,0,5827.056,1576.7252,4792.7847,8696.275,1742.769,0,0,2065.22,1721.4407,1286.7394,1937.4824,0,0,0,4834.9795,3556.1375,850.0205,1969.3829,3565.5088,4451.876,3224.6738,3138.9263
