mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
121.0284_3.689,27325.237205356792,8589.753945331555,3.1811431828274643,0.00665,1.6695453088488907,2.1771783546968955,121.0284,3.689,8852.434000000001,121.0284_3.689,121.0284_3.689,1
135.0441_3.831,9838.355790923366,27786.37880393446,0.35407117495750423,0.022,-1.4978886966218776,1.6575773191777938,135.0441,3.831,13505.3135,Cluster_135.0441_3.831,135.0441_3.831;210.076_3.831,2
138.0551_0.654,165214.8904300708,99000.72766417704,1.6688250109686118,0.0223,0.7388326850520458,1.6516951369518393,138.0551,0.654,146989.765,138.0551_0.654,138.0551_0.654,1
144.1023_0.656,600236.2891231831,1783034.265042017,0.3366375514432633,0.0162,-1.5707319786494653,1.790484985457369,144.1023,0.656,758401.07,Cluster_144.1023_0.656,144.1023_0.656;145.1054_0.656,2
145.0648_5.215,3256.0837376868544,14993.481990314785,0.21716661545264535,0.0259,-2.203125757043305,1.586700235918748,145.0648,5.215,4657.27865,Cluster_145.0648_5.215,145.0648_5.215;220.0967_5.22,2
160.0967_0.691,18289.007672723645,65012.92596753439,0.2813134065348275,0.0045,-1.8297497861720957,2.3467874862246565,160.0967,0.691,23195.525999999998,160.0967_0.691,160.0967_0.691,1
219.1705_0.65,130540.6270161842,351702.0156691654,0.3711682651798604,0.016,-1.4298547293163568,1.7958800173440752,219.1705,0.65,189798.715,219.1705_0.65,219.1705_0.65,1
234.1122_4.883,5932.891525927148,854.9270478991921,6.939646535345925,2.94e-7,2.7948621823006463,6.531652669587842,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
250.1107_3.546,8966.392901120586,2521.9129262477563,3.55539352996667,1.13e-6,1.830009253883999,5.94692155651658,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
255.0655_5.039,14560.69824743463,693.6810281841105,20.990480719288264,6e-6,4.391663302174487,5.221848749616356,255.0655,5.039,505.438,255.0655_5.039,255.0655_5.039,1
271.0596_4.449,19979.056864329465,1243.866687778706,16.062056376803543,1.33e-8,4.005584703477219,7.876148359032914,271.0596,4.449,1143.0925499999998,271.0596_4.449,271.0596_4.449,1
287.1967_0.655,7410.705759452444,52871.78262713819,0.14016372044260625,0.0295,-2.834815120080633,1.530177984021837,287.1967,0.655,6825.406150000001,Cluster_287.1967_0.655,182.0574_0.654;287.1967_0.655,2
290.1419_5.181,8368.334708972103,16273.408248114072,0.5142336861082503,0.0333,-0.9595039744289497,1.47755576649368,290.1419,5.181,11468.1,290.1419_5.181,290.1419_5.181,1
292.1575_3.656,32364.17075712369,9124.523633545572,3.5469436057066517,3.84e-5,1.8265763924625207,4.4156687756324695,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1
