mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
255.0655_5.039,12928.535903193366,460.9799448427583,28.04576651941622,5.95e-7,4.809711108773465,6.22548303427145
271.0596_4.449,17581.516388239765,757.6701171142244,23.20471137914658,4.1e-8,4.536345848225527,7.3872161432802645
271.1656_4.57,297814.17536573583,194178.90820340454,1.533710216630594,0.0398,0.6170259218740698,1.4001169279263121
274.1833_5.809,71935.2360341671,43213.85730055263,1.6646335348834316,0.038,0.7352046063669274,1.4202164033831899
277.1432_7.079,27966.801939183722,8445.074412206217,3.3116110734040993,0.00247,1.727533247891962,2.607303046740334
316.1385_4.504,32999.080464460225,930.3744461736422,35.46860148639699,1.35e-7,5.148470541359609,6.8696662315049934
431.0964_3.273,39291.06576410094,904.0077180970604,43.46319724659959,1.79e-8,5.4417224010713365,7.747146969020107
431.0966_3.757,93627.46744846072,1156.6028218419326,80.95040551548675,6.52e-9,6.33896640251485,8.18575240426808
431.0972_4.035,50994.290900160646,982.8500300542302,51.8841016847168,1.66e-9,5.697220630881978,8.779891911959945
433.1121_3.884,48987.181659846974,895.3048494005416,54.71564427764099,1.06e-7,5.773881481741965,6.97469413473523
433.1123_3.32,17402.4386385649,646.6725605006054,26.91074231616266,1.55e-7,4.750110282263908,6.809668301829708
435.1282_4.891,54081.2865311307,493.95010855484196,109.48734618027967,6.87e-10,6.774620332132234,9.16304326294045
447.0916_4.229,17895.008150169822,689.1814980956602,25.96559570971818,6.39e-8,4.698529419392505,7.1944991418416
449.1046_3.633,7002.425949464093,3271.956373443659,2.1401342653276885,0.0375,1.0977013096386201,1.4259687322722812
449.1059_4.17,18587.87103523923,6925.736998123755,2.6838834683261656,0.0439,1.424322032448047,1.3575354797578787
461.1074_3.814,92725.33947974174,610.29562596815,151.93512051253154,2.28e-9,7.247311583859074,8.642065152999546
461.1078_3.304,35379.944672743426,630.9189058443482,56.07684972666185,2.14e-9,5.809333399097154,8.669586226650809
512.2857_6.504,24541.176494015577,4135.939739884992,5.933639762047885,0.0395,2.568917341836223,1.4034029043735399
514.2642_5.844,11560.774195393442,7313.084690086046,1.5808341739930565,0.0412,0.6606860401155681,1.3851027839668655
