mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
142.0862_0.71,42019.452867941814,22859.749089375044,1.838141473191934,0.0283,0.8782478084211827,1.5482135644757098
255.0655_5.039,14560.69824743463,461.67296400501584,31.53898838069373,3.15e-6,4.979064481028392,5.501689446210399
271.0596_4.449,19979.056864329465,801.4878112874828,24.927461881467398,4.08e-7,4.639664089733106,6.38933983691012
277.1432_7.079,28902.610664499025,5845.724645339981,4.944230598945373,0.00873,2.305746032117007,2.0589857562944305
316.1385_4.504,34174.69798519915,936.0710578779964,36.50865786051612,4.61e-7,5.190166727955738,6.336299074610352
330.2275_4.829,131002.59633693348,85290.51514065434,1.5359573819069376,0.0065,0.6191381862644637,2.1870866433571443
431.0964_3.273,43843.616592431645,914.4328473369718,47.9462398142344,1.67e-7,5.583345771151177,6.777283528852417
431.0966_3.757,102926.21607875718,1040.9484829188166,98.87733904962555,6.61e-8,6.627568013376769,7.179798540514359
431.0972_4.035,56210.07419953099,954.023546651539,58.918958967856526,1.75e-8,5.8806600346776365,7.756961951313706
433.1121_3.884,53514.43200185913,866.7225080738069,61.74344326281421,6.34e-7,5.9482140352370605,6.1979107421182675
433.1123_3.32,19484.23855835939,559.4503838990063,34.82746481031416,2.07e-7,5.122153553780866,6.684029654543083
435.1282_4.891,59475.739550430546,496.124671136367,119.88063285424236,6.59e-9,6.9054547947988025,8.18111458540599
447.0916_4.229,20502.488375340945,730.2321369281001,28.076672250538948,3.89e-7,4.81130004719133,6.410050398674292
449.1046_3.633,4743.944178407766,767.407576081751,6.181779182620943,0.00314,2.628022121063259,2.503070351926785
449.1059_4.17,18152.627297938903,3536.2203663058503,5.133341652263101,0.00988,2.3598982830738495,2.0052430554123717
461.1074_3.814,104915.41964855173,641.7342439142284,163.4873324020002,3.49e-9,7.353035044526696,8.45717457304082
461.1078_3.304,38854.040234999906,661.4017597277157,58.744990716376755,3.83e-9,5.876393930790421,8.416801226031378
