mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
160.0967_0.691,18289.007672723645,66216.7964327629,0.2761989201832568,0.0486,-1.8562204155857711,1.3133637307377066
219.1705_0.65,130540.6270161842,506862.1288361377,0.2575466178858795,0.0397,-1.957094500239893,1.401209493236885
230.9902_0.718,47823.872769063,74608.62622435778,0.6409965601732223,0.0286,-0.6416114800626118,1.5436339668709569
234.1122_4.883,5932.891525927148,18025.111334520898,0.32914590183777315,0.00105,-1.6032008598687069,2.978810700930062
250.1107_3.546,8966.392901120586,19916.12232047867,0.4502077641841419,0.018,-1.1513371574791909,1.744727494896694
303.0862_4.684,779.1895064251569,6848.274710371424,0.11377895008287375,0.0399,-3.135694421426354,1.3990271043132518
357.1179_3.698,1254.8339641179375,2135.2271178238843,0.5876817288630172,0.00835,-0.7668930495273151,2.078313524516398
385.1464_0.793,3056.387104196189,8250.005798644486,0.370470903753591,0.0402,-1.4325678550789693,1.39577394691553
394.1701_3.105,3176.5488839926793,11771.139269786412,0.2698590859549246,0.0487,-1.8897218322889242,1.3124710387853658
429.2112_4.041,2192.3187869765284,8294.132681416053,0.2643216441290682,0.0253,-1.9196335291619024,1.596879478824182
