mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
255.0655_5.039,14560.69824743463,461.67296400501584,31.53898838069373,3.15e-6,4.979064481028392,5.501689446210399,255.0655,5.039,505.438,255.0655_5.039,255.0655_5.039,1,14560.69824743463,693.6810281841105,20.990480719288264,6e-6,4.391663302174487,5.221848749616356,255.0655,5.039,505.438,255.0655_5.039,255.0655_5.039,1
271.0596_4.449,19979.056864329465,801.4878112874828,24.927461881467398,4.08e-7,4.639664089733106,6.38933983691012,271.0596,4.449,1143.0925499999998,271.0596_4.449,271.0596_4.449,1,19979.056864329465,1243.866687778706,16.062056376803543,1.33e-8,4.005584703477219,7.876148359032914,271.0596,4.449,1143.0925499999998,271.0596_4.449,271.0596_4.449,1
316.1385_4.504,34174.69798519915,936.0710578779964,36.50865786051612,4.61e-7,5.190166727955738,6.336299074610352,316.1385,4.504,1386.22345,316.1385_4.504,316.1385_4.504,1,34174.69798519915,1001.981501778981,34.10711467679118,5.51e-6,5.092000808866794,5.258848401148215,316.1385,4.504,1386.22345,316.1385_4.504,316.1385_4.504,1
431.0964_3.273,43843.616592431645,914.4328473369718,47.9462398142344,1.67e-7,5.583345771151177,6.777283528852417,431.0964,3.273,1490.925,431.0964_3.273,431.0964_3.273,1,43843.616592431645,2361.826550847705,18.563436242468917,1.08e-6,4.214391884615175,5.966576244513051,431.0964,3.273,1490.925,431.0964_3.273,431.0964_3.273,1
431.0966_3.757,102926.21607875718,1040.9484829188166,98.87733904962555,6.61e-8,6.627568013376769,7.179798540514359,431.0966,3.757,1892.23695,431.0966_3.757,431.0966_3.757,1,102926.21607875718,3737.114508050281,27.541627599860625,7.57e-7,4.783541914377071,6.120904120499927,431.0966,3.757,1892.23695,431.0966_3.757,431.0966_3.757,1
431.0972_4.035,56210.07419953099,954.023546651539,58.918958967856526,1.75e-8,5.8806600346776365,7.756961951313706,431.0972,4.035,1487.4128999999998,431.0972_4.035,431.0972_4.035,1,56210.07419953099,1952.7329102727863,28.785336644773782,1.19e-6,4.847262179572094,5.924453038607469,431.0972,4.035,1487.4128999999998,431.0972_4.035,431.0972_4.035,1
433.1121_3.884,53514.43200185913,866.7225080738069,61.74344326281421,6.34e-7,5.9482140352370605,6.1979107421182675,433.1121,3.884,1116.98505,433.1121_3.884,433.1121_3.884,1,53514.43200185913,1401.4641360425353,38.18466033171107,3.49e-7,5.254921285296666,6.45717457304082,433.1121,3.884,1116.98505,433.1121_3.884,433.1121_3.884,1
433.1123_3.32,19484.23855835939,559.4503838990063,34.82746481031416,2.07e-7,5.122153553780866,6.684029654543083,433.1123,3.32,1062.49665,433.1123_3.32,433.1123_3.32,1,19484.23855835939,989.7756823251864,19.68550946067589,1.5e-7,4.29906214479248,6.823908740944319,433.1123,3.32,1062.49665,433.1123_3.32,433.1123_3.32,1
435.1282_4.891,59475.739550430546,496.124671136367,119.88063285424236,6.59e-9,6.9054547947988025,8.18111458540599,435.1282,4.891,504.51829999999995,435.1282_4.891,435.1282_4.891,1,59475.739550430546,694.1469755504032,85.68176718377404,1.09e-8,6.420916330822581,7.962573502059376,435.1282,4.891,504.51829999999995,435.1282_4.891,435.1282_4.891,1
447.0916_4.229,20502.488375340945,730.2321369281001,28.076672250538948,3.89e-7,4.81130004719133,6.410050398674292,447.0916,4.229,1057.3181,447.0916_4.229,447.0916_4.229,1,20502.488375340945,934.6999642179896,21.93483380786712,3.51e-8,4.455151870518532,7.454692883534176,447.0916,4.229,1057.3181,447.0916_4.229,447.0916_4.229,1
449.1046_3.633,4743.944178407766,767.407576081751,6.181779182620943,0.00314,2.628022121063259,2.503070351926785,449.1046,3.633,1152.04495,449.1046_3.633,449.1046_3.633,1,4743.944178407766,753.7498027979175,6.29379160140176,1.15e-5,2.6539294092366266,4.939302159646388,449.1046,3.633,1152.04495,449.1046_3.633,449.1046_3.633,1
449.1059_4.17,18152.627297938903,3536.2203663058503,5.133341652263101,0.00988,2.3598982830738495,2.0052430554123717,449.1059,4.17,4419.77585,449.1059_4.17,449.1059_4.17,1,18152.627297938903,4305.848936366342,4.215806816775533,0.00235,2.0758087590848433,2.6289321377282637,449.1059,4.17,4419.77585,449.1059_4.17,449.1059_4.17,1
461.1074_3.814,104915.41964855173,641.7342439142284,163.4873324020002,3.49e-9,7.353035044526696,8.45717457304082,461.1074,3.814,505.438,461.1074_3.814,461.1074_3.814,1,104915.41964855173,1418.8432306552195,73.9443353442945,8.22e-8,6.208367725866645,7.0851281824599495,461.1074,3.814,505.438,461.1074_3.814,461.1074_3.814,1
461.1078_3.304,38854.040234999906,661.4017597277157,58.744990716376755,3.83e-9,5.876393930790421,8.416801226031378,461.1078,3.304,505.8067,461.1078_3.304,461.1078_3.304,1,38854.040234999906,1189.112205159976,32.67483090863803,2.05e-8,5.030107865019759,7.688246138944246,461.1078,3.304,505.8067,461.1078_3.304,461.1078_3.304,1
160.0967_0.691,18289.007672723645,66216.7964327629,0.2761989201832568,0.0486,-1.8562204155857711,1.3133637307377066,160.0967,0.691,23195.525999999998,160.0967_0.691,160.0967_0.691,1,18289.007672723645,65012.92596753439,0.2813134065348275,0.0045,-1.8297497861720957,2.3467874862246565,160.0967,0.691,23195.525999999998,160.0967_0.691,160.0967_0.691,1
219.1705_0.65,130540.6270161842,506862.1288361377,0.2575466178858795,0.0397,-1.957094500239893,1.401209493236885,219.1705,0.65,189798.715,219.1705_0.65,219.1705_0.65,1,130540.6270161842,351702.0156691654,0.3711682651798604,0.016,-1.4298547293163568,1.7958800173440752,219.1705,0.65,189798.715,219.1705_0.65,219.1705_0.65,1
234.1122_4.883,5932.891525927148,18025.111334520898,0.32914590183777315,0.00105,-1.6032008598687069,2.978810700930062,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1,5932.891525927148,854.9270478991921,6.939646535345925,2.94e-7,2.7948621823006463,6.531652669587842,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
250.1107_3.546,8966.392901120586,19916.12232047867,0.4502077641841419,0.018,-1.1513371574791909,1.744727494896694,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1,8966.392901120586,2521.9129262477563,3.55539352996667,1.13e-6,1.830009253883999,5.94692155651658,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
