mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
132.0768_0.656,56317.416544593856,94701.31192061042,0.5946846501113482,0.0117,-0.7498032572664651,1.9318141382538383,132.0768,0.656,52774.654500000004,132.0768_0.656,132.0768_0.656,1
142.0862_0.71,22859.749089375044,41208.40971308101,0.5547350467668872,0.02,-0.8501292206958296,1.6989700043360187,142.0862,0.71,20024.923499999997,142.0862_0.71,142.0862_0.71,1
144.1283_0.662,55469.50627318414,17777.206288838333,3.120260032534552,0.0448,1.6416662637079815,1.348721986001856,144.1283,0.662,27248.506,144.1283_0.662,144.1283_0.662,1
162.1126_0.642,76294.97244509692,142197.4685783795,0.5365424097057184,0.0124,-0.898235885035146,1.9065783148377649,162.1126,0.642,93995.525,162.1126_0.642,162.1126_0.642,1
163.1243_0.654,1057.3118839029441,2286.9397009511827,0.46232608733111225,0.00322,-1.1130173241340258,2.492144128304169,163.1243,0.654,1875.2451999999998,163.1243_0.654,163.1243_0.654,1
170.0926_0.62,194057.80323003343,386783.8926936017,0.5017215217484768,0.0155,-0.9950412698928933,1.8096683018297086,170.0926,0.62,281307.6,170.0926_0.62,170.0926_0.62,1
174.1237_2.04,33777.611397755325,17603.876171853957,1.9187598837897317,0.00283,0.9401741820177775,2.54821356447571,174.1237,2.04,27366.773999999998,174.1237_2.04,174.1237_2.04,1
195.0874_3.353,10546.809952988724,17803.51143494837,0.592400549269471,0.0329,-0.755355116603656,1.4828041020500258,195.0874,3.353,18341.169,195.0874_3.353,195.0874_3.353,1
204.1231_0.665,96104.20665395608,177232.32261656158,0.5422498855464165,0.00452,-0.8829702515018181,2.344861565188618,204.1231,0.665,100516.64499999999,204.1231_0.665,204.1231_0.665,1
230.9902_0.718,74608.62622435778,42630.71380616354,1.7501144025782387,0.00617,0.8074492321362844,2.2097148359667584,230.9902,0.718,36565.97749999999,230.9902_0.718,230.9902_0.718,1
234.1122_4.883,18025.111334520898,1160.203281969182,15.536166475867367,8.15e-6,3.957558659859931,5.088842391260023,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
246.1699_0.806,46523.4646732284,109203.70759885192,0.42602458923947295,0.0303,-1.2309913927224867,1.518557371497695,246.1699,0.806,52778.051,Cluster_246.1699_0.806,246.1699_0.806;246.1804_0.804,2
246.17_3.238,110677.92883786501,224849.14344245495,0.4922319344578269,0.0184,-1.0225898365439203,1.7351821769904636,246.17,3.238,141906.26,246.17_3.238,246.17_3.238,1
250.1107_3.546,19916.12232047867,2726.2571925462703,7.305298405055249,2.73e-5,2.868943205089093,4.5638373529592435,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
257.153_5.622,5005.867226188273,9048.89351619393,0.5532021365076024,0.00651,-0.8541213665931513,2.186419011431808,257.153,5.622,6516.1515,257.153_5.622,257.153_5.622,1
271.1653_4.288,88577.53281715815,151803.3332837238,0.5835018961777656,5.44e-4,-0.7771907506911327,3.26440110030182,271.1653,4.288,117625.155,271.1653_4.288,271.1653_4.288,1
271.1656_4.57,204960.76798790955,373547.15072724,0.5486878097955822,1.92e-4,-0.8659425710985709,3.7166987712964503,271.1656,4.57,272016.815,Cluster_271.1656_4.57,271.1656_4.57;272.1685_4.569,2
277.1432_7.079,5845.724645339981,17255.4718360057,0.33877512599465087,0.0049,-1.5616001438345846,2.309803919971486,277.1432,7.079,14828.295,Cluster_277.1432_7.079,277.1432_7.079;294.1706_7.072,2
284.1855_4.179,46963.42211815147,77639.85103214595,0.6048881018422714,0.00393,-0.7252598117534019,2.4056074496245734,284.1855,4.179,54430.395,284.1855_4.179,284.1855_4.179,1
285.1441_0.774,7106.9047428383865,10773.059864025996,0.6596923095702977,0.00337,-0.6001348082383908,2.4723700991286615,285.1441,0.774,7751.0495,285.1441_0.774,285.1441_0.774,1
286.2019_4.654,910041.5279137722,1614684.462398866,0.5636033225722401,0.00262,-0.8272479781930341,2.5816987086802548,286.2019,4.654,1172479.2,Cluster_286.2019_4.654,286.2019_4.654;571.3945_4.652,2
287.1598_0.805,6957.234022410132,11669.389529963522,0.596195199804242,5.81e-4,-0.7461433352015112,3.2358238676096693,287.1598,0.805,10406.1955,287.1598_0.805,287.1598_0.805,1
292.1575_3.656,71304.68153831884,9633.62267664641,7.401647742668382,1.68e-5,2.8878464768974808,4.774690718274138,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1
300.199_6.283,9418.325441181414,17088.20588786921,0.5511594080141211,0.0297,-0.8594584550548219,1.5272435506827877,300.199,6.283,10638.0625,300.199_6.283,300.199_6.283,1
301.1391_0.795,13937.210072091364,24262.416997827877,0.5744361772917805,3.04e-4,-0.7997814836861986,3.517126416391246,301.1391,0.795,19997.648,301.1391_0.795,301.1391_0.795,1
302.1418_0.788,2937.270894832454,4502.630873208336,0.6523454792418971,0.00671,-0.616291883214911,2.173277479831008,302.1418,0.788,4420.2255000000005,302.1418_0.788,302.1418_0.788,1
302.1959_0.798,10334.294886581225,19310.421537967282,0.535166716390028,0.00709,-0.9019397016139166,2.1493537648169334,302.1959,0.798,13180.2055,302.1959_0.798,302.1959_0.798,1
304.2117_4.122,72204.09460993133,114520.79704444029,0.630488928416314,0.0218,-0.6654570582896523,1.6615435063953952,304.2117,4.122,89824.68,304.2117_4.122,304.2117_4.122,1
312.2162_5.201,48519.51508536615,79623.3863294032,0.6093626172170089,0.0186,-0.7146270976688276,1.7304870557820837,312.2162,5.201,51434.2425,312.2162_5.201,312.2162_5.201,1
314.2327_5.619,224926.24182776082,363824.206951195,0.618227807634398,0.00129,-0.6937895473978143,2.889410289700751,314.2327,5.619,272217.01,Cluster_314.2327_5.619,314.2327_5.619;314.269_5.621,2
319.165_3.812,30719.328687856887,54108.441215716775,0.567736345709658,0.00689,-0.8167069909412767,2.1617807780923743,319.165,3.812,39063.365000000005,319.165_3.812,319.165_3.812,1
328.2482_6.065,98715.64157163768,200113.29427964904,0.4932987682152049,0.00131,-1.0194664100119486,2.8827287043442356,328.2482,6.065,141490.46999999997,328.2482_6.065,328.2482_6.065,1
330.2275_4.829,85290.51514065434,137692.3619321368,0.6194280782451151,0.00322,-0.6909913140270901,2.492144128304169,330.2275,4.829,93263.9295,330.2275_4.829,330.2275_4.829,1
336.2167_5.325,50841.52074021518,84993.87209533527,0.5981786626121428,8.23e-4,-0.7413516453004929,3.08460016478773,336.2167,5.325,64639.0605,336.2167_5.325,336.2167_5.325,1
338.2323_5.729,20836.206938918014,38740.4170310162,0.5378415756917695,0.00423,-0.8947468135962858,2.3736596326249577,338.2323,5.729,25779.792,338.2323_5.729,338.2323_5.729,1
338.2324_5.637,43757.25634498392,71963.57596273451,0.6080472761337361,0.0133,-0.7177445962314489,1.8761483590329142,338.2324,5.637,50963.331999999995,338.2324_5.637,338.2324_5.637,1
344.2542_4.012,3610.5709732429914,5729.1039488558135,0.6302156507326203,0.0459,-0.6660825122964771,1.3381873144627388,344.2542,4.012,3212.6246,344.2542_4.012,344.2542_4.012,1
356.2429_4.821,6356.311170957864,13693.918438786184,0.46417036872035594,0.0163,-1.1072736667001222,1.7878123955960423,356.2429,4.821,6246.380999999999,356.2429_4.821,356.2429_4.821,1
356.2429_5.382,35382.482110456105,75408.81474902209,0.4692088349116368,0.0206,-1.0916979162114697,1.6861327796308465,356.2429,5.382,39617.253,356.2429_5.382,356.2429_5.382,1
358.2585_4.768,7103.554251045519,11746.160830293531,0.6047554050788528,0.00528,-0.7255763363529198,2.277366077466188,358.2585,4.768,7297.4828,358.2585_4.768,358.2585_4.768,1
369.1289_3.506,11045.264288651559,19093.230521834797,0.5784911189345523,0.0173,-0.7896332838129023,1.7619538968712045,369.1289,3.506,14893.765,369.1289_3.506,369.1289_3.506,1
369.1292_3.953,35959.83980671597,55945.24512137406,0.6427684735083483,0.0325,-0.6376289254085367,1.4881166390211256,369.1292,3.953,51529.8105,Cluster_369.1292_3.953,176.0706_3.956;369.1292_3.953,2
436.1558_3.898,747.9124713378961,1183.1485295812402,0.6321374304565209,0.0047,-0.6616898518584647,2.3279021420642825,436.1558,3.898,1188.71065,436.1558_3.898,436.1558_3.898,1
449.1076_4.454,6259.657699589813,1598.0669679948774,3.9170183884370724,0.00196,1.9697559010343075,2.707743928643524,449.1076,4.454,3750.29395,449.1076_4.454,449.1076_4.454,1
452.1914_4.626,13523.145164008065,23397.85616660825,0.5779651378192218,0.0224,-0.7909456212136151,1.6497519816658373,452.1914,4.626,7807.567349999999,452.1914_4.626,452.1914_4.626,1
452.1914_4.683,14096.782616498227,24178.7538425857,0.5830235382797009,0.0214,-0.7783739646796256,1.6695862266508092,452.1914,4.683,9715.806,452.1914_4.683,452.1914_4.683,1
504.1824_0.676,899.3922144566191,541.5660301031961,1.6607249429681523,0.049,0.731813147185979,1.3098039199714864,504.1824,0.676,504.12265,Cluster_504.1824_0.676,434.2596_0.679;504.1824_0.676;533.2601_0.672,3
555.3098_6.452,22027.850711690982,35303.89402692532,0.623949604394658,0.0404,-0.680498585713292,1.393618634889395,555.3098,6.452,27310.927499999998,555.3098_6.452,555.3098_6.452,1
