mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
226.9516_0.553,226.9516,0.553,112755.48,226.9516_0.553,226.9516_0.553,1
159.1492_0.608,159.1492,0.608,68835.482,159.1492_0.608,159.1492_0.608,1
175.1442_0.616,175.1442,0.616,27362.8165,175.1442_0.616,175.1442_0.616,1
189.1684_0.616,189.1684,0.616,25930.3905,189.1684_0.616,189.1684_0.616,1
189.16_0.615,189.16,0.615,342078.36,189.16_0.615,189.16_0.615,1
156.0769_0.621,156.0769,0.621,62625.959,156.0769_0.621,156.0769_0.621,1
170.0926_0.62,170.0926,0.62,281307.6,170.0926_0.62,170.0926_0.62,1
136.0482_0.633,136.0482,0.633,97184.54000000001,136.0482_0.633,136.0482_0.633,1
137.071_0.636,137.071,0.636,38279.4025,137.071_0.636,137.071_0.636,1
162.1126_0.642,162.1126,0.642,93995.525,162.1126_0.642,162.1126_0.642,1
76.0757_0.642,76.0757,0.642,102898.955,Cluster_76.0757_0.642,151.1443_0.635;76.0757_0.642,2
114.0669_0.645,114.0669,0.645,3441685.15,Cluster_114.0669_0.645,114.0669_0.645;227.1255_0.647,2
193.1547_0.646,193.1547,0.646,26674.032,193.1547_0.646,193.1547_0.646,1
219.1705_0.65,219.1705,0.65,189798.715,219.1705_0.65,219.1705_0.65,1
163.1243_0.654,163.1243,0.654,1875.2451999999998,163.1243_0.654,163.1243_0.654,1
213.1234_0.672,213.1234,0.672,7483.03175,213.1234_0.672,213.1234_0.672,1
203.1502_0.654,203.1502,0.654,73089.19,203.1502_0.654,203.1502_0.654,1
138.0551_0.654,138.0551,0.654,146989.765,138.0551_0.654,138.0551_0.654,1
146.0812_0.71,146.0812,0.71,33436.8725,146.0812_0.71,146.0812_0.71,1
141.0659_0.655,141.0659,0.655,30928.945,141.0659_0.655,141.0659_0.655,1
138.0639_0.655,138.0639,0.655,15271.1125,138.0639_0.655,138.0639_0.655,1
287.1967_0.655,287.1967,0.655,6825.406150000001,Cluster_287.1967_0.655,182.0574_0.654;287.1967_0.655,2
132.0768_0.656,132.0768,0.656,52774.654500000004,132.0768_0.656,132.0768_0.656,1
144.1023_0.656,144.1023,0.656,758401.07,Cluster_144.1023_0.656,144.1023_0.656;145.1054_0.656,2
144.1103_0.66,144.1103,0.66,35360.148499999996,144.1103_0.66,144.1103_0.66,1
160.1332_0.662,160.1332,0.662,30139.9705,160.1332_0.662,160.1332_0.662,1
144.1283_0.662,144.1283,0.662,27248.506,144.1283_0.662,144.1283_0.662,1
61.0395_0.663,61.0395,0.663,671592.325,61.0395_0.663,61.0395_0.663,1
217.1547_0.664,217.1547,0.664,25956.799,217.1547_0.664,217.1547_0.664,1
204.1231_0.665,204.1231,0.665,100516.64499999999,204.1231_0.665,204.1231_0.665,1
203.139_0.665,203.139,0.665,30072.131999999998,203.139_0.665,203.139_0.665,1
269.1244_0.667,269.1244,0.667,19658.9675,269.1244_0.667,269.1244_0.667,1
229.1182_0.667,229.1182,0.667,38185.539000000004,229.1182_0.667,229.1182_0.667,1
276.1442_0.669,276.1442,0.669,19158.4505,276.1442_0.669,276.1442_0.669,1
166.0723_0.669,166.0723,0.669,21503.679,166.0723_0.669,166.0723_0.669,1
229.1549_0.669,229.1549,0.669,457094.31,Cluster_229.1549_0.669,229.1549_0.669;241.1546_0.669,2
458.1454_0.678,458.1454,0.678,502.47159999999997,458.1454_0.678,458.1454_0.678,1
441.1613_0.696,441.1613,0.696,1374.5518,Cluster_441.1613_0.696,388.1347_0.71;441.1613_0.696,2
504.1824_0.676,504.1824,0.676,504.12265,Cluster_504.1824_0.676,434.2596_0.679;504.1824_0.676;533.2601_0.672,3
474.1718_0.703,474.1718,0.703,1195.89865,Cluster_474.1718_0.703,420.2007_0.694;420.2008_0.709;434.2172_0.698;451.1566_0.701;474.1718_0.703;492.2067_0.697,6
160.0967_0.691,160.0967,0.691,23195.525999999998,160.0967_0.691,160.0967_0.691,1
281.1128_0.728,281.1128,0.728,24636.3685,281.1128_0.728,281.1128_0.728,1
436.225_0.726,436.225,0.726,1459.4056,Cluster_436.225_0.726,434.217_0.716;436.225_0.726;751.1861_0.717;767.1602_0.717,4
384.1171_0.716,384.1171,0.716,5955.15315,Cluster_384.1171_0.716,384.1171_0.716;388.0937_0.722,2
