"","mz","rt","6101_U4_C18POS_14","6110_U2_C18POS_34","6104_U2_C18POS_19","6109_U4_C18POS_22","6111_U1_C18POS_51","6110_U3_C18POS_45","6105_U1_C18POS_43","6111_U4_C18POS_42","6113_U2_C18POS_31","6105_U2_C18POS_40","6109_U1_C18POS_58","6113_U4_C18POS_62","6102_U1_C18POS_26_1","6102_U2_C18POS_16","6105_U4_C18POS_47","6105_U3_C18POS_39","6111_U2_C18POS_35","6103_U4_C18POS_53","6102_U3_C18POS_48","6102_U4_C18POS_50","6104_U4_C18POS_12","6101_U1_C18POS_59","6103_U3_C18POS_61","6108_U2_C18POS_27_1","6103_U2_C18POS_60","6101_U2_C18POS_30","6112_U2_C18POS_37","6113_U1_C18POS_24","6108_U4_C18POS_18","6104_U1_C18POS_55","6113_U3_C18POS_15","6101_U3_C18POS_29_1","6106_U3_C18POS_20","6106_U2_C18POS_46","6108_U1_C18POS_44","6111_U3_C18POS_54","6112_U4_C18POS_63","6109_U3_C18POS_52","6110_U1_C18POS_11","6110_U4_C18POS_start-10","6112_U3_C18POS_56","6108_U3_C18POS_28_1","6103_U1_C18POS_21","6106_U1_C18POS_23","6109_U2_C18POS_13","6106_U4_C18POS_36","6112_U1_C18POS_38","PooledQC6_C18POS_17","PooledQC11_C18POS_57","PooledQC9_C18POS_41","6104_U3_C18POS_32","PooledQC10_C18POS_49","PooledQC12_C18POS_64","PrerunPooledQC5tryagain-addednew3_C18POS_14_1","PooledQC8_C18POS_33","PooledQC7_C18POS_25"
"2","226.9516","0.553","16.33793857","17.28489665","17.09980906","15.52449336","16.35448649","16.82022721","17.10654106","16.65874564","16.88796786","16.49946022","16.12212224","17.21380775","16.98321976","16.41293696","16.94325083","16.86660473","16.60182707","17.20635755","17.27610395","16.41795072","16.74604464","16.72995061","17.07488006","17.17723722","17.01379994","16.41291414","17.0466487","17.0412629","15.74449462","17.02833173","16.81419215","16.78695211","16.34564226","16.98414751","16.42600474","16.88909537","17.18101177","14.85191932","16.3360628","16.41296639","16.43814419","16.77871217","17.02671794","15.53102714","15.37711866","15.68974032","16.77082763","16.82074639","16.85136316","16.68160354","17.18195159","16.88675292","16.69013264","16.76100757","16.82983581","16.68988034"
"3","159.1492","0.608","15.31814734","14.13154753","14.97725577","15.95582106","17.00794093","16.11619266","16.13685798","16.8822374","16.50116527","16.58441469","15.42414004","15.57613001","17.11856397","16.73028597","15.46165434","16.31810585","16.94531226","14.88168613","16.55167042","16.30485538","16.19779088","16.3212996","15.45619685","17.07221668","14.95742585","15.58634694","15.21574419","17.12387163","16.68276421","15.98682021","16.66350474","15.75086031","14.89365467","15.51407848","16.97734612","17.52272565","14.52264467","16.76295826","16.5406964","16.15819941","16.24825319","16.43115298","16.18027496","16.55319999","16.41984516","16.02406636","14.64552334","14.37246108","14.42620119","14.45265373","15.61501747","14.59445233","14.36237057","14.62898144","14.37167388","14.54067415"
"4","175.1442","0.616","13.72873419","14.42419772","13.86928991","15.6804848","15.53784144","13.80320705","15.43913313","15.6224613","15.20121956","15.75550824","15.65035157","13.92677085","14.18026117","14.2979908","15.17368963","15.3741626","15.63339795","14.2549319","13.9363802","14.01321859","13.87102542","13.98383532","14.23188326","15.17471908","13.91743791","14.0141422","16.47428948","14.47894274","15.17511334","14.04333775","13.9054532","13.90548507","14.87137409","15.0488006","15.51204691","15.51698472","16.18476379","16.35476256","14.13904622","14.23287597","15.80824139","15.23756125","12.44002198","14.52219396","13.38674495","12.63142036","15.91112792","14.75718356","14.90984017","14.72246581","14.48728152","14.98805057","14.70625879","14.90605907","14.77556877","14.83158802"
"5","189.1684","0.616","14.21938734","14.06934109","14.34647142","14.59171202","14.9364292","14.76397699","14.79539256","15.02395581","15.08384677","14.68109233","14.6771842","14.20920348","14.67186594","14.55361478","14.5374219","14.81354473","14.83270799","14.34686141","14.69266116","14.57344719","14.65278359","14.80334461","14.7356629","17.66366504","16.33079384","14.23658358","14.35069979","14.70911274","14.41116543","14.99543413","14.62777576","14.4199865","14.73239312","14.49752162","14.54994286","14.94245659","14.38756503","15.04657666","14.62597162","14.78975166","14.67233578","14.43631328","12.95167284","15.09386755","13.37725012","13.32942805","14.31815292","14.62910898","14.68349125","14.68083507","14.98616834","14.89172362","14.48840348","14.778305","14.61106613","14.64361412"
"6","189.16","0.615","17.76305542","17.48967097","18.04143671","18.32232895","18.85502156","18.53261477","18.53669268","18.91816008","19.24036453","18.58130652","18.31592015","18.13139278","18.49750751","18.32273181","18.30378048","18.63787664","18.39194251","18.13421372","18.53297566","18.34613227","18.58438878","18.63627059","18.65690642","18.13105862","17.91526687","17.98973209","18.0636485","18.47280807","17.99998393","18.81771549","18.37187515","18.127731","18.58149925","18.23540481","18.19932008","18.92545456","18.11070311","18.73821156","18.45256437","18.43315572","18.59718109","17.99559024","16.40312673","19.29426759","16.79402082","16.80146776","18.05343689","18.40863284","18.37594779","18.41173283","18.90269584","17.67818321","18.47083639","18.74039307","18.31162549","18.49674605"
"7","156.0769","0.621","15.30663919","14.17277595","16.93974827","16.76745773","16.66787619","15.49881431","16.8473673","16.81840018","16.02506904","16.92887133","15.49827331","15.66162224","15.91493305","16.00678058","15.92060477","16.65586302","16.40886309","14.9544099","16.50277525","15.58419739","17.21135049","15.66791291","15.3960177","15.52047289","13.96164684","15.55599824","15.50205109","16.88053691","15.0369819","17.07629599","16.00576247","15.79574646","16.5077324","15.703703","15.52252177","17.04942699","15.12721168","16.51959679","15.5841507","15.17065235","15.40104116","15.04585819","13.46264413","16.78344067","13.85134889","13.83337439","15.43661103","16.16279727","16.02585826","16.11828392","17.34447658","15.94820957","16.01157124","15.94913068","15.98854357","16.05699644"
"8","170.0926","0.62","17.24864077","16.05726283","17.22017302","17.49725652","17.43965073","18.26790132","18.4244099","17.33206811","18.6398066","18.49508977","18.10684916","18.4786776","17.80394593","17.77395358","17.56757535","19.26760053","17.06221535","17.7434718","18.28924119","17.3614657","18.27291577","18.92291303","18.97277897","18.94301277","17.98912065","18.22702228","16.87875803","18.2341207","18.66021412","17.8666922","19.17766664","18.11057191","18.16095547","17.01311698","19.20701074","18.78127175","16.75022021","17.75673964","19.37773924","17.96030529","17.95734105","18.73024855","15.95664977","18.81030185","14.551826","14.81385783","16.54692731","18.19384565","18.14543327","18.16721427","17.48867194","18.09671104","18.11890245","18.04762719","18.07266826","18.19893513"
"9","136.0482","0.633","16.63888909","17.54234965","17.17644053","14.06194492","15.93955764","17.29965047","16.55120958","16.58866823","16.31877421","16.33875605","16.29978917","16.96245684","16.69916547","16.61571555","16.94747851","16.41876297","17.06075292","16.56235006","17.13579104","16.89630579","16.49017069","15.95951797","16.63587425","16.95061182","17.28828529","16.24101245","16.79753399","15.86724157","16.22554807","16.7512136","16.31461033","16.52278288","16.57101962","16.55619768","16.36097102","16.49381949","16.61248526","13.58767908","16.26995232","16.57963842","15.98520488","16.39000013","18.08657912","15.98141231","16.5984172","17.03614388","16.3554891","16.54987008","16.56585418","16.53485455","17.2835242","16.64563676","16.75058583","16.40879394","16.58125561","16.67071973"
"10","137.071","0.636","15.2543946","15.50479975","14.68019412","14.81173442","14.04388598","14.82823865","15.49520234","14.35421081","15.27780354","15.18347139","14.71777226","15.68673824","15.88695018","15.51518115","15.84206179","15.0156128","14.17327581","13.98300961","15.85276991","15.32092039","15.07074067","15.04323068","13.89031368","14.55513731","14.89493757","15.57340488","15.04860309","14.57845702","15.43376114","14.50506781","15.50705905","15.44130729","15.57440934","14.16729426","15.23535348","15.21312207","15.93308203","14.33200857","15.44329648","15.53979979","15.52881791","15.00891046","14.50819898","15.36561367","15.43789021","14.52111578","15.87485579","15.33274988","15.27974369","15.10655803","14.25612759","15.24832899","15.30914023","15.02859894","15.12840884","15.27938351"
"11","162.1126","0.642","16.5533968","14.52036945","16.17050566","16.36108997","16.35523752","14.80774583","17.88616364","15.45761782","15.56118739","17.51762672","17.40478234","17.15694252","16.8253192","15.42026356","17.3609723","17.57366486","14.77380784","15.69219075","17.89803329","16.48643518","16.90615462","16.27861316","15.73100102","17.05589469","14.88041817","14.4023386","14.30045409","17.56513139","15.70539426","15.52665878","16.11143953","17.90474568","15.5438843","16.1247005","16.0312728","16.56266279","14.72854182","16.02861188","16.79206531","17.07240648","14.86728695","17.08445205","14.20017217","19.05997627","17.16795357","14.62376835","15.06267145","16.73896187","16.78782045","16.73012088","16.59259821","16.67713849","16.81202998","16.61028795","16.88227586","16.82145973"
