mz_rt,row ID,6110_U2_C18POS_34,6101_U4_C18POS_14,6109_U1_C18POS_58,6105_U3_C18POS_39,6105_U1_C18POS_43,6109_U4_C18POS_22,6113_U4_C18POS_62,6101_U1_C18POS_59,6103_U4_C18POS_53,6105_U2_C18POS_40,6111_U4_C18POS_42,6110_U3_C18POS_45,6104_U3_C18POS_32,6102_U1_C18POS_26_1,6104_U2_C18POS_19,6110_U4_C18POS_start-10,6112_U2_C18POS_37,6102_U2_C18POS_16,6102_U3_C18POS_48,6113_U2_C18POS_31,6101_U2_C18POS_30,6109_U3_C18POS_52,6102_U4_C18POS_50,6111_U2_C18POS_35,6101_U3_C18POS_29_1,6112_U4_C18POS_63,6111_U3_C18POS_54,6105_U4_C18POS_47,6113_U1_C18POS_24,6108_U1_C18POS_44,6110_U1_C18POS_11,6112_U3_C18POS_56,6108_U4_C18POS_18,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6106_U4_C18POS_36,6103_U2_C18POS_60,6113_U3_C18POS_15,6106_U2_C18POS_46,6104_U1_C18POS_55,6104_U4_C18POS_12,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6112_U1_C18POS_38,6106_U3_C18POS_20,6111_U1_C18POS_51,6106_U1_C18POS_23,6109_U2_C18POS_13,PooledQC8_C18POS_33,PooledQC11_C18POS_57,PooledQC7_C18POS_25,PooledQC9_C18POS_41,PooledQC12_C18POS_64,PooledQC10_C18POS_49,PooledQC6_C18POS_17,PrerunPooledQC5tryagain-addednew3_C18POS_14_1
147.1128_0.54,12,2433.233,7500.161,9808.681,16983.906,10590.299,7582.502,22400.164,9275.137,3154.5312,10396.66,29564.635,4374.3486,16698.283,2502.3606,15478.766,5887.398,9233.722,2966.8071,3755.8218,48404.98,8520.801,4814.2495,3394.52,14833.34,9006.571,6981.5156,80380.67,13017.422,19481.693,4994.8335,5775.9146,8249.328,6266.511,8145.8193,9873.721,3235.435,4764.2124,24418.521,3940.893,22419.053,30139.242,9043.255,2843.5723,6125.8027,6903.0957,27490.592,9969.604,7410.876,9910.762,11295.954,12257.219,10869.492,11148.728,13673.44,11805.319,9851.761
430.9137_0.551,17,26781.727,15520.431,11861.903,22389.035,26157.885,7874.6675,28323.541,20251.406,32562.023,19660.342,23727.115,23431.24,30553.117,23394.268,25861.72,17172.557,28512.012,19580.111,32191.129,24464.213,18235.96,5702.3257,15778.071,19171.002,22070.38,28890.049,23730.795,24202.94,31675.273,17814.373,20249.969,19504.291,9773.327,25688.979,26965.271,13460.992,23104.256,27371.904,29160.498,24547.105,24325.104,18360.46,29447.416,20471.46,19600.504,20252.322,11175.123,8272.905,20042.342,22576.428,17501.25,21425.781,22191.527,29280.412,21183.137,21286.055
226.9618_0.553,19,13287.297,7344.8706,7909.1064,11098.885,13523.7705,5211.353,13595.95,9095.159,12957.082,10480.515,10406.742,9373.036,13461.07,11373.793,12523.291,9647.133,12612.051,8777.286,12048.58,10952.682,8707.058,3317.8167,9838.709,10230.083,8888.57,13036.294,12560.418,9373.966,13506.373,9829.704,7993.9097,8416.155,7404.569,13399.252,12896.823,5882.184,11627.057,11037.285,12851.992,10606.151,9480.827,8965.248,11295.985,11393.717,7685.4873,9131.77,6161.4946,4704.9077,10137.062,11258.444,9898.015,10263.852,11559.401,12596.829,9820.148,10986.052
446.8876_0.553,20,16039.018,16001.824,13152.845,13107.775,12392.445,14698.375,14450.677,12446.332,14686.218,12287.512,12050.705,11918.844,12531.292,13790.629,13993.002,16714.87,12603.903,12535.992,10359.865,9303.376,14702.084,9581.831,10788.047,15504.441,14336.599,16498.893,13650.42,16029.556,10921.392,7179.844,16704.941,17721.398,12016.422,11708.185,9760.529,17317.404,15070.0205,12216.596,19248.645,13309.043,14425.111,13894.895,12415.603,15987.667,15722.139,15377.023,13397.598,12941.959,14782.336,16345.661,13956.94,11451.467,13890.802,16439.354,14114.973,14338.358
362.9263_0.552,21,23020.219,14826.044,11845.889,21021.861,21322.734,5885.5625,22855.11,11609.962,24841.041,14103.888,18361.475,18734.164,25674.271,21957.73,21321.484,13498.051,23649.277,14624.931,21919.268,19386.342,18450.25,3631.8357,12323.673,18190.93,19023.932,22638.832,19194.117,21660.215,23853.6,16817.203,18805.166,16464.713,7884.633,22229.498,23196.043,9252.599,21068.941,21221.535,24987.271,20578.287,21012.145,16196.003,26431.129,18886.338,14195.3955,16162.926,10910.387,6487.553,20573.504,20747.139,16148.342,16393.432,19307.986,19743.303,16573.502,21077.521
90.9834_0.554,22,6531.1895,6645.2837,6414.572,6674.9614,7771.4067,4314.051,9100.319,6849.252,7315.6743,5965.8203,8989.987,7953.4995,8491.969,5824.717,8730.181,6110.541,8736.571,6959.2573,9199.302,7794.018,5281.222,2995.285,5898.184,6045.5786,7198.2803,8566.511,9470.115,8170.3105,8894.398,6824.6343,5909.6396,6462.06,3666.8103,6767.124,9055.726,4341.972,7739.1865,8259.486,8233.592,8215.529,7201.1045,7398.149,6920.413,5121.9385,5230.197,5209.2935,3820.1604,3359.6821,6996.797,7351.361,6868.2466,8053.8965,7457.6553,6847.874,7214.322,6731.0293
158.964_0.552,23,64651.547,37805.51,32587.783,50345.418,52364.016,26156.035,54563.453,48395.383,61637.51,43552.035,48890.906,46998.746,62116.418,52257.055,55609.64,42732.28,53128.957,45633.99,67221.625,49216.137,42815.53,17465.404,39357.7,47169.09,45723.324,57124.375,50485.63,54973.918,52418.945,39000.215,43591.953,41190.25,23090.504,55135.96,62349.508,28391.707,49400.04,51361.23,51675.33,56566.258,52057.4,46467.605,53156.914,46768.133,44192.953,44573.31,26383.543,23235.805,48567.97,48615.867,44524.543,47558.918,47987.145,49428.38,48647.867,50202.56
378.9003_0.553,24,16936.803,12861.714,13681.534,9241.209,11406.412,14004.478,12210.242,8735.184,13006.924,9515.444,13709.39,11464.373,8336.051,12760.071,13418.545,16299.542,13525.36,11549.905,8572.358,9095.633,12717.516,9544.801,9956.953,12385.976,12367.33,11291.494,10593.245,13563.497,11000.001,8613.849,12902.041,11425.828,12221.597,12026.626,11408.7295,18298.396,12861.024,11216.797,17081.527,10710.448,12538.718,11149.745,10446.27,12899,11133.794,13984.231,10321.906,11148.657,17240.281,14359.891,11497.254,13925.813,11243.402,14915.007,12203.9375,13335.444
226.9516_0.553,25,159688.03,82834.18,71325.1,119496.164,141117.86,47134.42,152010.11,108696.85,151227.14,92647.234,103462.3,115715.87,148690.36,129556.31,140460.9,87255.984,135379.4,87254.2,158717.75,121278.8,87252.82,29571.488,87557.96,99459.875,113077.48,148593.53,121373.62,126016.305,134874.95,88048.13,82726.55,88792.13,54899.086,138054.66,148205.27,52854.555,132331.77,115232.82,129639.65,133671.44,109916.21,112433.48,133522,111820.69,83277.68,83789.77,47348.37,42557.29,116489.13,118240.37,105719.375,105114.6,105737.87,121176.71,115757.52,111062.14
498.901_0.551,29,16091.583,9997.015,6064.355,16957.326,18023.266,4011.9265,16595.908,10133.306,16491.252,11053.106,12357.832,12422.1875,14525.504,12766.743,15284.881,9749.345,15091.36,9238.905,17881.799,13472.371,11234.957,2360.5522,11000.662,13601.465,11943.2705,15594.138,11307.188,12723.194,15542.327,9287.112,10510.429,11586.095,5899.947,14435.173,12985.809,6836.6353,16394.242,13078.068,14341.601,14224.458,14981.624,12641.531,17536.309,11144.878,11690.148,9479.965,7924.4746,4419.248,14429.716,13252.209,10956.882,10794.239,13189.532,13344.463,11512.816,15377.813
