mz_rt,row ID,6111_U2_C18POS_35,6111_U4_C18POS_42,6110_U3_C18POS_45,6110_U2_C18POS_34,6104_U2_C18POS_19,6101_U3_C18POS_29,6105_U4_C18POS_47,6109_U4_C18POS_22,6101_U1_C18POS_59,6105_U1_C18POS_43,6101_U3_C18POS_29_1,6105_U3_C18POS_39,6104_U3_C18POS_32,6102_U3_C18POS_48,6104_U1_C18POS_55,6103_U2_C18POS_60,6109_U1_C18POS_58,6105_U2_C18POS_40,6111_U3_C18POS_54,6104_U4_C18POS_12,6112_U2_C18POS_37,6101_U2_C18POS_30,6102_U1_C18POS_26_1,6106_U2_C18POS_46,6108_U1_C18POS_44,6102_U4_C18POS_50,6103_U4_C18POS_53,6109_U3_C18POS_52,6108_U2_C18POS_27,6111_U1_C18POS_51,6102_U2_C18POS_16,6112_U3_C18POS_56,6108_U4_C18POS_18,6110_U4_C18POS_start-10,6112_U4_C18POS_63,6103_U1_C18POS_21,6106_U1_C18POS_23,6101_U4_C18POS_14,6113_U1_C18POS_24,6103_U3_C18POS_61,6110_U1_C18POS_11,6112_U1_C18POS_38,6108_U3_C18POS_28_1,6106_U3_C18POS_20,6108_U2_C18POS_27_1,6108_U3_C18POS_28,6109_U2_C18POS_13,6102_U1_C18POS_26,6113_U4_C18POS_62,6113_U2_C18POS_31,6113_U3_C18POS_15,PooledQC6_C18POS_17,PooledQC9_C18POS_41,PooledQC11_C18POS_57,PooledQC10_C18POS_49,PooledQC8_C18POS_33,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC12_C18POS_64,PooledQC7_C18POS_25_1,...66
153.0328_0.516,12,6345.9277,1532.832,4453.458,NA,996.83813,3954.43,NA,1439.6036,7383.3726,3233.2354,1763.3789,1820.4054,2484.1436,7854.5723,4792.7847,NA,4562.046,NA,13022.616,8696.275,2704.1194,972.0476,5294.2725,1576.7252,1096.0531,7146.3555,2105.382,4858.396,5425.823,1721.4407,6595.712,1168.8922,1504.4465,3579.9841,3481.2017,NA,1286.7394,6505.1147,1696.3124,3316.315,7202.6665,NA,1742.769,2065.22,5379.007,2499.5422,1937.4824,1109.9908,1903.3917,4716.092,5827.056,3224.6738,1969.3829,3556.1375,4451.876,4834.9795,3138.9263,3565.5088,3889.0278,NA
163.1077_0.537,18,2976.1694,4282.0767,2950.9636,1987.6271,2064.1677,2788.0635,2641.4524,3781.496,3466.8281,4126.1904,3144.8855,2681.3333,2942.0115,2342.4832,3347.5256,2124.5808,3565.7354,2646.642,11671.713,8129.2397,2434.112,2545.5356,2844.3237,2291.374,4793.3994,3935.6897,2533.3484,3927.5154000000002,3693.3777,3467.8372,2544.2222,4051.785,4871.924,2396.7842,2117.068,3650.8933,3849.3997,1867.6948,4447.172,5587.594,2864.1038,2299.7554,4441.073,4078.4917,3365.0505,4930.6855,3083.935,2499.324,3876.4219,3821.244,7537.716,3186.6516,3522.49,4716.709,2497.4387,2631.415,2936.7332,3596.3691,3756.836,NA
325.1604_0.539,19,7192.7505,6330.2563,7027.0957,3625.54,2783.1252,4284.035,3799.2458,4574.1494,7325.014,5526.6235,4399.166,5857.231,3795.8254,4997.0195,4281.3867,4093.8467,6291.1147,5530.6963,16312.684,10924.095,4037.0295,5579.7754,6339.855,3510.713,8067.001,4748.5312,3804.6128,7821.061,7110.6875,6642.3076,8457.175,6777.8447,8848.059,4858.8286,5640.2393,6253.7876,8199.506,3585.764,9603.327,7587.4727,9833.93,6369.438,9241.329,6866.574,5422.5684,10208.8545,8660.823,6019.597,4150.3364,7220.563,10400.577,6661.9155,6605.496,4957.5386,5507.095,4673.771,6188.9556,3449.9668,5451.5786,NA
147.1128_0.54,20,14833.34,29564.635,4374.3486,2433.233,15478.766,12374.981,13017.422,7582.502,9275.137,10590.299,9006.571,16983.906,16698.283,3755.8218,22419.053,4764.2124,9808.681,10396.66,80380.67,30139.242,9233.722,8520.801,2502.3606,3940.893,4994.8335,3394.52,3154.5312,4814.2495,8956.865,27490.592,2966.8071,8249.328,6266.511,5887.398,6981.5156,2843.5723,9969.604,7500.161,19481.693,8145.8193,5775.9146,6125.8027,9043.255,6903.0957,9873.721,9963.6455,7410.876,2954.3428,22400.164,48404.98,24418.521,11805.319,10869.492,11295.954,13673.44,9910.762,9851.761,11148.728,12681.593,NA
430.9137_0.551,27,19171.002,23727.115,23431.24,26781.727,25861.72,24989.592,24202.94,7874.6675,20251.406,26157.885,22070.38,22389.035,30553.117,32191.129,24547.105,23104.256,11861.903,19660.342,23730.795,24325.104,28512.012,18235.96,23394.268,29160.498,17814.373,15778.071,32562.023,5702.3257,26289.715,20252.322,19580.111,19504.291,9773.327,17172.557,28890.049,29447.416,11175.123,15520.431,31675.273,25688.979,20249.969,20471.46,18360.46,19600.504,26965.271,18946.291,8272.905,31351.873,28323.541,24464.213,27371.904,21183.137,21425.781,22576.428,29280.412,20042.342,21286.055,22191.527,25812.252,NA
446.8876_0.553,29,15504.441,12050.705,11918.844,16039.018,13993.002,15456.972,16029.556,14698.375,12446.332,12392.445,14336.599,13107.775,12531.292,10359.865,13309.043,15070.0205,13152.845,12287.512,13650.42,14425.111,12603.903,14702.084,13790.629,19248.645,7179.844,10788.047,14686.218,9581.831,9271.411,15377.023,12535.992,17721.398,12016.422,16714.87,16498.893,12415.603,13397.598,16001.824,10921.392,11708.185,16704.941,15987.667,13894.895,15722.139,9760.529,15474.015,12941.959,15225.191,14450.677,9303.376,12216.596,14114.973,11451.467,16345.661,16439.354,14782.336,14338.358,13890.802,21308.764,NA
226.9618_0.553,30,10230.083,10406.742,9373.036,13287.297,12523.291,12170.477,9373.966,5211.353,9095.159,13523.7705,8888.57,11098.885,13461.07,12048.58,10606.151,11627.057,7909.1064,10480.515,12560.418,9480.827,12612.051,8707.058,11373.793,12851.992,9829.704,9838.709,12957.082,3317.8167,13571.837,9131.77,8777.286,8416.155,7404.569,9647.133,13036.294,11295.985,6161.4946,7344.8706,13506.373,13399.252,7993.9097,11393.717,8965.248,7685.4873,12896.823,10166.666,4704.9077,12075.434,13595.95,10952.682,11037.285,9820.148,10263.852,11258.444,12596.829,10137.062,10986.052,11559.401,13303.135,NA
362.9263_0.552,31,18190.93,18361.475,18734.164,23020.219,21321.484,21716.447,21660.215,5885.5625,11609.962,21322.734,19023.932,21021.861,25674.271,21919.268,20578.287,21068.941,11845.889,14103.888,19194.117,21012.145,23649.277,18450.25,21957.73,24987.271,16817.203,12323.673,24841.041,3631.8357,23052.504,16162.926,14624.931,16464.713,7884.633,13498.051,22638.832,26431.129,10910.387,14826.044,23853.6,22229.498,18805.166,18886.338,16196.003,14195.3955,23196.043,16068.949,6487.553,24159.656,22855.11,19386.342,21221.535,16573.502,16393.432,20747.139,19743.303,20573.504,21077.521,19307.986,27105.889,NA
90.9834_0.554,32,6045.5786,8989.987,7953.4995,6531.1895,8730.181,7035.1113,8170.3105,4314.051,6849.252,7771.4067,7198.2803,6674.9614,8491.969,9199.302,8215.529,7739.1865,6414.572,5965.8203,9470.115,7201.1045,8736.571,5281.222,5824.717,8233.592,6824.6343,5898.184,7315.6743,2995.285,7468.778,5209.2935,6959.2573,6462.06,3666.8103,6110.541,8566.511,6920.413,3820.1604,6645.2837,8894.398,6767.124,5909.6396,5121.9385,7398.149,5230.197,9055.726,6072.893,3359.6821,7541.001,9100.319,7794.018,8259.486,7214.322,8053.8965,7351.361,6847.874,6996.797,6731.0293,7457.6553,8148.9453,NA
158.964_0.552,33,47169.09,48890.906,46998.746,64651.547,55609.64,52163.066,54973.918,26156.035,48395.383,52364.016,45723.324,50345.418,62116.418,67221.625,56566.258,49400.04,32587.783,43552.035,50485.63,52057.4,53128.957,42815.53,52257.055,51675.33,39000.215,39357.7,61637.51,17465.404,58070.54,44573.31,45633.99,41190.25,23090.504,42732.28,57124.375,53156.914,26383.543,37805.51,52418.945,55135.96,43591.953,46768.133,46467.605,44192.953,62349.508,44310.715,23235.805,52533.855,54563.453,49216.137,51361.23,48647.867,47558.918,48615.867,49428.38,48567.97,50202.56,47987.145,58969.703,NA
