mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
255.0655_5.039,14521.676016666666,501.79689541666664,28.939350062356613,4.26e-7,4.854960616192238,6.370590400897281
271.0596_4.449,16475.696483333333,707.5682954166666,23.284955798692575,5.47e-8,4.541326238412683,7.262012673666569
277.1432_7.079,27886.214416666666,8408.612358333334,3.316387202584039,0.00248,1.7296124575683338,2.6055483191737836
316.1385_4.504,34714.795216666666,975.96714375,35.5696351449707,1.17e-7,5.15257427093905,6.931814138253839
431.0964_3.273,39323.72983333333,907.3734158333333,43.33797877163764,1.75e-8,5.437559964421084,7.756961951313706
431.0966_3.757,95085.88891666666,1174.72392,80.94317932733222,6.47e-9,6.338837611916604,8.1890957193313
431.0972_4.035,53849.17008333333,1033.7731608333333,52.089928548662506,9.04e-10,5.702932553044111,9.043831569524636
433.1121_3.884,49083.66308333333,901.0745054166666,54.472369141813104,1.01e-7,5.767452709905194,6.995678626217358
433.1123_3.32,17253.662858333333,640.8222870833333,26.924255298395458,1.57e-7,4.75083453651219,6.804100347590766
435.1282_4.891,55403.9175,501.79689541666664,110.4110408136252,6.95e-10,6.786740634813203,9.158015195409886
447.0916_4.229,18290.878308333333,704.5272283333334,25.961918252049955,5.77e-8,4.6983250787821005,7.238824186844268
449.1059_4.17,18742.084516666666,7057.322483333333,2.6556933682608697,0.0437,1.4090885798071044,1.359518563029578
461.1074_3.814,100647.659,648.5868016666667,155.17993696659687,2.03e-9,7.277798234994111,8.692503962086787
461.1078_3.304,36318.45841666667,640.2894370833334,56.721939037610326,1.66e-9,5.825834946790052,8.779891911959945
512.2857_6.504,24408.697750000003,4108.387966666667,5.941186165483771,0.0392,2.5707509957096444,1.4067139329795428
