mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
194.0664_4.494,9825.263783333334,1793.6678833333333,5.477749740980013,1.67e-5,2.4535833559128717,4.777283528852417
241.0853_3.593,5192.5364,1053.3679366666668,4.929461225515879,5.09e-5,2.3014299732254244,4.293282217663242
255.0649_3.746,3951.135408333333,430.82736,9.171041060004484,8.1e-7,3.1970855121034094,6.0915149811213505
255.0653_5.045,14521.676016666666,268.4904641666667,54.086375327103866,5.78e-8,5.757193311424207,7.2380721615794705
257.0804_5.076,4518.256879166666,339.6527933333333,13.302575358867944,0.00585,3.733633671274771,2.2328441339178196
259.1076_4.885,6803.019458333333,490.7241433333333,13.863225502056169,4.01e-8,3.7931910575885253,7.396855627379818
262.1596_5.54,7537.768066666667,931.7987225,8.089481005557685,0.0393,3.016047147064851,1.4056074496245732
277.1433_7.079,27886.214416666666,8408.612358333334,3.316387202584039,0.00248,1.7296124575683338,2.6055483191737836
278.2112_4.254,6446.313716666667,1388.9046625,4.6412931648335265,1.74e-4,2.214526827457164,3.7594507517174
285.0758_5.162,6018.476658333333,268.4904641666667,22.41597919320269,5.08e-6,4.486455616641446,5.294136287716081
306.2424_5.047,5738.2384833333335,1379.9528666666665,4.158285853048218,0.00105,2.0559889367917608,2.978810700930062
334.2734_5.777,3379.1692875,802.79221,4.209270151612458,0.0273,2.0735701050423136,1.563837352959244
360.1284_3.514,3997.0114249999997,841.8441808333333,4.7479230907593815,7.3e-4,2.247296565670911,3.136677139879544
433.106_3.764,6432.3236916666665,361.65748083333335,17.78567852888116,6.54e-9,4.1526441095783175,8.184422251675732
433.1124_3.884,49083.66308333333,346.7153891666667,141.56759295082438,2.18e-9,7.1453472373988,8.661543506395395
450.2152_5.53,8951.29105,2838.4056666666665,3.1536334482139448,0.0187,1.657014983154513,1.728158393463501
461.1074_3.814,100647.659,454.929735,221.23781159303644,5.46e-9,7.7894541663776105,8.262807357295262
461.1079_3.302,36318.45841666667,479.2831891666667,75.77661649225345,5.08e-9,6.243680818280772,8.29413628771608
511.0544_3.265,12190.1427,911.96511,13.366895911182393,8.06e-6,3.740592573521459,5.09366495819491
512.2859_6.507,24408.697750000003,4096.332955,5.958670356667822,0.0376,2.5749904374238364,1.424812155072339
527.0485_3.607,6553.1662166666665,268.4904641666667,24.407444923625885,2.99e-8,4.609249370385342,7.52432881167557
607.1287_3.039,7798.647225,268.4904641666667,29.046272645865564,1.83e-9,4.860281136990849,8.73754891026957
623.1236_3.321,14091.870425000001,438.3278266666667,32.14915770272643,1.83e-8,5.006709034803944,7.73754891026957
623.123_0.809,5611.5909833333335,268.4904641666667,20.90052248503661,3.51e-9,4.385467103085833,8.454692883534175
