mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
255.0655_5.039,16261.3621,501.5117145,32.42469045057571,2.23e-6,5.019020896425215,5.651695136951839
271.0596_4.449,18785.39525,748.4373945,25.09948779690484,4.17e-7,4.649586018409819,6.379863945026242
277.1432_7.079,28823.11273,5833.7498,4.940752297947369,0.00872,2.3047307288312058,2.059483515067433
316.1385_4.504,35529.17066,982.3580975,36.16722939467601,3.45e-7,5.17661117887335,6.462180904926726
431.0964_3.273,43943.3465,912.959324,48.13286347464917,1.77e-7,5.588950348187889,6.752026733638194
431.0966_3.757,104457.9082,1053.468134,99.15621064243791,6.31e-8,6.631631233276267,7.199970640755866
431.0972_4.035,58973.3975,997.838953,59.10111779330387,9.59e-9,5.885113511577921,8.018181392829336
433.1121_3.884,53773.9791,866.0606365,62.09031658258492,6.61e-7,5.956296382534353,6.179798540514359
433.1123_3.32,19323.57933,555.9435445,34.75816838089034,2.23e-7,5.1192801546740565,6.651695136951839
435.1282_4.891,60989.6385,501.5117145,121.61159298303889,6.66e-9,6.926136954262863,8.176525770829699
447.0916_4.229,20948.1274,744.788114,28.12629123133402,3.47e-7,4.813847424471485,6.459670525209126
449.1046_3.633,4976.92346,820.912502,6.062672267598137,0.00231,2.5999538361794716,2.6363880201078556
449.1059_4.17,18265.37204,3568.60438,5.118351628543368,0.00949,2.3556792633074015,2.022733787572707
461.1074_3.814,113761.5888,677.659602,167.87423724868876,3.83e-9,7.391237034430962,8.416801226031378
461.1078_3.304,39931.9899,667.7027645000001,59.80503904293779,3.77e-9,5.902195142788664,8.423658649794207
