mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
194.0664_4.494,9841.958990000001,1748.9372799999999,5.627393905171946,4.29e-4,2.4924669524035266,3.3675427078152755
241.0853_3.593,5816.71503,1094.753359,5.313265295950556,8.22e-6,2.409598749625735,5.0851281824599495
255.0649_3.746,4387.58154,464.379212,9.448272934319032,3.27e-6,3.240050640783035,5.485452247339714
255.0653_5.045,16261.3621,269.574937,60.322232774925965,3.64e-7,5.914617924583084,6.438898616350944
257.0804_5.076,5093.894115,269.574937,18.89602264842596,0.0127,4.240010693923906,1.8961962790440432
259.1076_4.885,7041.2742,366.36609699999997,19.219229774964685,1.51e-7,4.264478615072668,6.82102305270683
277.1433_7.079,28823.11273,5833.7498,4.940752297947369,0.00872,2.3047307288312058,2.059483515067433
278.2112_4.254,6887.39091,1456.00569,4.730332413742147,0.00111,2.2419415693588567,2.9546770212133424
285.0758_5.162,6882.88053,269.574937,25.532345872346436,2.01e-5,4.674254191305339,4.696803942579511
306.2424_5.047,6275.64502,1603.32982,3.9141322900112967,0.0035,1.9686925170577092,2.4559319556497243
334.2734_5.777,3861.61055,910.737032,4.2400939176919294,0.0128,2.084096220705406,1.8927900303521317
360.1284_3.514,4528.20219,824.165312,5.494288735607451,3.1e-4,2.4579327288490354,3.5086383061657274
433.106_3.764,7044.8997,381.375357,18.47235163650073,5.9e-8,4.207295636267468,7.229147988357856
433.1124_3.884,53773.9791,363.444847,147.95636681567808,9.64e-8,7.209027969278989,7.015922966097169
461.1074_3.814,113761.5888,493.302062,230.61243315865158,1.03e-8,7.849326485820737,7.987162775294828
461.1079_3.302,39931.9899,481.718812,82.89481105006129,8.78e-9,6.373209891341305,8.056505484093897
511.0544_3.265,13825.6335,829.778692,16.661832405790435,9.51e-6,4.058475166501668,5.021819483062586
527.0485_3.607,7559.11614,269.574937,28.040871395993317,1.57e-8,4.809459278014227,7.804100347590766
607.1287_3.039,8513.06764,269.574937,31.579596140274717,1.6e-8,4.980920816112476,7.795880017344075
623.1236_3.321,15979.60369,269.574937,59.27703764983167,4.77e-9,5.889401446129532,8.321481620959887
623.123_0.809,6242.73748,269.574937,23.157707276029154,1.7e-8,4.533420521563536,7.769551078621726
