mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
145.0648_5.215,2986.8248979166665,12729.668,0.23463494082616032,0.0477,-2.09151022558276,1.321481620959886
178.0355_4.268,409.15823958333334,4375.255858333333,0.09351641431529768,0.027,-3.4186365758665715,1.5686362358410126
190.0863_6.056,2116.4471770833334,4390.7418125,0.4820249669561579,0.0157,-1.052820220691501,1.8041003475907662
195.0651_3.125,4126.6781,16913.737308333333,0.24398381178397524,0.0475,-2.035142666089972,1.3233063903751334
221.1496_0.747,1549.3003575,5960.752723333333,0.259916897984255,0.0274,-1.943877664056841,1.562249437179612
225.0754_3.217,2147.5531,4616.04485,0.4652366191805957,0.0327,-1.1039634378203576,1.485452247339714
234.1123_4.885,5631.89875,18197.1071,0.30949418053378386,4.69e-5,-1.69201581240738,4.328827157284917
250.1106_3.547,8441.5704,18727.177433333334,0.45076576168784915,0.00146,-1.1495501563937283,2.835647144215563
261.0575_0.746,1353.8905166666666,3085.044158333333,0.43885612237009064,0.0361,-1.188180060742431,1.442492798094342
330.2638_4.188,2481.6603333333333,5459.7126,0.45454047037811723,0.00602,-1.1375193432303679,2.2204035087421756
341.0655_0.802,590.4301541666666,1382.1760625,0.4271743449953335,0.0354,-1.2271030898549147,1.4509967379742121
346.1495_3.065,1388.32485,3102.9639166666666,0.447418947588471,0.00846,-1.160301741009099,2.0726296369609765
380.1903_3.084,1490.9780583333334,3139.330516666667,0.4749350380336665,0.0347,-1.074197900845777,1.4596705252091262
383.1338_3.036,755.4416854166667,1549.7112541666665,0.48747254263368817,0.017,-1.0366071349416317,1.7695510786217261
385.1464_0.793,2821.0956666666666,7177.574083333334,0.39304305799049627,0.0306,-1.3472407260507395,1.51427857351842
388.1237_2.812,885.2183104166667,2008.2571458333334,0.44078932434189955,0.0136,-1.181838811780262,1.8664610916297826
399.1253_3.116,714.8710354166667,1929.4953416666667,0.37049637797993995,5.66e-4,-1.432468656258874,3.2471835688117285
415.1001_0.789,1784.6259,4700.45745,0.3796706850308793,0.0475,-1.3971794843772123,1.3233063903751334
