mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
117.0547_2.614,403.295044,1969.259982,0.2047952264740634,0.0497,-2.287746006612225,1.3036436112666678
160.0968_0.691,17774.40275,64958.3396,0.27362772600794744,0.0488,-1.86971367260382,1.3115801779972893
190.0863_6.056,2053.2695275,4855.38867,0.4228846889614709,0.00972,-1.2416637680492217,2.0123337350737254
195.065_2.691,2270.68619,4951.08314,0.45862412845686934,0.039,-1.1246158370262938,1.408935392973501
207.0415_3.201,291.5376385,736.108147,0.3960527263394084,0.0265,-1.3362355863887625,1.576754126063192
219.1706_0.651,124713.61039999999,494313.1754,0.25229675559240616,0.0401,-1.9868064407762476,1.3968556273798178
221.1496_0.747,1604.822594,6688.171233,0.23994938797046197,0.0324,-2.0591979616544913,1.489454989793388
225.0754_3.217,2254.80141,5112.58731,0.44102941882082014,0.0331,-1.181053201074369,1.4801720062242814
234.1123_4.885,6384.40253,19514.67747,0.3271590083830374,7.22e-4,-1.6119360987692195,3.141462802430361
250.1106_3.547,9145.69346,20555.073819999998,0.44493605520897134,0.0164,-1.1683300834414319,1.785156151952302
261.0575_0.746,1413.77448,3484.86691,0.40568966233490966,0.0173,-1.3015515542070586,1.7619538968712045
324.123_3.486,264.2373825,656.335067,0.4025952532260478,0.0457,-1.3125979325327601,1.3400837999301498
330.2638_4.188,2727.73091,5854.19602,0.46594458072143613,5.64e-4,-1.1017697234261816,3.248720896016658
341.0655_0.802,602.30102,1551.53666,0.38819644777197854,0.0409,-1.365141178291731,1.3882766919926581
346.1495_3.065,1612.631865,3477.26076,0.4637650082359656,0.0449,-1.1085341242973321,1.3477536589966768
380.1903_3.084,1476.60539,3380.64668,0.43678193250292574,0.0394,-1.1950149145168016,1.4045037781744258
383.1338_3.036,447.6898825,1233.428705,0.36296372922503045,0.00124,-1.4621027072217878,2.906578314837765
385.1464_0.793,2927.19974,7921.32145,0.36953427006803263,0.0364,-1.4362199308824428,1.438898616350944
388.1237_2.812,757.6134325,2064.660465,0.3669433523540637,0.0212,-1.4463707336875415,1.6736641390712486
399.1253_3.116,658.4959725,1929.38209,0.3412988935229517,4e-4,-1.550892357601296,3.3979400086720375
399.1257_0.804,3192.30056,9231.68088,0.3457984089242045,0.0313,-1.5319968639709058,1.5044556624535514
415.1001_0.789,1872.64104,5219.38473,0.3587857835496254,0.0403,-1.4788053685342881,1.3946949538588904
