m.z,r.t,p.value,t.score
100.0756,0.774,0.83,0.22057190196119017
1106.5217,3.833,0.819,-0.2345083575612535
111.0439,0.81,0.772,0.2970753440405831
111.044,2.998,0.782,0.2841661483264357
114.0669,0.645,0.363,0.9521747748471489
121.0283,0.799,0.602,-0.538129197824321
121.0284,2.736,0.756,-0.31974410767911177
121.0284,3.033,0.893,0.13790820953092875
121.0284,3.689,0.78,0.28760296674446745
121.0646,4.206,0.3,1.0927684979872339
125.0597,3.726,0.766,-0.3062073737879935
131.0494,4.532,0.357,-0.9665827945017784
132.0444,0.791,0.724,0.36316204985406975
132.0768,0.656,0.183,1.4291709895099587
134.0601,3.31,0.51,0.6830842775095379
134.0963,0.777,0.712,0.38045237255401276
134.0964,2.689,0.971,0.037154457517267515
135.0441,3.831,0.069,-2.0365709616718815
136.0482,0.633,0.221,-1.305825297260581
137.0597,3.062,0.241,-1.2452124323765295
137.0598,4.484,0.782,-0.2846028478431544
137.071,0.636,0.816,-0.2395239129622953
138.0551,0.654,0.448,-0.7890350391402559
138.0639,0.655,0.818,0.23597724540248421
139.0387,3.143,0.683,-0.42023355177316707
141.0659,0.655,0.64,0.4817446685250288
142.0862,0.71,0.0283,2.5611542364925106
144.0655,0.707,0.137,-1.617285981822715
144.1023,0.656,0.077,-1.9712361619614478
144.1103,0.66,0.667,0.44343134272877255
144.1283,0.662,0.13,-1.6517747530268903
145.0648,5.215,0.119,-1.707041554576805
146.0609,0.789,0.318,-1.0512359190044551
146.0614,2.317,0.396,-0.8862790086962685
146.0812,0.71,0.982,0.022522182999646357
148.1122,0.753,0.921,0.10116664323366209
148.112,2.583,0.87,0.16825325762464893
149.0596,0.765,0.363,-0.9538488755762519
149.0598,4.188,0.33,-1.0237132717104298
149.0598,7.95,0.744,-0.3355844550405143
152.0699,2.312,0.537,-0.6386508501504469
152.0705,2.812,0.68,-0.4250632989624402
152.07,0.791,0.708,-0.3860820575604321
153.0658,0.769,0.325,1.0354175864010777
153.0659,2.108,0.546,0.6242160915279554
156.0769,0.621,0.173,1.4669047687571732
159.1492,0.608,0.0139,2.976789157259189
160.0405,2.57,0.527,0.6553927299281815
160.0967,0.691,0.0486,-2.2443992855003176
160.1332,0.662,0.943,-0.07339613540517
162.1126,0.642,0.75,0.327967712227614
163.0755,3.225,0.821,-0.23182064309528236
163.0993,3.595,0.842,0.20495320800417954
163.123,1.223,0.831,-0.21951313174440393
163.1243,0.654,0.392,0.8938105197451869
166.0723,0.669,0.801,-0.2583601504014607
166.0862,0.727,0.885,-0.14832776288419647
166.0863,2.395,0.927,-0.09403202971027973
166.1216,0.797,0.855,0.18752666164188267
166.1226,2.55,0.988,0.014823109390394053
166.131,0.809,0.984,-0.01995501764317782
167.0562,0.774,0.856,0.18654697832731676
167.0563,2.234,0.895,0.13543009947965565
167.0564,2.346,0.778,0.2899015558900197
167.0795,4.248,0.27,-1.1665040595465037
169.0358,1.154,0.772,-0.29778488251228297
170.0447,0.81,0.283,1.1353823973877244
170.0448,2.599,0.231,1.2753056295003997
170.0602,4.487,0.843,-0.20387495093615454
170.0631,0.751,0.185,1.4243773927716217
170.0926,0.62,0.057,2.1510918278037248
174.0873,0.814,0.226,1.2895906082425046
174.1237,2.04,0.221,-1.3049769659040842
175.1442,0.616,0.664,0.44817876729165107
176.0707,4.755,0.585,-0.5635304703259757
177.0546,3.653,0.24,-1.249787730113711
177.102,0.741,0.7,-0.39698955108764666
177.1123,4.741,0.963,-0.04737128493233686
180.0658,2.895,0.433,-0.8162485249769197
180.0658,3.481,0.394,-0.8903450556276208
180.0739,3.473,0.371,-0.9359331531240389
181.0609,3.097,0.939,-0.07864198198318456
181.0704,2.671,0.922,0.09998228331505526
181.0717,0.801,0.816,0.2382677785290252
182.0715,2.896,0.248,-1.2264226392022048
183.0644,2.192,0.935,0.08410070108727165
183.0645,2.074,0.878,-0.1580227011950488
183.0655,4.503,0.988,0.014993681617282338
185.0912,0.756,0.582,0.5695871221372777
185.1284,0.796,0.499,0.701829165580652
185.1284,2.751,0.773,0.2962952190871932
186.1124,4.054,0.2,-1.370884818087487
189.1684,0.616,0.0605,2.114972208051825
189.16,0.615,0.308,1.0730558388513292
190.0499,3.133,0.63,0.49676243038607243
191.1066,5.298,0.33,-1.0237882167839432
192.0659,4.563,0.0638,-2.0841591841534552
192.1052,3.316,0.063,2.091298786870302
193.0968,0.764,0.23,1.2796859765876814
193.1547,0.646,0.623,-0.50748540060675
195.0647,0.814,0.0695,-2.0326383912161092
195.0874,3.353,0.584,0.5664460303235953
196.0604,3.589,0.828,-0.22287328050401095
196.0604,4.033,0.78,-0.28745055548969184
196.0605,2.921,0.638,-0.484700306523399
196.0693,3.577,0.581,-0.5704435348941045
199.0965,3.235,0.667,-0.4427481619744664
199.0965,3.748,0.774,-0.294567196473632
199.1068,3.168,0.389,-0.9009494434480623
199.1069,3.734,0.313,-1.0617249350075058
200.1281,5.02,0.525,0.6579508787774477
202.1437,5.378,0.489,0.7188094186047361
203.0814,0.73,0.994,0.00834089674445559
203.139,0.665,0.0963,1.8357150196533545
203.1502,0.654,0.827,0.22442020791942557
204.1231,0.665,0.621,0.5101739364996436
204.1231,1.146,0.841,0.20655519653562124
205.0971,2.931,0.957,0.055153209087342885
205.097,0.801,0.903,0.12444499452328357
210.0607,1.159,0.369,-0.94087965968196
213.0757,3.832,0.512,-0.6796293115777176
213.076,4.23,0.561,-0.6006435938016756
213.1234,0.672,0.386,-0.9072943795381444
215.0163,0.719,0.12,-1.7017757095459645
217.118,0.7,0.833,0.21586440973778898
217.1547,0.664,0.733,0.35078945856632776
218.0426,0.785,0.448,-0.7889462412170365
218.1384,6.89,0.297,-1.100322520434229
218.1386,2.048,0.913,0.11216374876280905
219.1705,0.65,0.0397,-2.363949089877887
220.0637,0.707,0.816,0.23896884466370355
220.0638,2.227,0.937,-0.0811911834839238
220.1178,2.562,0.655,-0.4603946021913042
220.1179,0.735,0.519,-0.6691247878222234
220.1367,4.453,0.063,2.090957371739437
222.1126,4.749,0.324,1.0376231595169723
224.056,3.685,0.858,0.18373080487837512
226.071,3.019,0.271,1.1641964921539472
226.9516,0.553,0.988,0.015319198547504425
227.1026,2.542,0.828,0.22339825155433385
229.0704,2.103,0.181,-1.4376240804528764
229.0982,5.024,0.247,1.2298548538314575
229.1182,0.667,0.726,0.36076305567014055
229.1547,1.206,0.0829,1.9265355401555166
229.1547,1.899,0.273,1.1589110922297783
229.1547,2.116,0.0904,1.8738185904151272
229.1549,0.669,0.215,1.3245715845261774
230.1106,4.213,0.247,-1.2301128678721016
230.9902,0.718,0.0286,-2.555970836948054
231.1009,6.633,0.57,-0.5874306991183943
232.0264,2.519,0.694,-0.40504208799255503
232.1543,0.707,0.732,0.35243114985049645
232.1544,2.651,0.969,0.04048529947656201
234.1122,4.883,0.00105,-4.552660094231522
235.0574,3.619,0.147,-1.5722231066458867
237.1232,2.723,0.404,-0.8707589389551741
239.1389,4.617,0.546,-0.6246866024708259
240.0954,4.039,0.974,-0.03388658719381109
240.1607,5.206,0.808,-0.24896189773269387
241.1546,1.985,0.596,0.5478410799357767
242.1115,4.496,0.839,0.2088202268479824
242.1325,4.563,0.896,0.13348264921462266
242.1417,4.559,0.886,0.14750374577561343
