mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
121.0284_3.689,25029.151416666668,10859.372466666668,2.304843258069909,0.00866,1.2046686428480482,2.062482107982653
234.1122_4.883,5631.89875,904.1650316666667,6.228839374177745,1.49e-6,2.638963369492066,5.826813731587726
250.1107_3.546,8441.5704,2447.8116416666667,3.448619271314643,8.34e-8,1.7860188635899341,7.078833949362261
255.0655_5.039,14521.676016666666,811.30889,17.89907172922346,5.25e-6,4.161812864143821,5.279840696594043
271.0596_4.449,16475.696483333333,1110.6890691666667,14.833761257500084,3.37e-8,3.8908125496947905,7.4723700991286615
292.1575_3.656,29681.560183333335,8462.418316666666,3.5074560335638023,4.51e-6,1.8104250195808782,5.345823458122039
316.1385_4.504,34714.795216666666,1112.75987625,31.19702278775139,4.82e-7,4.963336450439897,6.31695296176115
431.0964_3.273,39323.72983333333,2328.091968333333,16.890969243575437,6.18e-7,4.078180210639414,6.209011524911184
431.0966_3.757,95085.88891666666,3719.8096416666667,25.562030876951884,3.74e-7,4.675930556356693,6.42712839779952
431.0972_4.035,53849.17008333333,2176.6033854166667,24.74000106961379,3.77e-7,4.628773657575391,6.423658649794207
433.1121_3.884,49083.66308333333,1493.7384929166667,32.859609172615485,6.16e-7,5.038243416073627,6.210419287835575
433.1123_3.32,17253.662858333333,1017.0537845833334,16.964356379050116,3.94e-7,4.084434790697126,6.404503778174426
435.1282_4.891,55403.9175,1014.2612954166667,54.62489572496171,1.89e-7,5.77148671550107,6.723538195826756
447.0916_4.229,18290.878308333333,885.5929941666667,20.65382001530494,3.32e-9,4.3683367340358314,8.478861916295964
449.1059_4.17,18742.084516666666,7095.1315925,2.6415414953653893,0.00266,1.401380073031546,2.575118363368933
461.1074_3.814,100647.659,1502.7808620833332,66.97427518505278,1.37e-8,6.06553515777714,7.863279432843593
461.1078_3.304,36318.45841666667,1212.3325683333333,29.95750453738601,1.7e-8,4.904845547072481,7.769551078621726
595.3478_5.049,40027.02405,10664.15176625,3.7534184553409937,0.00455,1.9082051401560518,2.3419886033428874
