mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
121.0284_3.688,25029.151416666668,10885.4558,2.2993204764716118,0.00874,1.201207561138278,2.058488567365597
182.081_1.2,11571.91545,3075.906466666667,3.762115517946937,8.27e-6,1.9115441483322673,5.082494490447453
189.127_2.88,1665.5678125,764.4894725,2.1786667735964147,0.00272,1.1234455535704329,2.5654310959658013
194.0664_4.494,9825.263783333334,1799.3857083333332,5.460343348194038,1.27e-5,2.4489916711383013,4.896196279044043
215.0694_4.746,2030.7367,381.06029,5.329174288929449,0.0176,2.413912016746367,1.75448733218585
234.1123_4.885,5631.89875,677.9888625,8.30677177975029,1.59e-6,3.054287918366606,5.798602875679548
241.0853_3.593,5192.5364,1196.2095491666666,4.34082507000329,6.52e-5,2.1179692848981415,4.185752404268079
250.1106_3.547,8441.5704,2447.8116416666667,3.448619271314643,8.34e-8,1.7860188635899341,7.078833949362261
250.1801_4.087,6984.332908333333,1720.3160791666667,4.059912589851856,0.0143,2.0214486664388316,1.8446639625349381
255.0649_3.746,3951.135408333333,453.073165,8.720744713126704,2.99e-9,3.124451340054865,8.52432881167557
255.0653_5.045,14521.676016666666,576.3003858333334,25.198102193994277,2.96e-6,4.655243175500825,5.528708288941061
255.0973_0.799,19746.472583333332,8773.14595,2.250785829378951,2.96e-4,1.1704287855380218,3.5287082889410613
255.0974_2.702,12166.609833333334,5071.19925,2.3991583121750413,1.76e-4,1.2625283592379088,3.75448733218585
257.0804_5.076,4518.256879166666,265.23654416666665,17.034820346352912,0.0017,4.090414827364625,2.769551078621726
259.1076_4.885,6803.019458333333,509.0866316666667,13.363186214616078,1.22e-8,3.740192128745525,7.913640169325252
264.8444_0.593,15150.238941666667,6291.008883333333,2.4082367745186226,6.15e-4,1.267977242857905,3.211124884224583
268.2013_4.251,10425.302808333334,313.29872,33.275918932363766,3.19e-8,5.056406602372642,7.496209316942819
278.2112_4.254,6446.313716666667,751.2703475000001,8.580551246456144,1.82e-6,3.101070334785678,5.739928612014925
285.0758_5.162,6018.476658333333,265.23654416666665,22.690978263355383,4.84e-6,4.5040469033364845,5.315154638355588
302.2327_3.573,1243.3619270833333,594.8309025,2.090277962791843,0.0202,1.0636948030127924,1.6946486305533763
306.2424_5.047,5738.2384833333335,1149.8468,4.990437407255761,1.66e-5,2.319166271999942,4.779891911959945
334.2734_5.777,3379.1692875,807.2343166666667,4.186107079111416,0.00346,2.065609215685166,2.4609239012072233
346.1485_0.801,1511.5407950000001,659.3843208333334,2.2923517397103206,6.86e-4,1.1968284289996294,3.1636758842932484
358.295_4.882,3146.717904166667,815.6099941666666,3.85811592142365,8.89e-4,1.9478964914301895,3.0510982390297863
360.1284_3.514,3997.0114249999997,803.4095833333333,4.975060676294729,3.43e-4,2.314714121004165,3.4647058799572297
386.3261_5.447,1843.4829375,496.6352525,3.711945392962212,0.0115,1.8921754868981107,1.9393021596463884
414.3365_5.116,2964.483114583333,1383.0769816666666,2.143397044328657,0.0202,1.0998991205821103,1.6946486305533763
433.106_3.764,6432.3236916666665,481.4784691666666,13.359525095274986,3.4e-7,3.739796818652227,6.468521082957745
433.1124_3.884,49083.66308333333,1337.1838816666666,36.70674150076909,1.26e-6,5.197973145327752,5.8996294548824375
461.1074_3.814,100647.659,1305.6369108333333,77.08702026182824,2.99e-8,6.26841605774741,7.52432881167557
461.1079_3.302,36318.45841666667,962.9738525,37.71489570810197,5.54e-8,5.237062531374933,7.2564902352715706
495.2226_3.471,2413.2627666666667,1101.0124025,2.191857931106881,0.00778,1.1321542906661852,2.109020403010311
511.0544_3.265,12190.1427,941.5253766666667,12.94722691719412,3.7e-7,3.694571224364841,6.431798275933005
527.0485_3.607,6553.1662166666665,265.23654416666665,24.706875280914737,2.98e-8,4.626840657080381,7.525783735923745
595.3477_5.049,40047.764403333334,10604.1391775,3.776616256443258,0.00159,1.9170941983789958,2.7986028756795487
607.1287_3.039,7798.647225,399.21426916666667,19.534991174737215,2.32e-12,4.287988698647201,11.6345120151091
623.1236_3.321,14091.870425000001,934.6488858333333,15.077181001971327,1.23e-6,3.914294806341808,5.910094888560602
623.123_0.809,5611.5909833333335,346.67241083333334,16.187013468548464,2.13e-10,4.016764925397073,9.671620396561263
