mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
121.0284_3.689,25472.783330000002,8122.27326,3.1361642873364746,0.00678,1.6490011367227235,2.1687703061329366
234.1122_4.883,6384.40253,924.008655,6.90946182749771,3.59e-7,2.7885733446169008,6.444905551421681
250.1107_3.546,9145.69346,2602.20489,3.514593910397271,6e-7,1.8133580044326154,6.221848749616356
255.0655_5.039,16261.3621,786.341665,20.67976659992956,4.35e-6,4.370147997802087,5.361510743045363
271.0596_4.449,18785.39525,1144.16438,16.418440897452168,1.12e-8,4.037245229536068,7.950781977329818
292.1575_3.656,32821.2966,9321.05079,3.5212013473000296,4.34e-5,1.8160677249136208,4.36251027048749
316.1385_4.504,35529.17066,1049.0350315,33.86843107536395,4.54e-6,5.081869251715949,5.342944147142896
416.3517_5.027,10859.966468,5305.340128,2.046987790789198,0.0384,1.0335024974661564,1.4156687756324693
431.0964_3.273,43943.3465,2380.463109,18.459998953086068,9.95e-7,4.206330566052112,6.002176919254275
431.0966_3.757,104457.9082,3848.276567,27.1440751155347,7.41e-7,4.76256542241035,6.130181792020672
431.0972_4.035,58973.3975,2099.5586495,28.088473505631406,8.63e-7,4.811906316870487,6.06398920428479
433.1121_3.884,53773.9791,1430.2097684999999,37.598665793199,3.46e-7,5.232609562968809,6.460923901207224
433.1123_3.32,19323.57933,976.1556185,19.795593001547633,1.45e-7,4.307107380622525,6.838631997765025
435.1282_4.891,60989.6385,712.6402315,85.58264858500344,1.08e-8,6.419246422613921,7.966576244513051
447.0916_4.229,20948.1274,962.46673,21.76504054327156,3.04e-8,4.443940802425184,7.517126416391246
449.1046_3.633,4976.92346,859.03629,5.793612584166846,1.7e-5,2.5344632155734046,4.769551078621726
449.1059_4.17,18265.37204,4393.219161,4.157628238114661,0.00244,2.0557607627642196,2.612610173661271
461.1074_3.814,113761.5888,1605.0301815,70.8781617387922,1.06e-7,6.1472692822351584,6.97469413473523
461.1078_3.304,39931.9899,1239.7023590000001,32.21094935417478,2.25e-8,5.009479276824366,7.647817481888637
595.3478_5.049,44178.05856,11317.6895695,3.903452050766199,0.00246,1.964750548002038,2.6090648928966207
