mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
116.0706_1.279,6715.71223,2842.3157499999998,2.3627607981273724,1.11e-4,1.2404735807196081,3.9546770212133424
121.0284_3.688,25472.783330000002,8122.27326,3.1361642873364746,0.00678,1.6490011367227235,2.1687703061329366
182.081_1.2,11826.40414,2543.7138,4.649266808239197,5.31e-6,2.2170032204102283,5.274905478918531
189.127_2.88,1835.38183,760.739592,2.4126282492735043,0.00171,1.2706056344731838,2.7670038896078464
194.0662_4.291,3584.26928,1626.65737,2.2034568226251605,1.69e-4,1.1397686268650116,3.7721132953863266
194.0664_4.494,9841.958990000001,1652.77783,5.954798528487038,2.25e-5,2.5740526975319376,4.647817481888637
215.0694_4.746,2234.3285849999997,404.206963,5.527684551539998,0.0374,2.466675287774989,1.4271283977995197
234.1123_4.885,6384.40253,760.52125,8.394772046145983,2.06e-5,3.0694911503725755,4.686132779630847
236.0948_3.046,6748.57566,3288.25729,2.052325917598741,3.73e-4,1.03725985490533,3.428291168191312
241.0853_3.593,5816.71503,1251.054284,4.649450550940282,4.11e-5,2.2170602357325464,4.386158178123931
250.1106_3.547,9145.69346,2602.20489,3.514593910397271,6e-7,1.8133580044326154,6.221848749616356
250.1801_4.087,8197.85095,2011.31391,4.075868470476595,0.0283,2.027107496044239,1.5482135644757098
255.0649_3.746,4387.58154,490.622413,8.942888510068943,4.12e-8,3.160740890254279,7.3851027839668655
255.0653_5.045,16261.3621,527.142128,30.84815505392504,1.4e-6,4.94711230309039,5.853871964321762
255.0973_0.799,21165.5506,8094.8299400000005,2.614699846307086,2.26e-5,1.3866453422281977,4.645891560852599
255.0974_2.702,12835.2866,4608.89258,2.784896019425126,8.35e-6,1.4776234621935969,5.078313524516398
257.0804_5.076,5093.894115,265.21846800000003,19.206408035657606,0.00339,4.263515827649772,2.469800301796918
259.1076_4.885,7041.2742,523.308008,13.455315210846154,2.57e-7,3.7501042835466962,6.590066876668706
264.8444_0.593,13481.716,5816.24326,2.317942251954572,5.06e-4,1.212844624214722,3.2958494831602008
268.2013_4.251,11786.33132,322.893079,36.50227300164585,2.65e-7,5.189914398499213,6.576754126063192
278.2112_4.254,6887.39091,792.22839,8.693693632968644,2.56e-5,3.1199692557281784,4.591760034688151
283.0744_2.415,2562.6597,1199.35779,2.1366932548126445,3.23e-4,1.0953798085476754,3.490797477668897
285.0758_5.162,6882.88053,265.21846800000003,25.95173926575882,1.08e-6,4.697759325031205,5.966576244513051
292.1932_3.671,1334.039522,665.461649,2.0046828002856105,0.00288,1.003373977998066,2.540607512240769
302.2327_3.573,1438.6763575,660.731698,2.177398726071108,0.0181,1.12260561857488,1.7423214251308154
306.2424_5.047,6275.64502,1326.750775,4.730085814345953,2.05e-4,2.241866357519913,3.688246138944246
332.1336_3.598,2947.00441,1471.33132,2.0029509125109906,0.0015,1.0021270646130525,2.8239087409443187
334.2734_5.777,3861.61055,915.615795,4.217501020720158,0.00677,2.076388417674129,2.1694113313148558
344.134_3.228,3239.90612,1552.84658,2.086430276969152,0.00408,1.0610367103201996,2.38933983691012
346.1485_0.801,1574.6829,675.6963900000001,2.3304592466447835,0.00161,1.2206142843089334,2.7931741239681505
358.295_4.882,3577.46637,716.634968,4.992034340696588,1.66e-4,2.3196278586757746,3.779891911959945
360.1284_3.514,4528.20219,835.9707099999999,5.4166995755150324,3.09e-4,2.437414077345104,3.5100415205751654
386.3261_5.447,2158.82157,374.158498,5.769804993176982,3.73e-4,2.528522559749317,3.428291168191312
414.3365_5.116,3197.5251675,1448.007678,2.208223903837615,0.0432,1.1428864622333739,1.3645162531850878
433.106_3.764,7044.8997,391.613638,17.989413586255136,2.42e-8,4.1690762536840635,7.616184634019569
433.1124_3.884,53773.9791,1265.1549029999999,42.503869662511995,9.29e-7,5.40952228881475,6.031984286006359
434.158_3.907,786.824316,265.21846800000003,2.966702590258533,0.00564,1.5688603049558743,2.248720896016658
461.1074_3.814,113761.5888,1391.268108,81.76827179883864,1.58e-7,6.3534692437011655,6.801342913045577
461.1079_3.302,39931.9899,963.282568,41.454077159216276,6.1e-8,5.373442097889689,7.214670164989233
495.2226_3.471,2715.28616,1078.559753,2.5175111090947597,0.00428,1.3319981444686269,2.3685562309868278
511.0544_3.265,13825.6335,964.183087,14.33922009876533,5.81e-7,3.8418946537778456,6.235823867609669
527.0485_3.607,7559.11614,265.21846800000003,28.50146973927924,1.05e-8,4.832964411740093,7.978810700930062
595.3477_5.049,44202.946984,11245.674463,3.930662151873105,6.67e-4,1.974772366620403,3.175874166083451
607.1287_3.039,8513.06764,425.991738,19.984114433693545,4.56e-11,4.320781738177331,10.341035157335565
623.1236_3.321,15979.60369,768.384143,20.796373578989904,2.82e-8,4.378260071535609,7.549750891680639
623.123_0.809,6242.73748,362.941508,17.200395497337272,2.93e-9,4.104369832808182,8.53313237964589
