mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
160.0367_0.638,4258.3183,1802.71865,2.3621646672374528,0.00408,1.2401095389629813,2.38933983691012
174.1328_0.674,4834.676016666666,2020.404325,2.392924998646826,0.0166,1.2587751792516795,1.779891911959945
190.0863_6.056,4390.7418125,1292.72439375,3.396502637165464,0.00723,1.7640499743464588,2.140861702705469
234.1123_4.885,18197.1071,1667.618985,10.912029224709265,1.36e-5,3.4478475082080045,4.866461091629782
236.0948_3.046,5641.653016666666,2707.3907916666667,2.0837970765179676,0.00401,1.059214792513109,2.396855627379818
250.1106_3.547,18727.177433333334,3056.138875,6.127724622243592,7.34e-5,2.615351464519666,4.13430394008393
268.2013_4.251,6031.497975,760.4290079166667,7.9317042251246885,4.24e-5,2.9876308801762113,4.372634143407267
283.0744_2.415,4163.551233333334,1122.9229354166666,3.707780028367152,0.00103,1.8905556556685574,2.9871627752948275
292.1932_3.671,2386.2222208333333,713.6414008333334,3.3437272810222245,0.00196,1.7414571840331707,2.707743928643524
308.1523_2.206,6216.069566666667,2518.0801558333333,2.4685749388345113,0.00252,1.3036784418154446,2.598599459218456
339.0712_3.094,3457.902275833333,1685.3787399999999,2.0517063576067973,0.0259,1.036824265672711,1.586700235918748
344.134_3.228,3999.3636500000002,1589.2118766666667,2.516570451504911,0.00336,1.3314589867138278,2.473660722610156
346.1495_3.065,3102.9639166666666,797.752035,3.8896345988846854,0.00093000000000000005,1.9596346315256985,3.0315170514460648
386.3261_5.447,3709.735991666667,1002.4706791666666,3.7005930136036445,0.00446,1.8877564786422019,2.350665141287858
399.1257_0.804,8247.056554166667,2997.8276,2.7510109501182347,0.0382,1.459961882165877,1.4179366370882913
415.1001_0.789,4700.45745,1688.2511583333335,2.78421692578038,0.0333,1.4772716197913796,1.47755576649368
449.1078_4.454,5725.283966666667,1527.43734,3.748293836175739,8.82e-4,1.906234053151137,3.05453141486818
495.2226_3.471,3265.4457541666666,1426.554025,2.2890445766094745,0.0152,1.1947455580562194,1.8181564120552274
655.2762_6.562,1795.0134975,362.97151041666666,4.945328892175164,0.0033,2.3060664715064454,2.4814860601221125
