mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
160.0367_0.638,4055.434690909091,1721.866281818182,2.3552553027676506,0.0135,1.235883452225944,1.869666231504994
174.1328_0.674,4708.7513181818185,2043.1066727272726,2.3047016492272863,0.0469,1.2045800013968115,1.3288271572849168
182.081_1.2,8219.580518181818,4087.151563636364,2.0110779818668645,0.0103,1.0079690248910715,1.9871627752948278
190.0863_6.056,4765.207581818182,1323.6364568181818,3.6000878921641424,0.00185,1.8480321287886912,2.7328282715969863
234.1123_4.885,18651.3072,1795.5434381818181,10.387555546351173,1.13e-5,3.3767842865622715,4.94692155651658
236.0948_3.046,5918.499245454545,2795.3293909090908,2.1172815141938406,0.00152,1.082213103133894,2.8181564120552274
250.1106_3.547,19154.3862,3196.402818181818,5.992481952226354,2.95e-5,2.5831536588643544,4.530177984021837
268.2013_4.251,6251.087654545455,759.6104477272727,8.229333434326088,7.87e-5,3.040775578892662,4.104025267640935
283.0744_2.415,4268.012563636364,1201.329565909091,3.5527408004868333,0.00355,1.8289324369120243,2.449771646944906
292.1932_3.671,2496.6892318181817,623.3132827272727,4.00551263867514,3.6e-4,2.0019868953044853,3.4436974992327127
308.1523_2.206,6141.819345454545,2184.58517,2.811435063186182,0.00222,1.4913067247726575,2.653647025549361
339.0712_3.094,3747.5644509090907,1814.9177163636364,2.064867413613494,0.0428,1.0460491482968624,1.368556230986828
344.134_3.228,4235.802390909091,1644.21088,2.5761916810263963,0.00414,1.3652399408819202,2.382999658879101
346.1485_0.801,2433.969909090909,1210.53005,2.0106645920032378,2.72e-4,1.0076724392706078,3.5654310959658013
346.1495_3.065,3272.8342181818184,775.0169109090908,4.222919748090143,1.02e-4,2.0782408305793068,3.9913998282380825
383.0944_2.984,3458.225872727273,1071.153861818182,3.2285052558717036,0.0477,1.69086637573444,1.321481620959886
386.3261_5.447,3868.9383636363636,1069.9271045454545,3.6160765973678504,0.0146,1.8544252378947859,1.8356471442155629
415.1001_0.789,4990.204027272727,1719.1125363636363,2.902779150123754,0.0421,1.5374348127012076,1.3757179041643317
449.1078_4.454,5927.833309090909,1449.1722981818182,4.090495875837659,0.00216,2.0322757464060506,2.665546248849069
495.2226_3.471,3377.5367772727272,1532.5634818181818,2.2038478779787516,0.0053,1.1400246443900728,2.275724130399211
655.2762_6.562,1933.5039654545456,372.29164772727273,5.1935195894347865,0.00686,2.3767125681181827,2.1636758842932484
