m.z,r.t.,p,t.score
100.0756,0.774,0.0637,-2.1137526418171406
1106.5217,3.833,0.173,-1.4783686466340387
111.0439,0.81,0.197,-1.393080496241142
111.044,2.998,0.0574,-2.178043887207978
114.0669,0.645,0.0776,-1.9912763906711632
121.0283,0.799,0.521,0.6676293404113107
121.0284,2.736,0.861,0.1807620961605167
121.0284,3.033,0.118,1.7272900748516136
121.0284,3.689,0.921,0.10159446282666447
121.0646,4.206,0.682,0.424013257329108
125.0597,3.726,0.389,0.9054105468619319
131.0494,4.532,0.111,1.7662686732602781
132.0444,0.791,0.283,-1.1408571670222274
132.0768,0.656,0.0117,-3.1513645379555615
134.0601,3.31,0.674,-0.43480103473634946
134.0963,0.777,0.826,0.2269289173325319
134.0964,2.689,0.338,1.0114025570009817
135.0441,3.831,0.405,0.87277366655419
136.0482,0.633,0.0296,2.5828308341082167
137.0597,3.062,0.287,1.1321425054728946
137.0598,4.484,0.325,1.0415201375875252
137.071,0.636,0.0921,1.8850578109595328
138.0551,0.654,0.167,1.5037478149314505
138.0639,0.655,0.63,0.4989482913971021
139.0387,3.143,0.946,0.06924282934107273
141.0659,0.655,0.116,-1.737938567331815
142.0862,0.71,0.02,-2.822892380296139
144.0655,0.707,0.516,0.6758401472940965
144.1023,0.656,0.162,1.52500762543602
144.1103,0.66,0.755,-0.32149269214440285
144.1283,0.662,0.0448,2.3299201559346376
145.0648,5.215,0.333,1.024045552604965
146.0609,0.789,0.871,0.1669037553874612
146.0614,2.317,0.416,0.8528320931497959
146.0812,0.71,0.702,0.39450353568884783
148.1122,0.753,0.307,1.0836180133978133
148.112,2.583,0.244,1.245807347602476
149.0596,0.765,0.446,0.796208352945773
149.0598,4.188,0.685,0.4191646121429022
149.0598,7.95,0.0688,2.06575195617177
152.0699,2.312,0.263,1.193675673139005
152.0705,2.812,0.23,1.288213559805968
152.07,0.791,0.339,1.009294358891964
153.0658,0.769,0.406,-0.8720942115135735
153.0659,2.108,0.95,0.06483932666031768
156.0769,0.621,0.00255,-4.133470343986475
159.1492,0.608,0.0894,-1.9036014239325574
160.0405,2.57,0.553,-0.6164357387584828
160.0967,0.691,0.133,1.6505169451317823
160.1332,0.662,0.0773,-1.994189704879537
162.1126,0.642,0.0124,-3.118268848625128
163.0755,3.225,0.624,-0.5070414689577125
163.0993,3.595,0.207,1.3590617241183638
163.123,1.223,0.143,-1.6045222873832827
163.1243,0.654,0.00322,-3.9765743367033837
166.0723,0.669,0.967,0.04254096232268316
166.0862,0.727,0.0068,-3.493107585534546
166.0863,2.395,0.0859,-1.9282494152616618
166.1216,0.797,0.343,1.0009789219544645
166.1226,2.55,0.424,0.8373262825165245
166.131,0.809,0.366,0.9524455845048475
167.0562,0.774,0.218,-1.3247998486954082
167.0563,2.234,0.27,-1.1744106176813485
167.0564,2.346,0.097,-1.8524223085982514
167.0795,4.248,0.16,1.532008435974128
169.0358,1.154,0.652,-0.4663625273074027
170.0447,0.81,0.856,0.1862752254559359
170.0448,2.599,0.996,-0.00574139541485408
170.0602,4.487,0.575,0.5818511257140373
170.0631,0.751,0.0521,-2.2374197758439003
170.0926,0.62,0.0155,-2.9764028226644537
174.0873,0.814,0.389,-0.904617969903759
174.1237,2.04,0.00283,4.062177603378867
175.1442,0.616,0.514,-0.6797941947450348
176.0707,4.755,0.184,1.4376970916117993
177.0546,3.653,0.317,1.0589729957311165
177.102,0.741,0.11,-1.7751053760164042
177.1123,4.741,0.869,-0.1699848094294042
180.0658,2.895,0.133,1.6536262326702598
180.0658,3.481,0.12,1.7157123389721094
180.0739,3.473,0.433,0.8206304930724465
181.0609,3.097,0.226,-1.301218606609279
181.0704,2.671,0.339,-1.0093067378671494
181.0717,0.801,0.209,-1.3538065815920497
182.0715,2.896,0.284,1.1396982651601695
183.0644,2.192,0.184,-1.4407350313988316
183.0645,2.074,0.32,-1.0523490100214665
183.0655,4.503,0.193,1.4068142815435938
185.0912,0.756,0.0204,-2.808237509867841
185.1284,0.796,0.136,-1.6374993897978167
185.1284,2.751,0.201,-1.3793336618577319
186.1124,4.054,0.87,0.1685190169500915
189.1684,0.616,0.0474,-2.295246717249046
189.16,0.615,0.0496,-2.2672235138516337
190.0499,3.133,0.0945,-1.8686893505620135
191.1066,5.298,0.872,-0.1661116632821523
192.0659,4.563,0.358,-0.9694716336319009
