m.z,r.t.,p,t.score
100.0756,0.774,0.149,-1.5775375032117305
1106.5217,3.833,0.453,-0.7840642440956433
111.0439,0.81,0.782,-0.2846625944675318
111.044,2.998,0.096,-1.8588762059452109
114.0669,0.645,0.807,-0.25169753542373974
121.0283,0.799,0.99,0.012841324059657672
121.0284,2.736,0.716,0.3761325785476103
121.0284,3.033,0.503,-0.6984927855846114
121.0284,3.689,0.00665,3.506953150821978
121.0646,4.206,0.0073,3.4481404599766146
125.0597,3.726,0.931,0.0895672762665225
131.0494,4.532,0.546,-0.6270183178621679
132.0444,0.791,0.327,1.0363078834384762
132.0768,0.656,0.217,1.3284969385788732
134.0601,3.31,0.297,1.1081210041328968
134.0963,0.777,0.929,-0.09136913261509154
134.0964,2.689,0.262,-1.1964754579837173
135.0441,3.831,0.022,-2.7635817526105724
136.0482,0.633,0.87,-0.16773712937608326
137.0597,3.062,0.482,-0.7328646943793121
137.0598,4.484,0.159,1.5346186164933986
137.071,0.636,0.601,0.5425561856434654
138.0551,0.654,0.0223,2.755011101966531
138.0639,0.655,0.825,-0.22766403510283498
139.0387,3.143,0.864,-0.175850191224549
141.0659,0.655,0.86,0.18141392264748463
142.0862,0.71,0.84,-0.20738823067136597
144.0655,0.707,0.0599,-2.1518285715180903
144.1023,0.656,0.0162,-2.9523723836680515
144.1103,0.66,0.382,-0.9196519750363448
144.1283,0.662,0.0565,-2.1868640530893297
145.0648,5.215,0.0259,-2.664026069154435
146.0609,0.789,0.616,-0.5194563993976536
146.0614,2.317,0.573,0.5847688198064267
146.0812,0.71,0.719,-0.37134201249928817
148.1122,0.753,0.634,-0.49325293567837974
148.112,2.583,0.556,0.6108920502026458
149.0596,0.765,0.235,-1.273798596352291
149.0598,4.188,0.691,-0.41066775900063884
149.0598,7.95,0.827,-0.22520719329683875
152.0699,2.312,0.244,1.2462157983007645
152.0705,2.812,0.239,1.260772731919082
152.07,0.791,0.247,1.2376901602777155
153.0658,0.769,0.884,0.14980615706471545
153.0659,2.108,0.549,0.6228233204214593
156.0769,0.621,0.747,-0.332042562140928
159.1492,0.608,0.0721,-2.037329640248349
160.0405,2.57,0.236,1.2703803730254803
160.0967,0.691,0.0045,-3.7573712990568984
160.1332,0.662,0.656,-0.46095221014091825
162.1126,0.642,0.802,0.25761998423517635
163.0755,3.225,0.81,-0.2472267823461539
163.0993,3.595,0.132,1.6553471840744285
163.123,1.223,0.452,-0.7868045846041282
163.1243,0.654,0.697,-0.402102667623746
166.0723,0.669,0.222,-1.3122071517755722
166.0862,0.727,0.354,-0.9769425887375125
166.0863,2.395,0.0481,-2.2857356595695957
166.1216,0.797,0.414,0.8572859000276029
166.1226,2.55,0.858,0.1837440095453342
166.131,0.809,0.302,-1.0953826120031787
167.0562,0.774,0.215,-1.3354377130890487
167.0563,2.234,0.084,-1.9426378674974834
167.0564,2.346,0.301,-1.0976002548206054
167.0795,4.248,0.986,-0.018132578239741414
169.0358,1.154,0.571,-0.5873100718550495
170.0447,0.81,0.0781,1.9875336994485393
170.0448,2.599,0.0615,2.1348132166174136
170.0602,4.487,0.585,0.5656333334418345
170.0631,0.751,0.726,0.3613369192160741
170.0926,0.62,0.791,-0.27291159646108143
174.0873,0.814,0.108,1.7832650588374996
174.1237,2.04,0.802,0.2588171798202025
175.1442,0.616,0.673,0.435852960997511
176.0707,4.755,0.208,1.3556195123431742
177.0546,3.653,0.465,-0.7623950930307983
177.102,0.741,0.89,-0.14244344197959
177.1123,4.741,0.494,-0.7135306508417711
180.0658,2.895,0.474,0.7472556603007908
180.0658,3.481,0.633,0.49440332924710156
180.0739,3.473,0.967,-0.042455686323398294
181.0609,3.097,0.104,-1.8067304245841442
181.0704,2.671,0.515,-0.6781131526858737
181.0717,0.801,0.866,-0.17336044740325507
182.0715,2.896,0.946,0.06957929759132353
183.0644,2.192,0.79,-0.2737231542822843
183.0645,2.074,0.969,-0.04039694068001355
183.0655,4.503,0.138,1.6293807758273042
185.0912,0.756,0.719,-0.3714156132907422
185.1284,0.796,0.775,0.2946327121978562
185.1284,2.751,0.698,-0.40006014556315994
186.1124,4.054,0.2,-1.3846886227653739
189.1684,0.616,0.368,0.9486848941704157
189.16,0.615,0.608,-0.5311657384157656
190.0499,3.133,0.0417,-2.373736100200197
191.1066,5.298,0.752,-0.32534524064151116
