mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
121.0284_3.689,26876.668132087958,11355.51091251714,2.3668391795970978,0.00789,1.2429616821266234,2.10292299679058
234.1122_4.883,5235.623888698638,840.0457005580176,6.232546497435518,1.43e-6,2.639821740872718,5.844663962534939
250.1107_3.546,8268.028749282252,2376.105753555611,3.479655203439473,1.47e-7,1.798944357530188,6.8326826652518236
255.0655_5.039,12928.535903193366,714.4544594158382,18.09567528455791,6.66e-6,4.1775730413104295,5.176525770829699
271.0596_4.449,17581.516388239765,1208.5257310150162,14.54790405949686,3.24e-8,3.8627394115410896,7.489454989793388
292.1575_3.656,29263.1865322458,8293.594724614564,3.5284080671793103,3.99e-6,1.8190174210007426,5.399027104313252
316.1385_4.504,32999.080464460225,1058.1095649642155,31.18682748659987,6e-7,4.962864895366654,6.221848749616356
431.0964_3.273,39291.06576410094,2316.9213955703985,16.95830762287382,6.5e-7,4.083920296279407,6.187086643357144
431.0966_3.757,93627.46744846072,3617.897626835057,25.878970912277083,3.78e-7,4.693708344007847,6.422508200162775
431.0972_4.035,50994.290900160646,2015.8381669654045,25.29681783777626,4.8e-7,4.660884010305041,6.318758762624412
432.3465_4.852,6557.5935745060915,3257.4806707916073,2.0130874860763233,0.00771,1.0094098712089972,2.1129456219490432
433.1121_3.884,48987.181659846974,1474.4089810869646,33.224961518975974,6.16e-7,5.054195623465872,6.210419287835575
433.1123_3.32,17402.4386385649,1030.405082948367,16.88892934104143,3.99e-7,4.078005967530547,6.399027104313252
435.1282_4.891,54081.2865311307,993.8799810787597,54.41430309566226,1.89e-7,5.765914016453638,6.723538195826756
447.0916_4.229,17895.008150169822,861.2498885061469,20.777951195104396,3.93e-9,4.376981499544027,8.405607449624574
449.1059_4.17,18587.87103523923,7004.798897781108,2.653590960495277,0.00261,1.4079460026806707,2.583359492661719
461.1074_3.814,92725.33947974174,1338.185566435032,69.29183949186131,1.17e-8,6.114613550888282,7.931814138253839
461.1078_3.304,35379.944672743426,1168.4783478631634,30.278648070324923,1.6e-8,4.920228885885379,7.795880017344075
595.3478_5.049,37763.46436477054,10270.113781054473,3.6770249259004038,0.00443,1.8785389563483936,2.3535962737769305
