row ID,row m/z,row retention time,PB1_HILICNEG_4.mzML Peak height,6110_U2_HILICNEG_34.mzML Peak height,PB2_HILICNEG_5.mzML Peak height,6101_U2_HILICNEG_30.mzML Peak height,PB3_HILICNEG_6.mzML Peak height,6102_U1_HILICNEG_26.mzML Peak height,6104_U2_HILICNEG_19.mzML Peak height,6102_U2_HILICNEG_16.mzML Peak height,6101_U4_HILICNEG_14.mzML Peak height,6101_U1_HILICNEG_59.mzML Peak height,6105_U4_HILICNEG_47.mzML Peak height,6113_U4_HILICNEG_62.mzML Peak height,6111_U4_HILICNEG_42.mzML Peak height,6110_U4_HILICNEG_10.mzML Peak height,6103-redo_U4_HILICNEG_53.mzML Peak height,6108_U2_HILICNEG_27.mzML Peak height,6101_U3_HILICNEG_29.mzML Peak height,6105_U3_HILICNEG_39.mzML Peak height,6104-redo_U1_HILICNEG_55.mzML Peak height,6112_U2_HILICNEG_37.mzML Peak height,6109-redo_U3_HILICNEG_52.mzML Peak height,6104_U4_HILICNEG_12.mzML Peak height,6109_U4_HILICNEG_22.mzML Peak height,6111-redo_U3_HILICNEG_54.mzML Peak height,6104_U3_HILICNEG_32.mzML Peak height,6103_U2_HILICNEG_60.mzML Peak height,6106_U2_HILICNEG_46.mzML Peak height,6111-redo_U1_HILICNEG_51.mzML Peak height,6110_U3_HILICNEG_45.mzML Peak height,6108_U4_HILICNEG_18.mzML Peak height,6105_U1_HILICNEG_43.mzML Peak height,6108_U3_HILICNEG_28.mzML Peak height,6105_U2_HILICNEG_40.mzML Peak height,6113_U3_HILICNEG_15.mzML Peak height,6111_U2_HILICNEG_35.mzML Peak height,6110_U1_HILICNEG_11.mzML Peak height,6102_U3_HILICNEG_48.mzML Peak height,6112_U4_HILICNEG_63.mzML Peak height,6113_U2_HILICNEG_31.mzML Peak height,6106_U3_HILICNEG_20.mzML Peak height,6109-redo_U1_HILICNEG_58.mzML Peak height,6113_U1_HILICNEG_24.mzML Peak height,6108_U1_HILICNEG_44.mzML Peak height,6102-redo_U4_HILICNEG_50.mzML Peak height,6106_U4_HILICNEG_36.mzML Peak height,6103_U3_HILICNEG_61.mzML Peak height,6112-redo_U3_HILICNEG_56.mzML Peak height,6109_U2_HILICNEG_13.mzML Peak height,6106_U1_HILICNEG_23.mzML Peak height,6103_U1_HILICNEG_21.mzML Peak height,6112_U1_HILICNEG_38.mzML Peak height,PooledQC7_HILICNEG_25.mzML Peak height,PooledQC6_HILICNEG_17.mzML Peak height,PooledQC9_HILICNEG_41.mzML Peak height,PooledQC11-redo_HILICNEG_57.mzML Peak height,PooledQC10-redo3_HILICNEG_49.mzML Peak height,PooledQC8_HILICNEG_33.mzML Peak height,PooledQC12_HILICNEG_64.mzML Peak height,Prerun_PooledQC2reinj_HILICNEG_11_3.mzML Peak height,
6,557.3326031483871,0.5036123,10321.578,1580.4519,0,13489.182,0,15013.979,10741.564,5996.0425,2539.5967,38636.96,9588.204,2891.4922,3135.044,3118.5425,12018.421,2110.9524,12367.989,2795.4739,24489.984,2653.1987,8582.677,12715.604,9816.424,10184.907,11440.328,10340.715,13701.831,2889.433,12649.995,2725.946,15529.046,2859.919,5851.927,2065.7202,11399.024,7718.0376,15220.271,2811.7217,2512.9177,13596.656,12517.701,6341.583,2738.9307,3782.4734,1511.4795,9362.582,6286.0127,5512.729,19130.701,3403.7979,2830.0886,2331.3923,3338.645,2412.7078,1437.445,5559.2383,3890.6985,5614.8726,3596.4763,
7,379.2325970141564,0.4992547,0,0,0,3244.4724,0,0,24399.615,4965.0386,11834.9795,7789.606,34972.867,1876.6929,1690.384,2469.9153,19569.26,1157.1644,15525.511,47127.008,24365.814,1627.4401,22766.494,299026.56,12097.945,15673.221,31917.375,20554.383,15261.025,9890.573,21462.443,6783.8677,40277.21,1093.2041,55059.027,24545.484,1784.5559,34359.453,9657.846,1149.8303,2301.7104,14721.269,8731.67,15152.422,1799.3982,12222.25,6921.4297,14207.342,31341.615,17920.572,12686.473,1595.8462,0,22327.334,23643.18,1018.0862,19931.02,21076.137,23126.518,19185.268,17664.1,
24,491.18447271756634,0.51413643,0,0,0,462370.44,0,0,20596.443,78408.54,209754.89,124693.07,3833.8953,2023.0242,1544.6216,1654.2627,3394.295,1053.5256,2494.1565,2572.5017,17654.666,1270.629,595601.06,3098.8499,1110.8834,201305.81,40380.78,1482.1838,1487.1239,180947.19,22766.32,97151.8,7981.9766,2211.3674,1622.4132,43730.965,1883.0049,10288.233,170860.27,1586.28,1979.3446,2375.8,2496.113,3426.3503,2665.655,569309.5,1868.6758,1755.1749,399173.8,866323.4,13865.994,3108.4,2053.22,191261.83,216561.27,1786.0555,186874.47,184871.86,216735.44,177642.86,127527.12,
26,449.17283630925056,0.4977898,56317.766,45257.24,32915.027,30102.74,26464.555,24671.2,19790.324,28887.096,61045.98,20875.71,21341.832,22320.504,14749.204,104053.72,32002.432,24564.084,30031.062,32731.273,19689.395,1977.7052,6761.0,81548.55,20309.508,27239.307,1351.778,36041.48,30497.402,16427.156,36970.32,36863.258,36562.332,67520.64,31889.582,27474.143,26648.15,27785.621,18862.408,1861.334,1879.3164,36531.355,24780.818,33482.207,8479.971,35521.08,18078.957,26763.77,46839.438,3307.109,31415.264,2540.5125,1926.6597,15300.242,13273.653,11932.528,10607.446,11390.029,13760.734,11524.908,9078.122,
27,493.1816933507003,0.5144602,0,2599.2922,1224.3248,160691.86,0,1085.1083,1315.025,26459.13,78479.734,45467.81,1365.78,2046.15,1091.2235,2213.1064,2387.1375,32355.055,1485.4319,1216.9836,1371.289,1584.6919,194439.39,1055.8805,1314.2891,68482.61,1335.436,2093.9604,2101.656,54325.418,11275.902,40503.36,1183.8379,1699.7356,1270.9622,16558.463,2002.2739,5468.904,0,2710.4812,1894.1201,2597.0728,2266.5618,1923.3395,2677.0483,1152.6356,1959.6813,2223.6956,140466.42,280142.7,6524.135,2393.1602,1649.3157,2289.2231,74651.445,2558.685,62642.4,60254.715,75741.77,54653.12,38364.066,
33,459.20159361119534,0.49431634,45131.723,42472.402,0,36054.13,32005.018,28046.05,24278.29,27035.406,58559.46,29022.084,25199.36,21322.414,20953.11,76070.13,29258.344,28774.03,36843.047,28366.025,23788.023,3113.0605,21396.904,45925.793,27126.348,27526.408,25756.018,31210.93,39380.11,20453.48,31374.023,30291.254,32597.906,46379.1,22982.445,27504.273,26796.342,27447.836,25413.744,20394.861,40469.5,34946.49,21376.967,23426.875,21869.771,32718.492,18594.994,23229.2,33898.26,16330.258,27912.508,23341.623,24987.926,17566.676,17500.408,3255.806,17993.926,15048.907,18198.328,13288.213,13502.356,
34,501.21220433793144,0.5106433,0,0,0,281431.88,0,14143.032,12791.123,30533.19,120233.26,69030.59,1558.3622,1884.8018,2743.3625,1399.3475,2548.1748,1746.6417,35062.23,1907.6696,5612.1724,1519.5658,655092.94,1524.1039,1949.0391,84366.77,27088.498,2240.5464,1875.6193,89158.85,8531.344,42713.285,4984.458,1554.0962,1027.8802,16910.068,1416.4432,5116.299,107883.64,2122.8015,3159.82,1422.6053,2228.0947,3872.9136,110966.49,339122.28,1772.2454,1748.4224,153576.77,1980063.6,6107.0073,3102.9148,170039.05,99403.336,109660.31,1059.0416,101766.99,2018.7794,103603.18,96706.664,90516.3,
40,236.0772293900924,0.5060176,0,128366.95,0,17882.896,1968.5201,2530.8032,47906.49,1389.3663,31132.814,1449.924,22707.543,17865.22,2933.1353,1499.7266,29175.855,1715.7911,3682.1038,3630.7607,7532.7188,40962.02,9453.122,1681.9978,8179.765,1023.3316,43296.7,59329.633,1713.4062,0,0,1908.8464,7679.69,2631.0789,1371.9644,2135.174,2032.8184,1282.0028,1377.005,1055.4758,2296.0964,1346.4386,19057.752,2200.8552,1758.8142,3210.1106,1729.9022,1702.28,1357.2246,21653.38,1623.0143,2119.0889,1389.0414,2198.1868,1746.3882,1494.005,1964.0131,1904.3278,2103.0452,1733.6621,2169.892,
42,297.1340153157339,0.4968479,1573.0262,15560.724,1955.4507,72274.266,1227.2902,45300.965,15588.142,50815.91,18916.455,62678.14,11329.553,53894.14,150805.4,342120.28,13266.598,192852.27,41008.91,65606.234,34334.77,40564.05,18289.285,71976.5,45709.83,146788.67,30001.123,11131.764,14478.516,66418.89,140024.45,109073.59,81642.08,292484.78,95732.43,120190.58,134584.47,149790.95,39208.684,124413.18,50953.22,13713.648,76006.46,50522.477,322396.5,30322.584,11756.205,25691.037,185060.77,29425.1,11398.774,17002.982,141820.03,78907.375,70378.39,90486.445,59963.918,70257.555,78057.79,70756.56,66480.125,
49,636.2416463670845,0.5392618,0,1490.4465,0,2389.25,0,1095.2046,1186.3118,0,0,2125.515,0,0,1602.006,0,3102.2666,2797.789,1260.0634,1078.2678,2492.4697,27800.79,1698.3726,0,0,2311.3528,2162.3167,1332.0615,0,0,2007.4401,1721.8109,1066.1345,2464.771,1474.306,1243.2275,1699.9875,1645.3074,1198.1025,19990.746,1492.8,0,1261.2343,2737.127,2663.934,1377.0387,0,2019.5657,24447.71,1593.769,1550.1995,1825.0139,28473.025,8382.734,6399.785,5514.6694,6357.7314,5254.2417,6101.705,6286.2954,7437.7407,
