mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
149.0455_5.186,99989.83872727273,155936.48218181817,0.6412215879712292,0.01,-0.6411050974442569,2,149.0455,5.186,113658.695,149.0455_5.186,149.0455_5.186,1
153.0047_1.043,33453.92472727273,72867.79672727273,0.45910438121908664,3.58e-4,-1.1231058951766828,3.446116973356126,153.0047,1.043,41240.648499999996,153.0047_1.043,153.0047_1.043,1
153.0193_1.076,45946.25136363636,93776.06227272727,0.4899571409813699,4.51e-4,-1.0292725399410594,3.3458234581220396,153.0193,1.076,59612.7615,153.0193_1.076,153.0193_1.076,1
153.0193_3.42,50912.97009090909,17348.48631818182,2.934721171469036,5.83e-6,1.553223439060064,5.2343314452409855,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1
157.0503_0.513,28807.18290909091,55455.437909090906,0.5194654301768393,0.0481,-0.9449003522485787,1.3178549236261683,157.0503,0.513,31522.287,157.0503_0.513,157.0503_0.513,1
162.0229_4.073,10573.098636363637,16521.866145454544,0.6399457871938081,0.0247,-0.6439784020550806,1.6073030467403342,162.0229,4.073,11164.954000000002,162.0229_4.073,162.0229_4.073,1
165.0046_1.023,86383.42718181819,212937.52272727274,0.4056749889612307,5.92e-9,-1.3016037359317818,8.22767829327708,165.0046,1.023,160788.14,Cluster_165.0046_1.023,121.0156_1.025;165.0046_1.023;191.0043_1.023,3
172.0977_0.843,56411.723090909094,101804.00954545455,0.5541208380964777,0.0085,-0.8517274732831902,2.070581074285707,172.0977,0.843,58939.827,172.0977_0.843,172.0977_0.843,1
181.0718_5.323,300338.45454545453,602710.8481818181,0.4983126742308979,0.037,-1.0048768264699148,1.431798275933005,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2
182.0308_1.029,6946.594381818181,22446.928936363634,0.30946747332392627,2.97e-4,-1.6921403123953884,3.5272435506827877,182.0308,1.029,9935.235499999999,182.0308_1.029,182.0308_1.029,1
182.0457_0.856,17032.414,39594.38272727273,0.4301724847516823,2.74e-4,-1.217012846699649,3.562249437179612,182.0457,0.856,26036.406499999997,182.0457_0.856,182.0457_0.856,1
183.1025_0.808,12826.186772727273,25768.946090909092,0.49773811965294784,0.0148,-1.0065412137428416,1.8297382846050425,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1
187.0416_2.303,28034.272,119324.85663636363,0.2349407557675347,0.0445,-2.08963109186725,1.3516399890190685,187.0416,2.303,24542.876,Cluster_187.0416_2.303,186.0454_2.291;187.0416_2.303,2
188.0927_4.517,12343.490690909091,41663.24687272727,0.29626809280169497,0.00269,-1.7550248342157362,2.570247719997592,188.0927,4.517,19787.9725,188.0927_4.517,188.0927_4.517,1
189.0573_2.271,12885.363654545454,30960.845181818182,0.41618255505868457,0.00194,-1.2647116013609416,2.712198270069774,189.0573,2.271,15389.55,Cluster_189.0573_2.271,188.062_2.264;189.0573_2.271,2
