mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
123.0542_0.96,1414.902900909091,863.7439822727273,1.6381044961796736,0.0234,0.7120273907467296,1.630784142589857,123.0542,0.96,505.01329999999996,123.0542_0.96,123.0542_0.96,1
137.0101_1.032,53466.41209090909,14381.6142,3.717692002258626,0.0442,1.8944072529847038,1.3545777306509081,137.0101,1.032,6650.308999999999,137.0101_1.032,137.0101_1.032,1
139.0069_4.58,3930.537736363636,9345.764545454545,0.4205688809349806,0.00834,-1.2495859899001822,2.078833949362261,139.0069,4.58,5226.3099999999995,139.0069_4.58,139.0069_4.58,1
139.0398_0.519,10224.701154545453,2381.2838818181817,4.293776660823231,0.00257,2.1022471519087405,2.5900668766687054,139.0398,0.519,3147.82395,Cluster_139.0398_0.519,139.0398_0.519;211.3617_0.512,2
139.0513_5.435,36882.40811818182,65826.89045454546,0.5602939446706772,0.0125,-0.835744194039394,1.9030899869919435,139.0513,5.435,46711.324,139.0513_5.435,139.0513_5.435,1
139.0764_0.897,10949.398872727272,21035.645672727274,0.520516414997576,0.0408,-0.9419844338368677,1.38933983691012,139.0764,0.897,10553.91,139.0764_0.897,139.0764_0.897,1
149.0092_7.63,46655.57030909091,172418.47963636363,0.2705949525102476,0.0314,-1.885793166350262,1.5030703519267852,149.0092,7.63,36986.935,149.0092_7.63,149.0092_7.63,1
149.0092_7.798,88131.66581818182,207735.1641818182,0.42425010789721396,0.0479,-1.237013068206623,1.3196644865854368,149.0092,7.798,63411.205,149.0092_7.798,149.0092_7.798,1
152.0354_1.011,48168.96283636364,17896.301963636364,2.6915595710353193,0.00685,1.4284423562086022,2.1643094285075746,152.0354,1.011,10316.608,152.0354_1.011,152.0354_1.011,1
153.0193_3.42,57148.02872727273,24400.086363636365,2.342124034955912,2.39e-4,1.227817480569019,3.6216020990518625,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1
154.9986_7.909,4129.903336363636,9872.048254545454,0.41834310670656183,0.00492,-1.2572414317664982,2.30803489723264,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1
