mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
123.0542_0.96,556.2961154545454,1414.902900909091,0.39316911082528627,0.00301,-1.346778113518365,2.5214335044061564
152.0354_1.011,16169.251545454545,48168.96283636364,0.33567780150018256,0.0441,-1.5748509606654624,1.3555614105321614
163.0403_0.951,17632.9849,31295.055,0.5634431669795755,0.019,-0.8276579979801592,1.7212463990471711
165.0046_1.023,86383.42718181819,173718.61409090908,0.4972606282514589,0.00176,-1.0079258879071613,2.75448733218585
179.0709_0.842,12771.115418181818,21264.517681818183,0.6005833571810338,0.0453,-0.7355635980893103,1.3439017979871681
183.1023_0.506,27873.607136363637,59746.69018181818,0.46652972828352585,0.0392,-1.0999590792321874,1.4067139329795428
183.1025_0.808,12826.186772727273,35315.72490909091,0.363186280495281,0.00561,-1.4612183896023179,2.2510371387438384
191.0196_0.953,22712.440872727275,60708.64854545455,0.37412199772033683,2.28e-4,-1.41841929855486,3.642065152999546
203.0347_2.437,345302.6563636364,551539.5136363637,0.6260705676135806,0.0478,-0.6756028150324718,1.320572103387881
204.9662_1.032,169164.3760909091,383635.57181818184,0.44095070561152744,0.0382,-1.1813107106346294,1.4179366370882913
206.082_0.895,16559.63209090909,36013.402272727275,0.45981859657424246,0.00384,-1.1208632803256156,2.415668775632469
206.9971_2.175,911566.9790909091,1547556.4581818182,0.5890363316126664,0.0372,-0.7635714730202466,1.4294570601181025
211.0612_0.531,11321.532409090909,46190.020454545454,0.24510775915832664,0.0455,-2.0285119398459854,1.3419886033428876
211.0612_1.538,16982.706,48672.29536363636,0.3489193569590305,0.0342,-1.5190344589080795,1.465973893943865
211.0613_1.458,20066.956363636364,52742.52745454545,0.3804701316396045,0.031,-1.394144893791339,1.5086383061657274
215.0733_0.99,23077.40209090909,47504.37690909091,0.4857952801922294,0.0437,-1.0415796215384145,1.359518563029578
218.067_1.023,2824.8307954545453,12157.43050909091,0.2323542621397041,0.00815,-2.1056019860343427,2.0888423912600236
218.0822_0.977,6341.114790909091,26602.371127272727,0.2383665260728652,0.0132,-2.0687464432290628,1.8794260687941502
229.0023_1.031,35745.31709090909,125592.50054545455,0.28461346764866835,0.00151,-1.812924164399492,2.8210230527068307
229.0174_0.829,38252.375181818185,111646.68936363637,0.34261987883249395,0.00595,-1.5453192357565773,2.2254830342714502
230.9966_2.338,11864.730163636365,36597.69478181818,0.3241933743195976,0.0277,-1.6250734887140097,1.5575202309355514
232.0985_0.835,9520.884054545455,49843.03190909091,0.19101735367765485,1.58e-4,-2.3882243837079487,3.8013429130455774
243.1041_0.908,32768.25190909091,60998.63790909091,0.537196452778617,0.0376,-0.8964783165099338,1.424812155072339
244.997_1.029,23755.405818181818,43305.71954545454,0.5485512322049672,0.00949,-0.8663017267723158,2.022733787572707
247.0606_2.616,15907.799418181818,30402.368363636364,0.5232421115326267,0.0367,-0.9344494385039362,1.4353339357479107
248.0955_0.541,43292.865090909094,73013.93881818182,0.5929397289292434,0.0193,-0.7540426295663748,1.7144426909922261
252.0203_4.947,905.6660813636364,2689.508140909091,0.3367404127126043,0.0025,-1.5702912233761084,2.6020599913279625
252.9652_3.796,1888.5336222727274,14031.267131818182,0.13459465952224442,0.0131,-2.8933069273880623,1.8827287043442358
259.0127_1.039,9983.810627272727,40443.78845454546,0.24685646446038245,0.00857,-2.0182556692824423,2.067019178076802
259.0278_1.04,17990.3095,62396.67918181818,0.28832158595456486,0.0153,-1.794249242848811,1.8153085691824011
275.0558_2.36,14141.570127272727,32177.856,0.43948142869657714,0.0344,-1.1861258926436826,1.4634415574284698
279.1234_0.839,4995.8777272727275,11720.961800000001,0.42623445178984604,0.00984,-1.2302808865213548,2.0070049015686586
282.0471_0.951,3721.756018181818,10250.490336363637,0.36308077916808335,0.0189,-1.4616375363627299,1.723538195826756
283.0279_2.454,742.18394045454545,1192.9119772727272,0.6221615295969697,0.0132,-0.6846389040902023,1.8794260687941502
289.0021_2.845,10569.653990909092,41697.61220909091,0.2534834354041188,0.0389,-1.9800366215883145,1.4100503986742923
303.0177_4.041,19147.908436363636,65368.03427272727,0.2929246481005547,0.0459,-1.7713985012046911,1.3381873144627388
305.1049_2.377,9940.412690909092,26662.653481818183,0.37282158348146655,0.0241,-1.4234427116110384,1.6179829574251317
309.0783_2.234,3612.294936363636,6493.997018181818,0.5562514005242033,0.0439,-0.8461910315132718,1.3575354797578787
309.0785_2.268,3793.0154000000002,6702.378081818182,0.5659208349182016,0.0288,-0.8213278422875957,1.5406075122407692
311.0952_0.55,2230.9449454545456,5299.742354545455,0.42095347211381334,0.0462,-1.2482673135201883,1.3353580244438745
327.144_0.519,11303.037309090909,20365.28959090909,0.5550148088312232,0.047,-0.8494018291140953,1.3279021420642825
329.1364_0.84,1496.6135386363637,4279.296109090909,0.34973357778560066,0.0227,-1.515671779608889,1.6439741428068773
345.1404_1.027,7543.959190909091,40357.17733636364,0.1869298025486942,0.0149,-2.4194314960474075,1.826813731587726
345.155_0.983,11713.131245454546,54871.424545454545,0.2134650474720515,0.00675,-2.2279282309753095,2.170696227168975
347.0935_2.377,8025.341054545454,13661.101636363635,0.5874592890212674,0.0225,-0.7674392186347453,1.6478174818886375
353.1236_1.057,4542.690872727273,13521.857181818183,0.3359516974366129,0.0298,-1.5736742752109414,1.5257837359237447
357.1184_4.427,3028.7282727272727,7986.578690909091,0.3792272498579139,0.0357,-1.3988654602334896,1.4473317838878068
364.0847_1.046,913.7732540909091,1491.2973454545454,0.6127371291017703,0.0176,-0.7066598201217599,1.75448733218585
408.1502_3.977,2074.5466363636365,6395.919718181818,0.32435470233722263,0.00804,-1.6243557404262206,2.094743951251549
415.1602_4.918,1571.9270613636363,6956.613754545454,0.22596152622912816,0.0357,-2.145850944563641,1.4473317838878068
423.0586_7.921,10644.234781818182,39682.5862,0.2682344020667227,0.00572,-1.8984338147359674,2.2426039712069756
427.1828_1.023,1742.0307272727273,5295.025754545454,0.32899381571039593,0.0143,-1.6038676298563261,1.8446639625349381
427.1967_4.119,4356.364372727273,27209.9077,0.16010213708763418,0.0262,-2.642935529411992,1.5816987086802545
431.1156_2.347,2778.3669,4570.610009090909,0.607876606070929,0.00347,-0.7181495966734348,2.4596705252091264
431.1163_0.545,1000.8373477272728,2478.030390909091,0.40388421037891525,0.00853,-1.3079863490773818,2.069050968832477
431.1165_2.279,2540.110336363636,3926.1752818181817,0.6469681443227188,0.0356,-0.6282334169185272,1.448550002027125
439.105_1.045,553.8271154545455,908.8868936363637,0.6093465747302613,0.0241,-0.7146650795208207,1.6179829574251317
443.1009_0.567,791.9038454545455,1241.72435,0.6377452817564103,0.00726,-0.6489477745395185,2.1390633792999063
501.1778_3.92,2103.7611181818183,8128.733836363636,0.25880551147716374,0.049,-1.9500597538471045,1.3098039199714864
571.2532_0.525,1954.803409090909,3320.263081818182,0.5887495541529364,0.0481,-0.7642740326826909,1.3178549236261683
699.3031_3.917,1158.278301818182,19589.27156818182,0.059128196665542865,0.0218,-4.080009912356791,1.6615435063953952
713.3193_0.549,2671.445790909091,4775.701081818182,0.559382956584048,0.0426,-0.8380917967869749,1.3705904008972811
