mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
154.9986_7.909,7310.389072727273,4129.903336363636,1.7701114232770498,0.01,0.8238401765510811,2,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1
201.0078_1.025,2615586.542727273,28408.58818181818,92.07027557959667,1.52e-9,6.524663559613443,8.818156412055227,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1
212.0199_7.051,11824.787345454546,6532.933272727272,1.8100272652131513,0.01,0.8560114294032529,2,212.0199,7.051,11438.9415,Cluster_212.0199_7.051,168.03_7.048;212.0199_7.051,2
215.0731_0.557,25284.702245454544,9840.683909090909,2.569404980287632,0.0344,1.3614343005172407,1.4634415574284698,215.0731,0.557,11504.7225,215.0731_0.557,215.0731_0.557,1
217.0164_3.25,126979.39590909092,33037.23254545454,3.8435239917382695,5.01e-5,1.9424296739675877,4.300162274132754,217.0164,3.25,36711.449,217.0164_3.25,217.0164_3.25,1
217.0174_1.047,385555.7404545455,119172.52336363637,3.235273782682962,9.47e-4,1.6938878043988843,3.0236500209967265,217.0174,1.047,173361.99,Cluster_217.0174_1.047,217.0024_1.038;217.0174_1.047,2
253.0826_3.616,36414.26663636364,19684.528000000002,1.8498928009024973,0.00154,0.8874416706943858,2.812479279163537,253.0826,3.616,17770.9485,253.0826_3.616,253.0826_3.616,1
253.0827_3.556,39085.64690909091,20169.94681818182,1.93781606175867,1.01e-4,0.954431636087072,3.9956786262173574,253.0827,3.556,19260.6795,253.0827_3.556,253.0827_3.556,1
255.1345_0.514,140899.31054545453,88035.81954545455,1.6004770702759865,0.0359,0.6785020078200191,1.4449055514216809,255.1345,0.514,113367.97200000001,255.1345_0.514,255.1345_0.514,1
275.1067_0.515,18569.42629090909,9249.226545454545,2.0076734200044952,0.0185,1.0055246110922988,1.7328282715969863,275.1067,0.515,10255.6255,275.1067_0.515,275.1067_0.515,1
278.1422_0.538,6164.211872727273,3818.9642363636362,1.6141056818580601,0.00811,0.6907350406362192,2.090979145788844,278.1422,0.538,5296.51,278.1422_0.538,278.1422_0.538,1
297.0971_0.537,31392.34011818182,3711.212490909091,8.458782728038301,3.07e-4,3.080450065404662,3.5128616245228135,297.0971,0.537,4287.53925,297.0971_0.537,297.0971_0.537,1
313.0919_5.697,35654.19981818182,7104.513272727273,5.0185281453482204,0.016,2.3272643066537686,1.7958800173440752,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1
353.0334_2.232,247797.70118181818,3063.868481818182,80.87739491832507,3.24e-6,6.337664623298648,5.489454989793388,353.0334,2.232,5246.22235,353.0334_2.232,353.0334_2.232,1
425.1127_0.56,75052.16155454546,33850.07172727273,2.21719357522296,0.00875,1.1487347322362604,2.057991946977687,425.1127,0.56,22228.841500000002,Cluster_425.1127_0.56,395.1025_0.559;425.1127_0.56,2
425.2133_5.414,5424.3209954545455,2189.9532254545456,2.476911804510654,0.0262,1.3085424994036596,1.5816987086802545,425.2133,5.414,2718.4649,425.2133_5.414,425.2133_5.414,1
431.098_4.31,98197.84127272727,817.9547981818182,120.05289472108392,0.0255,6.907526380093606,1.5934598195660448,431.098,4.31,1841.44555,431.098_4.31,431.098_4.31,1
434.1238_0.757,2200.644209090909,1442.9254131818182,1.5251267937947208,0.0241,0.6089291883639043,1.6179829574251317,434.1238,0.757,1367.74845,434.1238_0.757,434.1238_0.757,1
615.3123_0.522,6207.198963636363,3141.9854090909093,1.9755658144295238,8.93e-5,0.9822659093727742,4.049148541111453,615.3123,0.522,3188.3684,615.3123_0.522,615.3123_0.522,1
628.2092_3.413,889.5089540909091,567.9761731818182,1.566102586852993,1.58e-6,0.6471787188208948,5.801342913045578,628.2092,3.413,502.531,628.2092_3.413,628.2092_3.413,1
636.2293_3.934,5798.474379545454,549.5457027272728,10.551396090932782,1.76e-9,3.3993619943137627,8.75448733218585,636.2293,3.934,501.95115,636.2293_3.934,636.2293_3.934,1
88.0403_6.143,41777.07936363637,22313.491363636364,1.872278913362668,6.1e-10,0.9047953691904859,9.214670164989233,88.0403,6.143,23945.661,88.0403_6.143,88.0403_6.143,1
