mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
123.0542_0.96,556.2961154545454,1414.902900909091,0.39316911082528627,0.00301,-1.346778113518365,2.5214335044061564,123.0542,0.96,505.01329999999996,123.0542_0.96,123.0542_0.96,1
152.0354_1.011,16169.251545454545,48168.96283636364,0.33567780150018256,0.0441,-1.5748509606654624,1.3555614105321614,152.0354,1.011,10316.608,152.0354_1.011,152.0354_1.011,1
163.0403_0.951,17632.9849,31295.055,0.5634431669795755,0.019,-0.8276579979801592,1.7212463990471711,163.0403,0.951,11844.2875,163.0403_0.951,163.0403_0.951,1
165.0046_1.023,86383.42718181819,173718.61409090908,0.4972606282514589,0.00176,-1.0079258879071613,2.75448733218585,165.0046,1.023,160788.14,Cluster_165.0046_1.023,121.0156_1.025;165.0046_1.023;191.0043_1.023,3
179.0709_0.842,12771.115418181818,21264.517681818183,0.6005833571810338,0.0453,-0.7355635980893103,1.3439017979871681,179.0709,0.842,14615.877,179.0709_0.842,179.0709_0.842,1
183.1023_0.506,27873.607136363637,59746.69018181818,0.46652972828352585,0.0392,-1.0999590792321874,1.4067139329795428,183.1023,0.506,26306.7265,183.1023_0.506,183.1023_0.506,1
183.1025_0.808,12826.186772727273,35315.72490909091,0.363186280495281,0.00561,-1.4612183896023179,2.2510371387438384,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1
191.0196_0.953,22712.440872727275,60708.64854545455,0.37412199772033683,2.28e-4,-1.41841929855486,3.642065152999546,191.0196,0.953,55180.634,191.0196_0.953,191.0196_0.953,1
203.0347_2.437,345302.6563636364,551539.5136363637,0.6260705676135806,0.0478,-0.6756028150324718,1.320572103387881,203.0347,2.437,427045.13,Cluster_203.0347_2.437,201.0418_2.434;202.0383_2.431;203.0347_2.437;203.0669_2.431;247.0417_2.423;291.0484_2.435,6
204.9662_1.032,169164.3760909091,383635.57181818184,0.44095070561152744,0.0382,-1.1813107106346294,1.4179366370882913,204.9662,1.032,280549.595,204.9662_1.032,204.9662_1.032,1
