mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
201.0078_1.025,2615586.542727273,28408.58818181818,92.07027557959667,1.52e-9,6.524663559613443,8.818156412055227,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1,2615586.542727273,32041.528636363637,81.63114102361733,2.51e-8,6.351047718037216,7.600326278518962,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1
217.0164_3.25,126979.39590909092,33037.23254545454,3.8435239917382695,5.01e-5,1.9424296739675877,4.300162274132754,217.0164,3.25,36711.449,217.0164_3.25,217.0164_3.25,1,126979.39590909092,30708.53209090909,4.134987485991937,2.22e-5,2.0478829632720776,4.653647025549361,217.0164,3.25,36711.449,217.0164_3.25,217.0164_3.25,1
217.0174_1.047,385555.7404545455,119172.52336363637,3.235273782682962,9.47e-4,1.6938878043988843,3.0236500209967265,217.0174,1.047,173361.99,Cluster_217.0174_1.047,217.0024_1.038;217.0174_1.047,2,385555.7404545455,113583.98190909091,3.3944552213632755,4.17e-4,1.7631800538505622,3.3798639450262424,217.0174,1.047,173361.99,Cluster_217.0174_1.047,217.0024_1.038;217.0174_1.047,2
253.0826_3.616,36414.26663636364,19684.528000000002,1.8498928009024973,0.00154,0.8874416706943858,2.812479279163537,253.0826,3.616,17770.9485,253.0826_3.616,253.0826_3.616,1,36414.26663636364,16601.380181818182,2.193448149343903,4.78e-4,1.1332006030662567,3.3205721033878812,253.0826,3.616,17770.9485,253.0826_3.616,253.0826_3.616,1
253.0827_3.556,39085.64690909091,20169.94681818182,1.93781606175867,1.01e-4,0.954431636087072,3.9956786262173574,253.0827,3.556,19260.6795,253.0827_3.556,253.0827_3.556,1,39085.64690909091,16460.141954545456,2.374563173089612,2.14e-4,1.2476621382938493,3.669586226650809,253.0827,3.556,19260.6795,253.0827_3.556,253.0827_3.556,1
297.0971_0.537,31392.34011818182,3711.212490909091,8.458782728038301,3.07e-4,3.080450065404662,3.5128616245228135,297.0971,0.537,4287.53925,297.0971_0.537,297.0971_0.537,1,31392.34011818182,3778.4636727272728,8.308228644559923,6.87e-5,3.0545409200624007,4.16304326294045,297.0971,0.537,4287.53925,297.0971_0.537,297.0971_0.537,1
313.0919_5.697,35654.19981818182,7104.513272727273,5.0185281453482204,0.016,2.3272643066537686,1.7958800173440752,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1,35654.19981818182,2671.3351545454543,13.346958638834153,2.26e-8,3.738439128444318,7.645891560852599,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1
353.0334_2.232,247797.70118181818,3063.868481818182,80.87739491832507,3.24e-6,6.337664623298648,5.489454989793388,353.0334,2.232,5246.22235,353.0334_2.232,353.0334_2.232,1,247797.70118181818,5453.7125636363635,45.436516554622834,2.37e-5,5.50578032801317,4.6252516539898965,353.0334,2.232,5246.22235,353.0334_2.232,353.0334_2.232,1
431.098_4.31,98197.84127272727,817.9547981818182,120.05289472108392,0.0255,6.907526380093606,1.5934598195660448,431.098,4.31,1841.44555,431.098_4.31,431.098_4.31,1,98197.84127272727,2728.533240909091,35.98924132586699,1.16e-6,5.169493784620245,5.935542010773082,431.098,4.31,1841.44555,431.098_4.31,431.098_4.31,1
636.2293_3.934,5798.474379545454,549.5457027272728,10.551396090932782,1.76e-9,3.3993619943137627,8.75448733218585,636.2293,3.934,501.95115,636.2293_3.934,636.2293_3.934,1,5798.474379545454,627.819675,9.235891467634325,4.56e-4,3.207251219882738,3.3410351573355648,636.2293,3.934,501.95115,636.2293_3.934,636.2293_3.934,1
