mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
153.0193_3.42,50912.97009090909,17348.48631818182,2.934721171469036,5.83e-6,1.553223439060064,5.2343314452409855,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1,57148.02872727273,24400.086363636365,2.342124034955912,2.39e-4,1.227817480569019,3.6216020990518625,153.0193,3.42,34036.939,153.0193_3.42,153.0193_3.42,1
181.0718_5.323,300338.45454545453,602710.8481818181,0.4983126742308979,0.037,-1.0048768264699148,1.431798275933005,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,225103.7918181818,590141.3363636364,0.3814404752685824,1.54e-4,-1.3904701563991475,3.812479279163537,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2
183.1025_0.808,12826.186772727273,25768.946090909092,0.49773811965294784,0.0148,-1.0065412137428416,1.8297382846050425,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,35315.72490909091,14467.338318181819,2.4410658085397707,0.0113,1.2875111891683093,1.9469215565165803,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1
190.9655_2.104,581392.9490909091,197106.02145454547,2.9496458038192603,7.47e-4,1.560541724727792,3.126679398184601,190.9655,2.104,232488.375,190.9655_2.104,190.9655_2.104,1,555457.6790909091,180616.32636363638,3.0753459018571854,2.66e-4,1.6207486877944808,3.575118363368933,190.9655,2.104,232488.375,190.9655_2.104,190.9655_2.104,1
190.9746_2.11,28078.598363636364,9905.075345454545,2.834768781089755,0.00101,1.5032310660391024,2.9956786262173574,190.9746,2.11,17007.983500000002,190.9746_2.11,190.9746_2.11,1,29473.888636363637,12543.500781818182,2.3497338700760535,4.79e-4,1.232497366976071,3.319664486585437,190.9746,2.11,17007.983500000002,190.9746_2.11,190.9746_2.11,1
197.0541_1.058,22556.130363636363,36062.11518181818,0.6254799600609319,0.0466,-0.6769644326926874,1.3316140833099999,197.0541,1.058,31039.4285,197.0541_1.058,197.0541_1.058,1,28927.67390909091,51368.813045454546,0.5631368956003281,0.00743,-0.8284424184143006,2.1290111862394245,197.0541,1.058,31039.4285,197.0541_1.058,197.0541_1.058,1
200.9711_1.033,4562.769736363636,18221.746572727272,0.2504024363500255,0.00175,-1.997679495504211,2.7569619513137056,200.9711,1.033,5067.8935,200.9711_1.033,200.9711_1.033,1,5457.863418181818,10310.088172727274,0.5293711680002129,0.0499,-0.9176484737522762,1.30189945437661,200.9711,1.033,5067.8935,200.9711_1.033,200.9711_1.033,1
208.976_0.787,93899.35863636364,37376.19107272727,2.512277360035231,0.0046,1.328995749204911,2.337242168318426,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1,105646.80854545455,45378.699727272724,2.3281144938130636,0.00189,1.2191620099620843,2.7235381958267557,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1
211.987_1.036,39968.22663636364,11572.428572727273,3.453745804969296,0.00261,1.7881619046950472,2.583359492661719,211.987,1.036,30625.7575,211.987_1.036,211.987_1.036,1,59954.47709090909,13461.407563636363,4.453804463425178,9.03e-4,2.1550382204877896,3.0443122496864943,211.987,1.036,30625.7575,211.987_1.036,211.987_1.036,1
214.9867_1.03,110925.727,35551.53590909091,3.1201388115452726,9.43e-5,1.6416102144314924,4.0254883072626715,214.9867,1.03,74217.675,214.9867_1.03,214.9867_1.03,1,102751.30881818182,42747.06272727273,2.403704541613481,1.37e-4,1.2652595738589067,3.8632794328435933,214.9867,1.03,74217.675,214.9867_1.03,214.9867_1.03,1
