mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
201.0078_1.025,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1,,,,
215.0731_0.557,215.0731,0.557,11504.7225,215.0731_0.557,215.0731_0.557,1,,,,
217.0164_3.25,217.0164,3.25,36711.449,217.0164_3.25,217.0164_3.25,1,,,,
217.0174_1.047,217.0174,1.047,173361.99,Cluster_217.0174_1.047,217.0024_1.038;217.0174_1.047,2,*,,,
275.1067_0.515,275.1067,0.515,10255.6255,275.1067_0.515,275.1067_0.515,1,,,,
288.0095_5.948,288.0095,5.948,503.3178,Cluster_531.0208_5.949,288.0095_5.948;531.0208_5.949;599.0084_5.944,3,*,daidzein glucuronide-sulfate adduct?,,
297.0971_0.537,297.0971,0.537,4287.53925,297.0971_0.537,297.0971_0.537,1,,,,
297.0995_3.753,297.0995,3.753,4947.8288,297.0995_3.753,297.0995_3.753,1,,,,
311.0767_4.586,311.0767,4.586,4319.1835,311.0767_4.586,311.0767_4.586,1,,,,
313.0919_5.697,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1,**,,,
313.0927_4.354,313.0927,4.354,4593.4468,313.0927_4.354,313.0927_4.354,1,**,,,
333.0072_3.165,333.0072,3.165,1256.8606,333.0072_3.165,333.0072_3.165,1,,daidzein 4-sulfate?,,
333.0076_2.172,333.0076,2.172,2178.48125,333.0076_2.172,333.0076_2.172,1,,,,
333.0077_2.22,333.0077,2.22,1544.4315,333.0077_2.22,333.0077_2.22,1,,,,
335.0228_2.013,335.0228,2.013,1290.5242,335.0228_2.013,335.0228_2.013,1,,dihydrodaidzein sulfate?,,
337.0384_3.521,337.0384,3.521,3690.71145,337.0384_3.521,337.0384_3.521,1,,tetrahydrodaidzein sulfate?,,
337.0387_0.585,337.0387,0.585,3428.5045,337.0387_0.585,337.0387_0.585,1,,tetrahydrodaidzein sulfate? In source frag?,,
341.0875_4.696,341.0875,4.696,6675.375,341.0875_4.696,341.0875_4.696,1,,3-Hydroxyphenylpropionic acid glucuronide?,,
349.002_2.669,349.002,2.669,1396.13375,349.002_2.669,349.002_2.669,1,,genistein 7-sulfate?,,
353.0331_2.172,353.0331,2.172,4382.18665,353.0331_2.172,353.0331_2.172,1,,,,
353.0334_2.232,353.0334,2.232,5246.22235,353.0334_2.232,353.0334_2.232,1,,,,
355.0323_2.199,355.0323,2.199,1514.19865,355.0323_2.199,355.0323_2.199,1,,dihydrodaidzein sulfate? M+F adduct?,,
358.132_3.491,358.132,3.491,6678.7885,358.132_3.491,358.132_3.491,1,,,,
363.0179_2.025,363.0179,2.025,503.3178,363.0179_2.025,363.0179_2.025,1,,biochanin A sulfate?,,
377.0534_3.749,377.0534,3.749,2470.1006,377.0534_3.749,377.0534_3.749,1,,,,
381.0996_3.658,381.0996,3.658,1831.04515,381.0996_3.658,381.0996_3.658,1,,enterodiol sulfate??,,
397.0538_5.353,397.0538,5.353,1179.85515,Cluster_397.0538_5.353,397.0538_5.353;473.0698_5.343;594.987_5.34,3,*,,,
397.095_1.037,397.095,1.037,1608.18015,Cluster_397.095_1.037,339.0907_1.023;397.095_1.037,2,*,,,
429.0822_4.539,429.0822,4.539,2102.463,Cluster_429.0822_4.539,429.0822_4.539;513.0431_4.546,2,,,,
431.098_4.31,431.098,4.31,1841.44555,431.098_4.31,431.098_4.31,1,,,,
433.1135_3.943,433.1135,3.943,2084.86445,Cluster_433.1135_3.943,433.1135_3.943;633.1273_3.959,2,,,,
440.9939_1.065,440.9939,1.065,1230.95165,440.9939_1.065,440.9939_1.065,1,,,,
447.0927_4.077,447.0927,4.077,14621.183,447.0927_4.077,447.0927_4.077,1,,,,
449.108_4.523,449.108,4.523,1156.4215,449.108_4.523,449.108_4.523,1,,flavonoid glucuronide?,,
459.0923_4.329,459.0923,4.329,1284.08915,459.0923_4.329,459.0923_4.329,1,,,,
467.1357_3.676,467.1357,3.676,2109.78775,467.1357_3.676,467.1357_3.676,1,,,,
477.1233_1.01,477.1233,1.01,1017.86765,477.1233_1.01,477.1233_1.01,1,,,,
492.1522_3.718,492.1522,3.718,1883.12515,492.1522_3.718,492.1522_3.718,1,,,,
497.1106_3.715,497.1106,3.715,1404.96785,497.1106_3.715,497.1106_3.715,1,,possibly a flavonoid?,,
504.1358_1.245,504.1358,1.245,1353.39295,504.1358_1.245,504.1358_1.245,1,,,,
509.039_6.64,509.039,6.64,503.7012,509.039_6.64,509.039_6.64,1,,daidzein sulfoglucuronide?,,
513.07_3.923,513.07,3.923,1345.8704,513.07_3.923,513.07_3.923,1,,,,
621.1088_7.531,621.1088,7.531,503.7012,621.1088_7.531,621.1088_7.531,1,,genistein diglucuronide?,,
621.1629_3.937,621.1629,3.937,503.94805,621.1629_3.937,621.1629_3.937,1,,,,
636.2293_3.934,636.2293,3.934,501.95115,636.2293_3.934,636.2293_3.934,1,,,,
646.1225_3.879,646.1225,3.879,1059.5344,646.1225_3.879,646.1225_3.879,1,,,,
674.2293_1.21,674.2293,1.21,1723.9228,674.2293_1.21,674.2293_1.21,1,,,,
688.2445_1.123,688.2445,1.123,502.90485,688.2445_1.123,688.2445_1.123,1,,,,
703.0841_8.109,703.0841,8.109,1152.5951,Cluster_703.0841_8.109,605.1142_8.106;703.0841_8.109,2,*,daidzein diglucuronide? (mz 605),,
712.2405_1.021,712.2405,1.021,502.01235,Cluster_712.2431_1.025,712.2405_1.021;712.2431_1.025,2,*,daidzein monosulfate?,,
73.0294_0.881,73.0294,0.881,31441.0465,73.0294_0.881,73.0294_0.881,1,,,,
82.0297_2.356,82.0297,2.356,12779.3825,Cluster_161.9867_2.345,161.9867_2.345;163.9823_2.353;82.0297_2.356,3,,,,
82.0297_2.335,82.0297,2.335,12910.2465,Cluster_161.9867_2.332,161.9867_2.332;82.0297_2.335,2,,,,
87.0451_2.052,87.0451,2.052,133790.14,Cluster_87.0451_2.052,131.0349_2.05;87.0451_2.052;87.0451_2.055,3,,,,
87.0451_2.055,87.0451,2.055,133790.14,Cluster_87.0451_2.052,131.0349_2.05;87.0451_2.052;87.0451_2.055,3,,,,
88.0403_6.143,88.0403,6.143,23945.661,88.0403_6.143,88.0403_6.143,1,,,,
93.0345_1.844,93.0345,1.844,55539.3175,Cluster_172.9922_1.849,172.9922_1.849;174.9871_1.845;174.9956_1.844;93.0345_1.844,4,,,,
93.0345_0.973,93.0345,0.973,21324.555,Cluster_137.0244_0.97,137.0244_0.97;93.0345_0.973,2,,,,
96.9696_7.956,96.9696,7.956,3031590.4,Cluster_96.9696_7.956,176.9363_7.959;194.947_7.959;96.9696_7.956,3,,,,
97.9594_8.026,97.9594,8.026,9234.1145,97.9594_8.026,97.9594_8.026,1,,,,
99.0451_0.903,99.0451,0.903,48547.882,99.0451_0.903,99.0451_0.903,1,,,,
99.0451_1.601,99.0451,1.601,40683.672,99.0451_1.601,99.0451_1.601,1,,,,
100.0039_3.918,100.0039,3.918,24766.319,100.0039_3.918,100.0039_3.918,1,,,,
103.0267_1.019,103.0267,1.019,118478.56,103.0267_1.019,103.0267_1.019,1,,,,
103.04_0.988,103.04,0.988,187979.09,103.04_0.988,103.04_0.988,1,,,,
107.0367_1.019,107.0367,1.019,63972.966,107.0367_1.019,107.0367_1.019,1,,,,
107.0502_0.999,107.0502,0.999,154341.105,107.0502_0.999,107.0502_0.999,1,,,,
108.0213_0.53,108.0213,0.53,1084.1226,Cluster_285.097_0.525,108.0213_0.53;213.0651_0.535;252.0877_0.525;285.097_0.525;465.086_0.535;476.0405_0.519,6,,,,
109.0294_1.74,109.0294,1.74,61759.0635,Cluster_188.9871_1.745,109.0294_1.74;188.9871_1.745;190.9821_1.744;190.9904_1.744,4,,,,
109.0294_2.712,109.0294,2.712,502.13815,Cluster_197.0468_2.723,109.0294_2.712;197.0468_2.723,2,,,,
