Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
465.2489,5adtststeroneglc,M-H[-],0.518,0.000476533,EC0001
481.2435,5adtststeroneglc,M-H+O[-],0.53,0.000786533,EC0001
511.254,5adtststeroneglc,M+HCOO[-],0.526,0.000298,EC0001
465.2489,ahandrostanglc,M-H[-],0.518,0.000476533,EC0001
481.2435,ahandrostanglc,M-H+O[-],0.53,0.000786533,EC0001
511.254,ahandrostanglc,M+HCOO[-],0.526,0.000298,EC0001
465.2489,andrstrnglc,M-H[-],0.518,0.000476533,EC0001
481.2435,andrstrnglc,M-H+O[-],0.53,0.000786533,EC0001
511.254,andrstrnglc,M+HCOO[-],0.526,0.000298,EC0001
246.0176,C00018,M-H[-],3.616,0.000276467,EC0002
397.1261,C00019,M-H[-],4.74,0.003823533,EC0003
191.0539,C00021,M-2H[2-],5.675,0.000376467,EC0004
383.1166,C00021,M-H[-],1.001,0.002276467,EC0005
128.0354,C00025,M-H2O-H[-],5.186,7.65E-05,EC0006
145.0142,C00026,M-H[-],5.656,2.35E-05,EC0007
191.0198,C00026,M+HCOO[-],5.679,0.000655,EC0007
205.0353,C00026,M+CH3COO[-],5.68,0.000505,EC0007
161.0455,C00031,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00031,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00031,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00031,M-H[-],5.977,0.000223533,EC0009
179.056,C00031,M-H[-],6.344,0.000123533,EC00010
179.0561,C00031,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00031,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00031,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00031,M+ACN-H[-],5.686,0.000168533,EC0009
307.0839,C00032,M-2H[2-],3.473,0.002526467,EC00012
307.08393,C00032,M-2H[2-],5.094,0.002556467,EC00013
307.084,C00032,M-2H[2-],4.173,0.002626467,EC00014
307.0842,C00032,M-2H[2-],5.158,0.002826467,EC00013
307.0843,C00032,M-2H[2-],4.338,0.002926467,EC00014
88.0403,C00041,M-H[-],6.143,0.000123533,EC00015
145.0982,C00047,M-H[-],8.275,2.35E-05,EC00016
437.089,C00061,M-H2O-H[-],2.266,0.002276467,EC00017
437.0909,C00061,M-H2O-H[-],0.565,0.004176467,EC00018
145.0618,C00064,M-H[-],3.339,2.35E-05,EC00019
145.0619,C00064,M-H[-],6.606,7.65E-05,EC00020
424.0372,C00068,M-H[-],1.749,0.000523533,EC00021
175.0245,C00072,M-H[-],0.522,0.000323533,EC00022
175.0246,C00072,M-H[-],5.38,0.000223533,EC00023
175.02469,C00072,M-H[-],5.701,0.000133533,EC00024
175.024698,C00072,M-H[-],4.153,0.000125533,EC00025
191.01969,C00072,M-H+O[-],0.526,4.35E-05,EC00022
191.0198,C00072,M-H+O[-],5.679,6.65E-05,EC00024
203.0825,C00078,M-H[-],4.789,0.000123533,EC00026
164.0715,C00079,M-H[-],4.437,0.000223533,EC00027
341.1086,C00089,M-H[-],6.451,0.000323533,EC00028
377.0853,C00089,M+Cl[-],6.452,0.0002,EC00028
109.0295,C00090,M-H[-],2.682,2.35E-05,EC00029
179.0559,C00095,M-H[-],5.977,0.000223533,EC0009
179.056,C00095,M-H[-],6.344,0.000123533,EC00010
179.0561,C00095,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00095,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00095,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00095,M+ACN-H[-],5.686,0.000168533,EC0009
88.0403,C00099,M-H[-],6.143,0.000123533,EC00015
73.0294,C00116,M-H2O-H[-],0.881,2.35E-05,EC00031
149.0455,C00121,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00121,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00121,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00121,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00121,M-H+O[-],5.703,0.000116467,EC00033
