,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits
Butanoate metabolism,34,9,4,2.2808,0.030739,0.11645,0.0041893,3,0.03,1,1,0.2346008,P1,EC00021;EC000188;EC000189;EC000255;EC00057
Vitamin B12 (cyanocobalamin) metabolism,9,2,2,0.76027,0.12957,0.53258,0.0058235,0,0,1,1,0.3202925,P2,EC0005;EC0003
Vitamin B2 (riboflavin) metabolism,8,3,2,1.5205,0.13187,0.40204,0.0058688,5,0.05,1,1,0.3202925,P3,EC00058;EC00059;EC000171
Ubiquinone Biosynthesis,10,5,3,1.5205,0.13187,0.40204,0.0058688,2,0.02,1,1,0.3202925,P4,EC0005;EC0003;EC00039
Xenobiotics metabolism,110,16,3,2.5342,0.16845,0.39307,0.0066418,10,0.1,1,1,0.3453736,P5,EC000276;EC000277;EC000280;EC000278
Carnitine shuttle,72,1,1,0.25342,0.2263,1,0.0080955,0,0,1,1,0.4128705,P6,EC000328
Vitamin B5 - CoA biosynthesis from pantothenate,12,1,1,0.25342,0.2263,1,0.0080955,1,0.01,1,1,0.4128705,P7,EC000142
CoA Catabolism,7,1,1,0.25342,0.2263,1,0.0080955,1,0.01,1,1,0.4128705,P8,EC000142
Fatty acid activation,74,1,1,0.25342,0.2263,1,0.0080955,2,0.02,1,1,0.4128705,P9,EC00057
Androgen and estrogen biosynthesis and metabolism,95,13,5,4.0548,0.28313,0.49627,0.0098622,31,0.31,1,1,0.4635234,P10,EC0005;EC000183;EC0003;EC000230;EC000260
Urea cycle/amino group metabolism,85,15,5,4.0548,0.28313,0.49627,0.0098622,16,0.16,1,1,0.4635234,P11,EC000168;EC0005;EC0003;EC00048;EC000127
Drug metabolism - cytochrome P450,53,6,3,1.2671,0.31699,0.71973,0.011111,9,0.09,1,1,0.499995,P12,EC000293;EC000296
Fructose and mannose metabolism,33,8,3,2.2808,0.33233,0.63415,0.011732,31,0.31,1,1,0.516208,P13,EC000148;EC000129;EC000138
Methionine and cysteine metabolism,94,8,3,2.2808,0.33233,0.63415,0.011732,14,0.14,1,1,0.516208,P14,EC0005;EC0003;EC00048
Alkaloid biosynthesis II,10,2,1,0.50685,0.40192,1,0.015073,7,0.07,1,1,0.633066,P15,EC000268
Glyoxylate and Dicarboxylate Metabolism,12,1,1,0.50685,0.40192,1,0.015073,31,0.31,1,1,0.633066,P16,EC00032
Vitamin A (retinol) metabolism,67,1,1,0.50685,0.40192,1,0.015073,6,0.06,1,1,0.633066,P17,EC000258
Leukotriene metabolism,92,8,3,2.5342,0.40256,0.69442,0.015108,20,0.2,1,1,0.633066,P18,EC000298;EC000321;EC000323
Biopterin metabolism,22,6,2,1.5205,0.40954,0.78327,0.015498,13,0.13,1,1,0.633066,P19,EC000138;EC00027
Keratan sulfate degradation,68,4,2,1.774,0.4957,0.83256,0.021366,43,0.43,1,1,0.790542,P20,EC00073;EC000148
Hexose phosphorylation,20,10,2,3.0411,0.53525,0.7907,0.024873,57,0.57,1,1,0.895428,P21,EC000248;EC000251;EC000129
Vitamin B3 (nicotinate and nicotinamide) metabolism,28,5,2,2.0274,0.5736,0.87076,0.028916,21,0.21,1,1,1,P22,EC0005;EC0003
Arginine and Proline Metabolism,45,8,2,2.0274,0.5736,0.87076,0.028916,42,0.42,1,1,1,P23,EC00048;EC0003
Glycerophospholipid metabolism,156,9,3,3.2945,0.59526,0.82815,0.031536,48,0.48,1,1,1,P24,EC0005;EC0003;EC000120
N-Glycan Degradation,16,6,2,2.2808,0.64253,0.90033,0.038288,63,0.63,1,1,1,P25,EC00073;EC000148
Lysine metabolism,52,9,2,2.2808,0.64253,0.90033,0.038288,46,0.46,1,1,1,P26,EC0005;EC0003
C5-Branched dibasic acid metabolism,10,2,2,1.0137,0.6436,1,0.038459,35,0.35,1,1,1,P27,EC000101
Vitamin B1 (thiamin) metabolism,20,4,1,1.0137,0.6436,1,0.038459,37,0.37,1,1,1,P28,EC00021
Tyrosine metabolism,160,37,13,12.164,0.68783,0.79483,0.046448,57,0.57,1,1,1,P29,EC0005;EC000127;EC000135;EC0003;EC00027;EC000270;EC000168;EC000236;EC000239;EC000240
"Glycine, serine, alanine and threonine metabolism",88,11,2,2.5342,0.70252,0.92321,0.049543,43,0.43,1,1,1,P30,EC0005;EC0003
Prostaglandin formation from arachidonate,78,17,2,2.5342,0.70252,0.92321,0.049543,64,0.64,1,1,1,P31,EC000253;EC000254
"Valine, leucine and isoleucine degradation",65,6,1,1.2671,0.72525,1,0.054853,54,0.54,1,1,1,P32,EC00021
Vitamin B6 (pyridoxine) metabolism,11,5,1,1.2671,0.72525,1,0.054853,30,0.3,1,1,1,P33,EC000140
Selenoamino acid metabolism,35,5,1,1.2671,0.72525,1,0.054853,42,0.42,1,1,1,P34,EC00071
Chondroitin sulfate degradation,37,5,3,3.0411,0.7978,0.95455,0.077548,85,0.85,1,1,1,P35,EC00054;EC00032
Histidine metabolism,33,10,2,3.0411,0.7978,0.95455,0.077548,60,0.6,1,1,1,P36,EC0005;EC0003
Heparan sulfate degradation,34,5,3,3.0411,0.7978,0.95455,0.077548,85,0.85,1,1,1,P37,EC00054;EC00032
TCA cycle,31,7,3,3.0411,0.7978,0.95455,0.077548,62,0.62,1,1,1,P38,EC00021;EC00041
C21-steroid hormone biosynthesis and metabolism,112,12,2,3.2945,0.83462,0.96508,0.094047,85,0.85,1,1,1,P39,EC000183;EC000230
Glycolysis and Gluconeogenesis,49,6,1,1.774,0.83717,1,0.095369,67,0.67,1,1,1,P40,EC00021
Hyaluronan Metabolism,8,3,1,2.0274,0.87483,1,0.11852,76,0.76,1,1,1,P41,EC00054
Drug metabolism - other enzymes,31,4,1,2.0274,0.87483,1,0.11852,72,0.72,1,1,1,P42,EC000208
Aminosugars metabolism,69,8,1,2.0274,0.87483,1,0.11852,51,0.51,1,1,1,P43,EC00073
Glycosphingolipid metabolism,67,8,1,2.2808,0.90386,1,0.14293,75,0.75,1,1,1,P44,EC00073
Porphyrin metabolism,43,5,2,4.0548,0.91187,0.98426,0.15116,84,0.84,1,1,1,P45,EC00054;EC00012
Pentose and Glucuronate Interconversions,15,9,6,4.0548,0.91187,0.98426,0.15116,93,0.93,1,1,1,P46,EC00032;EC00054
Linoleate metabolism,46,9,1,2.5342,0.92624,1,0.16819,93,0.93,1,1,1,P47,EC000304
Phosphatidylinositol phosphate metabolism,59,8,3,4.3082,0.9291,0.98795,0.172,94,0.94,1,1,1,P48,EC000162;EC00054
Aspartate and asparagine metabolism,114,17,1,4.5616,0.94315,0.99079,0.19338,93,0.93,1,1,1,P49,EC000150;EC000153
Caffeine metabolism,11,10,2,5.0685,0.96378,0.99463,0.23706,96,0.96,1,1,1,P50,EC000225;EC000224
Galactose metabolism,41,21,2,3.2945,0.96687,1,0.24561,87,0.87,1,1,1,P51,EC000129
Tryptophan metabolism,94,22,3,7.0959,0.97359,0.99406,0.26721,93,0.93,1,1,1,P52,EC0005;EC000243;EC0003
Purine metabolism,80,16,3,7.0959,0.97359,0.99406,0.26721,92,0.92,1,1,1,P53,EC00032;EC000266;EC00076
Sialic acid metabolism,107,18,1,3.8014,0.98066,1,0.29634,97,0.97,1,1,1,P54,EC00073
Pentose phosphate pathway,37,11,4,4.3082,0.98876,1,0.34513,100,1,1,1,1,P55,EC00032
Ascorbate (Vitamin C) and Aldarate Metabolism,29,16,5,11.658,0.99169,0.99756,0.37114,98,0.98,1,1,1,P56,EC00054;EC000225;EC000224;EC00041;EC000130
