m/z	rt	p-value	t-score
100.0039	3.918	0.786	-0.2791646697728138
103.0267	1.019	0.153	-1.54757565183011
103.04	0.988	0.153	-1.5446358209694895
1058.0265	1.11	0.148	-1.566237647836816
107.0367	1.019	0.951	0.06270836285708273
107.0502	0.999	0.577	0.5770750636692575
109.0295	2.682	0.172	1.471070102565125
111.0087	5.156	0.421	-0.8384928151095604
111.0088	7.821	0.854	0.18916404158121236
112.0517	3.504	0.481	-0.7322001223746519
112.0517	3.613	0.162	-1.5100254397192927
117.0558	0.877	0.0739	-1.9958551885533005
119.0352	4.472	0.071	-2.0195914773232437
119.0352	5.013	0.314	-1.0607175695544357
119.0359	5.512	0.136	1.6233174018163314
123.0542	0.96	0.0672	-2.0528617928544874
124.0074	6.271	0.602	-0.5388698865960169
124.9914	3.319	0.193	-1.3962128541640877
124.9916	5.153	0.08	-1.9480062249453085
125.0243	0.867	0.135	-1.6254197026177974
127.0399	0.847	0.206	-1.351158377020066
128.0354	5.186	0.245	-1.2347785241716511
128.9597	5.323	0.219	1.3119706558315485
129.0193	2.327	0.15	-1.5607061275248888
129.0193	6.544	0.0199	-2.765401421426597
131.0712	0.84	0.575	-0.5793527906330889
135.0299	6.065	0.112	-1.743418230665996
135.0299	8.49	0.051	-2.216489693917331
135.0302	5.655	0.547	0.62332392266475245
135.0312	3.109	0.438	-0.8069268991003244
135.0373	5.68	0.42	-0.8417840856404996
135.03	5.533	0.197	-1.3831233760770982
137.0101	1.032	0.661	-0.4518026087842833
137.0244	0.97	0.237	-1.2591983626742131
139.0069	4.58	0.451	-0.7851533392498842
139.0398	0.519	0.0614	2.10670056506944
139.04	3.348	0.729	-0.3564678143540261
139.0513	5.435	0.915	0.10964079374014227
139.0764	0.897	0.0437	-2.306941930401159
143.0348	0.84	0.251	-1.2179427635027857
144.0302	5.659	0.421	-0.8392779195270941
144.0522	1.038	4.53e-5	-6.83684826960255
144.0666	1.163	0.0699	-2.0290164321554753
145.0142	5.656	0.305	-1.0820980126598183
145.0362	1.023	0.0881	-1.889979725900443
145.0504	0.989	0.0217	-2.7166874443849647
145.05	0.997	0.786	-0.27945412848229545
145.0618	3.339	0.333	1.0173171490838622
145.0619	6.606	0.518	-0.6703673391768297
145.0982	8.275	0.474	0.7446827698993141
147.0297	3.639	0.0723	-2.009258854750508
147.0298	5.173	0.0351	-2.435212934060037
147.0298	5.656	0.41	0.8596458158015013
147.0298	6.996	0.0421	-2.32983083088375
149.0092	7.63	0.623	-0.5076596564454576
149.0092	7.798	0.53	-0.6501380067814685
149.0455	5.186	0.01	-3.169495013065559
149.0455	5.396	0.365	-0.948381157324929
149.0455	5.659	0.308	1.0732329514241217
150.0559	3.673	0.946	0.06913264693007298
151.007	5.656	0.434	-0.8142618363458378
151.0255	1.019	0.824	-0.22846193209132343
151.0261	3.2	0.137	-1.6152713461079258
151.0401	1	0.476	-0.7409479623618782
151.0612	4.846	0.0792	-1.953960021884216
152.0354	1.011	0.122	1.6906719303504165
153.0047	1.043	3.58e-4	-5.278673899918214
153.0193	1.076	4.51e-4	-5.119889906897123
153.0193	3.42	5.83e-6	8.662837800472492
153.0919	0.843	0.482	-0.7310130875806782
154.0256	0.927	0.0564	-2.156615038488643
154.0623	7.684	0.317	1.0524582480931512
154.0703	7.686	0.0968	1.8321527561824351
154.9986	7.909	0.418	0.8445121814167729
155.0462	6.062	0.435	-0.8128717075221417
156.0665	1.414	0.474	-0.7441394319038432
157.0367	4.662	0.56	-0.6021461506255859
157.0503	0.513	0.0481	-2.251081632935815
158.0822	0.968	0.0228	-2.688393189782401
158.082	0.514	0.352	-0.9769562327202818
159.0516	1.019	0.285	-1.1284711077413248
159.0663	0.926	0.188	-1.4129822900188087
161.0455	3.524	0.449	-0.787860068009786
161.0455	3.634	0.181	-1.4384135119648005
161.0455	5.668	0.898	-0.13168370076584973
161.9867	2.332	0.914	0.11020185205526933
161.9867	2.345	0.445	0.7954071834084323
162.0227	0.513	0.263	-1.1857179911134679
162.0229	4.073	0.0247	-2.6413456653936525
163.0247	5.69	0.505	-0.6916063261633932
163.0403	0.951	0.141	1.5991369778009632
164.0715	4.437	0.0489	-2.24085813251171
165.0046	1.023	5.92e-9	-18.02414309949708
165.0405	5.703	0.787	-0.2773788932129063
165.0405	6.024	0.0587	2.133344355121209
165.0405	6.233	0.998	0.002393693564131058
165.0418	1.302	0.223	-1.299769904379923
165.042	0.562	0.681	-0.4228035561178216
165.0472	3.498	0.37	0.9377534846427263
165.0488	5.706	0.925	-0.09637481744303308
165.0534	0.912	0.034	2.4542433857114645
167.0212	5.168	0.44	-0.8045426253397473
167.0461	5.457	0.675	-0.43169613880346275
167.0559	3.69	0.11	-1.7558000684672446
168.078	7.818	0.866	-0.17281236367165032
168.0862	7.82	0.906	0.12156041664974132
171.041	7.771	0.725	0.3620680113338557
171.043	3.694	0.395	-0.8879995985297638
171.0662	0.928	0.396	-0.8864235569586911
171.0774	5.47	0.419	-0.8422071023446628
172.0977	0.843	0.0085	-3.2648398962242786
172.0978	0.872	0.0645	-2.077397404622914
172.9922	1.849	0.353	0.9741147076623708
172.9996	1.942	0.856	-0.1863379126391752
173.009	6.03	0.375	-0.92945846115903
173.0218	1.841	0.854	-0.18876104015617162
173.0567	5.365	0.363	-0.953019296070414
173.0567	5.7	0.599	0.5424022078583509
173.0818	0.849	0.523	0.6626341876460143
173.9866	2.442	0.0516	2.2100241749990377
174.9871	1.827	0.601	-0.5397846331278489
175.0245	0.522	0.0687	-2.039559308900915
175.0246	4.153	0.8	-0.25961102961950244
175.0246	5.38	0.331	-1.0220292944308795
175.0246	5.701	0.361	0.9580578023684662
175.0611	3.502	0.354	-0.9713051905496202
175.061	0.56	0.75	-0.3270755541572053
175.061	3.616	0.397	-0.8846610555409686
175.0974	0.773	0.442	-0.8003908627996492
175.0974	0.971	8.24e-4	-4.713739966692806
177.0405	5.7	0.185	-1.422299017368753
177.1284	0.774	0.435	-0.8139918462377155
178.0361	1.018	0.574	-0.581073822576802
178.0444	1.022	0.669	-0.440166583977794
178.0511	0.524	0.556	0.6098686314200585
178.0589	0.533	0.974	0.03298950631401939
179.0349	5.243	0.68	-0.4244754953563807
179.0559	5.977	0.592	-0.5540438504927391
179.0561	5.436	0.144	-1.5842370723411152
179.0562	5.704	0.178	-1.4492896480601352
179.056	6.344	0.998	-0.00292112126669095
179.0636	0.527	0.604	0.5359621184453335
179.0644	5.704	0.46	-0.7677097732756295
179.0709	0.842	0.0144	-2.9572131518396336
179.1075	0.837	0.437	-0.809903979239407
181.0368	3.602	0.241	-1.2462243320876485
181.0504	0.867	0.58	-0.5720701654448374
181.0504	0.995	0.122	1.687557429212149
181.0504	3.057	0.0321	-2.487666333200387
181.0505	0.887	0.636	-0.48843662786109393
181.0505	2.24	0.331	-1.0221743808240498
181.0718	5.323	0.037	-2.4057016918954455
181.0805	5.323	0.0246	-2.642758970594379
181.9916	3.013	0.707	0.38748612039025515
182.0272	5.423	0.35	0.9809849157932338
182.028	4.092	0.356	0.9683314548294109
182.0308	1.029	2.97e-4	-5.411512014562671
182.0457	0.856	2.74e-4	-5.468194384662592
183.005	0.703	0.481	-0.7321956573028534
183.0514	3.658	0.303	-1.0861118450492273
183.0638	3.785	0.71	-0.38249247889674853
183.0661	0.867	0.155	-1.5395391677534358
183.1023	0.506	0.059	-2.129719032569139
183.1025	0.808	0.0148	-2.9408338837823145
184.0977	1.118	0.0382	-2.3857849254220387
185.0566	7.305	0.584	0.5658543420502494
185.0819	0.862	0.314	-1.0606519902440514
187.0068	2.234	0.183	1.4318608086540199
