m/z,rt,p-value,t-score
100.0039,3.918,0.798,0.26219376107856973
103.0267,1.019,0.514,-0.6765246250267924
103.04,0.988,0.492,-0.7132249082080523
1058.0265,1.11,0.085,1.9115814960566966
107.0367,1.019,0.836,0.2126607389983037
107.0502,0.999,0.598,0.5441054157946088
109.0295,2.682,0.394,-0.8908187385890645
111.0087,5.156,0.643,0.4784330776323267
111.0088,7.821,0.0556,-2.1653401527814524
112.0517,3.504,0.211,-1.3364920862541048
112.0517,3.613,0.0685,-2.040883682080075
117.0558,0.877,0.289,-1.1197737729404387
119.0352,4.472,0.543,-0.6295448705147682
119.0352,5.013,0.00737,-3.3494343576502654
119.0359,5.512,0.428,0.82665798963238
123.0542,0.96,0.0234,2.67136481369348
124.0074,6.271,0.792,0.2702756107006618
124.9914,3.319,0.425,0.8323014059313413
124.9916,5.153,0.153,-1.5458509921825534
125.0243,0.867,0.039,2.3742080202372398
127.0399,0.847,0.284,-1.1313779444751286
128.0354,5.186,0.121,-1.69624471151408
128.9597,5.323,0.00111,4.517350415088762
129.0193,2.327,0.605,-0.5337927456772611
129.0193,6.544,0.228,-1.2851948099956025
131.0712,0.84,0.963,0.04778600069229585
135.0299,6.065,0.00464,-3.626117115289685
135.0299,8.49,0.907,0.12033765333296562
135.0302,5.655,0.822,0.23150643919516614
135.0312,3.109,0.898,-0.13189169701736303
135.0373,5.68,0.42,-0.8417664185881997
135.03,5.533,0.577,-0.5766191624533874
137.0101,1.032,0.0442,2.3013228060802584
137.0244,0.97,0.0355,2.429983952158001
139.0069,4.58,0.00834,-3.276324955196359
139.0398,0.519,0.00257,3.9878841411045696
139.04,3.348,0.303,-1.0852333907222618
139.0513,5.435,0.0125,-3.038952314498566
139.0764,0.897,0.0408,-2.3480453804804453
143.0348,0.84,0.844,-0.20202033672089909
144.0302,5.659,0.00104,-4.5625468457969935
144.0522,1.038,0.0526,-2.198283178144474
144.0666,1.163,0.899,0.1306447540199424
145.0142,5.656,0.198,1.3803008455916208
145.0362,1.023,0.0416,-2.335631033619538
145.0504,0.989,0.0651,-2.071744990020194
145.05,0.997,0.305,-1.0808594435231091
145.0618,3.339,0.206,-1.3525699345092972
145.0619,6.606,0.028,-2.566739819359116
145.0982,8.275,0.286,-1.126154828509926
147.0297,3.639,0.581,-0.5705554599971244
147.0298,5.173,0.175,-1.4586944619349242
147.0298,5.656,0.259,1.198019270303078
147.0298,6.996,0.0696,-2.0320948866517945
149.0092,7.63,0.0314,-2.501408968856904
149.0092,7.798,0.0479,-2.2540296015800445
149.0455,5.186,0.0456,-2.282202120110066
149.0455,5.396,0.162,-1.5112575483871151
149.0455,5.659,0.956,0.056974844258009694
150.0559,3.673,0.648,0.47041091792083745
151.007,5.656,0.714,0.3770097040551232
151.0255,1.019,0.622,-0.5090817920730123
151.0261,3.2,0.733,-0.35150747002613797
151.0401,1,0.986,0.01751481443838044
151.0612,4.846,0.0156,-2.909822013408562
152.0354,1.011,0.00685,3.3934386846262927
153.0047,1.043,0.11,-1.7525464787607383
153.0193,1.076,0.0904,-1.8742651016176781
153.0193,3.42,2.39e-4,5.566121570793669
153.0919,0.843,0.086,-1.904702210257822
154.0256,0.927,0.154,-1.5406114929469976
154.0623,7.684,0.214,-1.3278156330220467
154.0703,7.686,0.131,-1.6427762184635204
154.9986,7.909,0.00492,-3.5912814713242374
155.0462,6.062,0.249,-1.2227970977150024
156.0665,1.414,0.373,-0.9326865103672292
157.0367,4.662,0.0965,1.8341597090574833
157.0503,0.513,0.614,-0.5198410369810317
158.0822,0.968,0.145,-1.5794596300431296
158.082,0.514,0.474,-0.7443112183285829
159.0516,1.019,0.242,-1.2443731032989542
159.0663,0.926,0.205,-1.3548324826181943
161.0455,3.524,0.0893,-1.8813892510816885
161.0455,3.634,0.0377,-2.393819326684997
161.0455,5.668,0.762,-0.31184944400001924
161.9867,2.332,0.645,0.4754535869516759
161.9867,2.345,0.628,0.49973822241675764
162.0227,0.513,0.0578,-2.1428681392444355
162.0229,4.073,0.131,-1.6467773634832008
163.0247,5.69,0.284,1.1333422772436885
163.0403,0.951,0.00211,4.110199553684157
164.0715,4.437,0.974,-0.03373063245532293
165.0046,1.023,0.189,-1.4089458410858149
165.0405,5.703,0.392,0.8944503666640475
165.0405,6.024,0.555,0.6101035992694194
165.0405,6.233,0.602,0.5382520441883621
165.0418,1.302,0.145,-1.582635623628727
165.042,0.562,0.115,-1.728932951515144
165.0472,3.498,0.341,-0.9994909972606117
165.0488,5.706,0.454,0.7783207352476575
165.0534,0.912,0.636,0.4886499417811626
167.0212,5.168,0.548,-0.6216903835251976
167.0461,5.457,0.00254,-3.994418667339913
167.0559,3.69,0.101,-1.8038008505164254
168.078,7.818,0.00476,-3.61062879124304
168.0862,7.82,0.016,-2.893945315160474
171.041,7.771,0.0937,-1.8520988299402812
171.043,3.694,0.0205,-2.7506326971100687
171.0662,0.928,0.0181,-2.8227224046079065
171.0774,5.47,0.0915,-1.8664505366140105
172.0977,0.843,0.534,0.6437340160288257
172.0978,0.872,0.786,0.27875192540765314
172.9922,1.849,0.982,0.023222348145866233
172.9996,1.942,0.5,0.6999915987178768
173.009,6.03,0.528,0.6537037244120482
173.0218,1.841,0.682,0.42156655020475087
173.0567,5.365,0.127,-1.6622100521796113
173.0567,5.7,0.69,-0.41021324002116427
173.0818,0.849,0.633,-0.4923991717871062
173.9866,2.442,0.26,-1.1941304968969235
174.9871,1.827,0.694,-0.4052456354980312
175.0245,0.522,0.256,1.2041488652387309
175.0246,4.153,0.408,0.8637828158867725
175.0246,5.38,0.778,0.28974968771411735
175.0246,5.701,0.852,0.19153264971623016
175.0611,3.502,0.301,-1.091238847526523
175.061,0.56,0.443,-0.7985775820491597
175.061,3.616,0.264,-1.1826668197371986
175.0974,0.773,0.375,-0.9276775694233201
175.0974,0.971,0.052,-2.2047392001151036
177.0405,5.7,0.0315,-2.4991739490923424
177.1284,0.774,0.668,0.44141385735860666
178.0361,1.018,0.272,1.162892031851532
178.0444,1.022,0.0997,1.8146013769839155
178.0511,0.524,0.246,1.2311196455847828
178.0589,0.533,0.597,0.5463442333537237
179.0349,5.243,0.574,0.5815875379798956
179.0559,5.977,0.55,0.6188853191194597
179.0561,5.436,0.0103,-3.152844206399974
179.0562,5.704,0.703,0.39298916472862444
179.056,6.344,0.337,1.008090829689855
179.0636,0.527,0.556,0.6084997883799537
179.0644,5.704,0.64,-0.48206075390403513
