m.z,r.t,p.value,t.score
100.0039,3.918,0.797,-0.2641660642917524
103.0267,1.019,0.673,0.43453105946775683
103.04,0.988,0.794,-0.26805931970088365
1058.0265,1.11,0.297,-1.0991670879551891
107.0367,1.019,0.386,0.9061206250060632
107.0502,0.999,0.569,-0.5882001896586337
109.0295,2.682,0.893,0.1379998137242888
111.0087,5.156,0.42,-0.841200378701298
111.0088,7.821,0.355,0.9695854519599958
112.0517,3.504,0.607,0.5315425216537183
112.0517,3.613,0.462,0.7642305203850667
117.0558,0.877,0.833,0.21693498490266755
119.0352,4.472,0.837,-0.21151002935582028
119.0352,5.013,0.00533,3.54351070524892
119.0359,5.512,0.169,1.4826333796938544
123.0542,0.96,0.00301,-3.8892885086925233
124.0074,6.271,0.827,0.22416517005794015
124.9914,3.319,0.349,-0.9835497777055642
124.9916,5.153,0.907,0.12015615701850929
125.0243,0.867,0.112,-1.7415624302894357
127.0399,0.847,0.564,-0.5969717352286703
128.0354,5.186,0.534,0.6444363693566879
128.9597,5.323,0.0839,-1.9195364087343734
129.0193,2.327,0.289,-1.1199860239410102
129.0193,6.544,0.322,-1.0411923363726538
131.0712,0.84,0.818,-0.23595885789341745
135.0299,6.065,0.158,1.5242995797373575
135.0299,8.49,0.466,-0.7586705422720826
135.0302,5.655,0.592,-0.5538668612440468
135.0312,3.109,0.292,1.1118244628127603
135.0373,5.68,0.219,-1.3108903509051206
135.03,5.533,0.612,0.5238179253547833
137.0101,1.032,0.346,-0.9891699823331407
137.0244,0.97,0.28,-1.1425221789637952
139.0069,4.58,0.275,-1.1544037617356504
139.0398,0.519,0.0792,-1.9543098804457055
139.04,3.348,0.988,0.015554971641634946
139.0513,5.435,0.504,0.6936340832824999
139.0764,0.897,0.572,0.583930286206949
143.0348,0.84,0.59,-0.5572474044582646
144.0302,5.659,0.00772,3.322338106829673
144.0522,1.038,0.938,0.07997370902314796
144.0666,1.163,0.703,-0.3922374581338654
145.0142,5.656,0.0769,-1.97216787281672
145.0362,1.023,0.805,0.25287249656181043
145.0504,0.989,0.899,0.12979269397999718
145.05,0.997,0.936,-0.0818884544080389
145.0618,3.339,0.577,0.5767316554768145
145.0619,6.606,0.981,0.024388745750753452
145.0982,8.275,0.836,0.21276817014806543
147.0297,3.639,0.403,-0.8732795977718141
147.0298,5.173,0.959,-0.053164442958377335
147.0298,5.656,0.444,-0.7976976538833235
147.0298,6.996,0.976,-0.03103326035862952
149.0092,7.63,0.768,0.3024624775887846
149.0092,7.798,0.803,0.256403006076961
149.0455,5.186,0.816,-0.23882330337087798
149.0455,5.396,0.472,0.7467028007876028
149.0455,5.659,0.919,0.1048148509043991
150.0559,3.673,0.622,-0.5094260689825859
151.007,5.656,0.839,-0.20879863471424356
151.0255,1.019,0.23,1.2784603184962278
151.0261,3.2,0.659,0.45498124966278425
151.0401,1,0.97,0.03820257081563911
151.0612,4.846,0.895,-0.13545706635448085
152.0354,1.011,0.0441,-2.3017563160458447
153.0047,1.043,0.272,-1.1636172085151475
153.0193,1.076,0.118,-1.712739009346442
153.0193,3.42,0.734,-0.3488533386726102
153.0919,0.843,0.351,0.9789570181033649
154.0256,0.927,0.987,-0.016587698037937592
154.0623,7.684,0.67,0.4391338154019348
154.0703,7.686,0.477,0.7388090734243926
154.9986,7.909,0.01,3.1692006834207143
155.0462,6.062,0.574,0.581258537521227
156.0665,1.414,0.752,0.3241924126074488
157.0367,4.662,0.0622,-2.098641475219014
157.0503,0.513,0.19,-1.405087345164313
158.0822,0.968,0.411,-0.8582471250789606
158.082,0.514,0.732,0.3527832819211685
159.0516,1.019,0.511,0.6807452157357372
159.0663,0.926,0.8,0.25972368326718276
161.0455,3.524,0.437,0.809029526896915
161.0455,3.634,0.278,1.1480628390274137
161.0455,5.668,0.5,0.6996928023363878
161.9867,2.332,0.422,0.8370522630824426
