,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits
Fructose and mannose metabolism,33,8,7,2.2192,0.027366,0.10697,0.001886,2,0.02,1,1,0.099958,P1,EC000148;EC00011;EC0008;EC000129;EC000139
N-Glycan Degradation,16,6,4,2.2192,0.027366,0.10697,0.001886,8,0.08,1,1,0.099958,P2,EC0008;EC00011;EC00073;EC00074;EC000148
Keratan sulfate degradation,68,4,3,1.726,0.044436,0.17669,0.0020113,13,0.13,1,1,0.1025763,P3,EC00011;EC00073;EC00074;EC000148
Alkaloid biosynthesis II,10,2,2,0.49315,0.047954,0.38763,0.0020382,3,0.03,1,1,0.1025763,P4,EC000166;EC000268
Pentose phosphate pathway,37,11,8,4.1918,0.055085,0.13813,0.0020938,11,0.11,1,1,0.1025962,P5,EC00032;EC000180;EC00060;EC00064;EC00055;EC0008;EC00011
Sialic acid metabolism,107,18,8,3.6986,0.0858,0.20671,0.0023524,7,0.07,1,1,0.1129152,P6,EC00011;EC0008;EC00073;EC00074;EC00055;EC000213
Hexose phosphorylation,20,10,7,2.9589,0.098417,0.24999,0.0024681,17,0.17,1,1,0.1160007,P7,EC0008;EC00011;EC000251;EC00047;EC000129
Glycosphingolipid metabolism,67,8,5,2.2192,0.11166,0.30677,0.002596,14,0.14,1,1,0.119416,P8,EC00011;EC00073;EC00074;EC0008
Alanine and Aspartate Metabolism,30,7,5,1.4795,0.1233,0.38698,0.0027142,1,0.01,1,1,0.122139,P9,EC000143;EC00020;EC00015
Caffeine metabolism,11,10,10,4.9315,0.12356,0.25005,0.002717,19,0.19,1,1,0.122139,P10,EC0008;EC00011;EC000292;EC000180;EC00064;EC000226;EC000290
N-Glycan biosynthesis,48,5,3,1.726,0.18244,0.4711,0.0034092,15,0.15,1,1,0.1465956,P11,EC000111;EC0008;EC00011
Glutamate metabolism,15,6,3,1.726,0.18244,0.4711,0.0034092,3,0.03,1,1,0.1465956,P12,EC00034;EC00015;EC00020
Carnitine shuttle,72,1,1,0.24658,0.22018,1,0.0039494,12,0.12,1,1,0.1619254,P13,EC000328
Aminosugars metabolism,69,8,2,1.9726,0.24739,0.54808,0.0043948,15,0.15,1,1,0.175792,P14,EC00020;EC00073;EC00074
Glutathione Metabolism,19,5,2,1.2329,0.30411,0.70843,0.0055055,12,0.12,1,1,0.2147145,P15,EC00034;EC00015
Galactose metabolism,41,21,11,3.2055,0.31483,0.56325,0.0057473,22,0.22,1,1,0.2183974,P16,EC00011;EC00055;EC0008;EC000129
Glycerophospholipid metabolism,156,9,4,3.2055,0.31483,0.56325,0.0057473,34,0.34,1,1,0.2183974,P17,EC000216;EC000121;EC00011;EC0008
Pyrimidine metabolism,70,9,5,2.2192,0.31526,0.61702,0.0057572,19,0.19,1,1,0.2183974,P18,EC00020;EC00015;EC00079
Aspartate and asparagine metabolism,114,17,5,4.4384,0.36037,0.57529,0.0069101,29,0.29,1,1,0.2418535,P19,EC000247;EC000143;EC00020;EC000205;EC00034
Linoleate metabolism,46,9,6,2.4658,0.38358,0.67775,0.0075987,43,0.43,1,1,0.2583558,P20,EC00034;EC000302;EC000304
Prostaglandin formation from arachidonate,78,17,3,2.4658,0.38358,0.67775,0.0075987,31,0.31,1,1,0.2583558,P21,EC00091;EC000253;EC000254
Glyoxylate and Dicarboxylate Metabolism,12,1,1,0.49315,0.39241,1,0.0078799,68,0.68,1,1,0.2583558,P22,EC00032
Glycosphingolipid biosynthesis - globoseries,16,3,1,1.4795,0.39452,0.77272,0.0079486,39,0.39,1,1,0.2583558,P23,EC0008;EC00011
Biopterin metabolism,22,6,2,1.4795,0.39452,0.77272,0.0079486,30,0.3,1,1,0.2583558,P24,EC000139;EC000216
Ubiquinone Biosynthesis,10,5,2,1.4795,0.39452,0.77272,0.0079486,19,0.19,1,1,0.2583558,P25,EC00039;EC00047
Starch and Sucrose Metabolism,33,8,3,1.4795,0.39452,0.77272,0.0079486,41,0.41,1,1,0.2583558,P26,EC0008;EC00011
Tryptophan metabolism,94,22,8,6.9041,0.42238,0.59523,0.008922,24,0.24,1,1,0.2583558,P27,EC00026;EC000163;EC000169;EC000116;EC000300;EC00011;EC00015
Glycolysis and Gluconeogenesis,49,6,3,1.726,0.47935,0.82299,0.011346,45,0.45,1,1,0.294996,P28,EC0008;EC00011
Pentose and Glucuronate Interconversions,15,9,7,3.9452,0.48401,0.71444,0.011574,50,0.5,1,1,0.294996,P29,EC00086;EC00032;EC00060;EC00064
Histidine metabolism,33,10,3,2.9589,0.51423,0.77594,0.013184,35,0.35,1,1,0.316416,P30,EC000194;EC00015;EC000246
Nitrogen metabolism,6,2,1,0.73973,0.52702,1,0.01394,33,0.33,1,1,0.32062,P31,EC00020
Phosphatidylinositol phosphate metabolism,59,8,5,4.1918,0.53736,0.75509,0.014587,49,0.49,1,1,0.320914,P32,EC00011;EC000162;EC0008;EC000283
Arginine and Proline Metabolism,45,8,2,1.9726,0.55667,0.86227,0.015887,41,0.41,1,1,0.333627,P33,EC00048;EC00020
Methionine and cysteine metabolism,94,8,2,2.2192,0.62564,0.89292,0.021734,32,0.32,1,1,0.43468,P34,EC00048;EC00034
Arachidonic acid metabolism,95,11,1,0.9863,0.63212,1,0.0224,45,0.45,1,1,0.43468,P35,EC00034
Tyrosine metabolism,160,37,11,11.836,0.64841,0.76289,0.024184,40,0.4,1,1,0.435312,P36,EC00091;EC000226;EC00047;EC00020;EC000327;EC000270;EC00034;EC000235;EC000236;EC00015
Xenobiotics metabolism,110,16,3,2.4658,0.68616,0.91683,0.029003,59,0.59,1,1,0.493051,P37,EC000276;EC000169
Leukotriene metabolism,92,8,1,2.4658,0.68616,0.91683,0.029003,48,0.48,1,1,0.493051,P38,EC000321;EC000322
Beta-Alanine metabolism,20,5,1,1.2329,0.71413,1,0.033324,50,0.5,1,1,0.49986,P39,EC00015
Selenoamino acid metabolism,35,5,1,1.2329,0.71413,1,0.033324,58,0.58,1,1,0.49986,P40,EC00015
Urea cycle/amino group metabolism,85,15,3,3.9452,0.72446,0.89764,0.035115,58,0.58,1,1,0.49986,P41,EC000210;EC00015;EC00048
Ascorbate (Vitamin C) and Aldarate Metabolism,29,16,9,11.342,0.72845,0.83096,0.035838,72,0.72,1,1,0.49986,P42,EC00034;EC00060;EC00064;EC00055;EC000176;EC000178;EC000226;EC00091;EC00067
Glycosphingolipid biosynthesis - ganglioseries,62,5,2,1.4795,0.77805,1,0.046588,70,0.7,1,1,0.512468,P43,EC00011
D4&E4-neuroprostanes formation,37,2,1,1.4795,0.77805,1,0.046588,61,0.61,1,1,0.512468,P44,EC00091
Purine metabolism,80,16,5,6.9041,0.78202,0.89685,0.047614,62,0.62,1,1,0.512468,P45,EC00084;EC000209;EC00032;EC00067;EC00020
Chondroitin sulfate degradation,37,5,2,2.9589,0.78342,0.94996,0.047984,88,0.88,1,1,0.512468,P46,EC00011;EC00032
Heparan sulfate degradation,34,5,2,2.9589,0.78342,0.94996,0.047984,88,0.88,1,1,0.512468,P47,EC00011;EC00032
C21-steroid hormone biosynthesis and metabolism,112,12,4,3.2055,0.82148,0.96124,0.059637,83,0.83,1,1,0.512468,P48,EC0001;EC000207
Vitamin B3 (nicotinate and nicotinamide) metabolism,28,5,1,1.9726,0.86657,1,0.079045,74,0.74,1,1,0.512468,P49,EC00020
Androgen and estrogen biosynthesis and metabolism,95,13,3,3.9452,0.90259,0.98209,0.10196,87,0.87,1,1,0.512468,P50,EC0001;EC000207
"Glycine, serine, alanine and threonine metabolism",88,11,3,2.4658,0.92008,1,0.11713,76,0.76,1,1,0.512468,P51,EC00015
TCA cycle,31,7,1,2.9589,0.9523,1,0.15826,86,0.86,1,1,0.512468,P52,EC00091
Porphyrin metabolism,43,5,1,3.9452,0.9832,1,0.24257,91,0.91,1,1,0.512468,P53,EC00091
