row ID,row m/z,row retention time,PB1_HILICPOS_4.mzML Peak height,PB2_HILICPOS_5.mzML Peak height,6104_U2_HILICPOS_19.mzML Peak height,6110_U2_HILICPOS_34.mzML Peak height,PB3_HILICPOS_6.mzML Peak height,6108_U2_HILICPOS_27.mzML Peak height,6111_U4_HILICPOS_42.mzML Peak height,6101_U3_HILICPOS_29.mzML Peak height,6104_U1_HILICPOS_55.mzML Peak height,6103_U4_HILICPOS_53.mzML Peak height,6110_U3_HILICPOS_45.mzML Peak height,6111_U2_HILICPOS_35.mzML Peak height,6111_U1_HILICPOS_51.mzML Peak height,6105_U3_HILICPOS_39.mzML Peak height,6109_U2_HILICPOS_13.mzML Peak height,6108_U1_HILICPOS_44.mzML Peak height,6109_U4_HILICPOS_22.mzML Peak height,6101_U4_HILICPOS_14.mzML Peak height,6101_U2_HILICPOS_30.mzML Peak height,6110_U4_HILICPOS_10.mzML Peak height,6105_U1_HILICPOS_43.mzML Peak height,6105_U4_HILICPOS_47.mzML Peak height,6102_U1_HILICPOS_26.mzML Peak height,6102_U2_HILICPOS_16.mzML Peak height,6104_U3_HILICPOS_32.mzML Peak height,6104_U4_HILICPOS_12.mzML Peak height,6113_U3_HILICPOS_15.mzML Peak height,6113_U2_HILICPOS_31.mzML Peak height,6109_U3_HILICPOS_52.mzML Peak height,6102_U4_HILICPOS_50.mzML Peak height,6102_U3_HILICPOS_48.mzML Peak height,6108_U4_HILICPOS_18.mzML Peak height,6106_U2_HILICPOS_46.mzML Peak height,6111_U3_HILICPOS_54.mzML Peak height,6110_U1_HILICPOS_11.mzML Peak height,6108_U3_HILICPOS_28.mzML Peak height,6106_U3_HILICPOS_20.mzML Peak height,6105_U2_HILICPOS_40.mzML Peak height,6112_U2_HILICPOS_37.mzML Peak height,6103_U1_HILICPOS_21.mzML Peak height,6113_U1_HILICPOS_24.mzML Peak height,6103_U3_HILICPOS_61.mzML Peak height,6101_U1_HILICPOS_59.mzML Peak height,6112_U1_HILICPOS_38.mzML Peak height,6109_U1_HILICPOS_58.mzML Peak height,6112_U3_HILICPOS_56.mzML Peak height,6106_U4_HILICPOS_36.mzML Peak height,6103_U2_HILICPOS_60.mzML Peak height,6106_U1_HILICPOS_23.mzML Peak height,6112_U4_HILICPOS_63.mzML Peak height,PooledQC5_HILICPOS_11_1.mzML Peak height,6113_U4_HILICPOS_62.mzML Peak height,PooledQC7_HILICPOS_25.mzML Peak height,PooledQC6_HILICPOS_17.mzML Peak height,PooledQC9_HILICPOS_41.mzML Peak height,PooledQC10_HILICPOS_49.mzML Peak height,PooledQC8_HILICPOS_33.mzML Peak height,PooledQC11_HILICPOS_57.mzML Peak height,PooledQC12_HILICPOS_64.mzML Peak height,
2,708.510919875992,0.42835274,28112.047,24541.016,95991.16,201475.19,25327.79,5130.3794,168172.73,1080.2615,245909.03,0,214123.19,18396.39,215974.05,227224.48,61876.426,14955.232,12656.873,6898.408,154803.78,0,205187.81,211365.78,140351.53,84846.11,143198.34,4750.734,5098.3784,186143.27,1259.1078,0,202479.17,101424.71,178149.89,209535.67,60425.234,0,0,213140.78,3781.3645,2540.4663,0,0,15703.538,0,199272.27,210423.23,16687.81,210074.28,9624.771,211938.55,1829.4736,0,0,100290.94,161962.08,177841.64,12821.586,164875.6,1013.431,
12,704.0076083774286,0.42116863,1401.7653,2470.0,4548.0034,6619.6143,5181.475,4467.314,4194.9966,6806.662,2638.2583,4426.5723,4402.304,3848.645,4252.1353,2691.7358,1896.6628,5026.11,4079.5193,2913.2544,5862.025,3146.9067,2803.847,3920.1138,5834.0464,2676.4695,3926.7485,2517.631,4031.848,4596.821,5989.5767,6212.5986,7888.025,4212.25,4276.1885,2198.15,1935.6945,2260.079,11858.94,3079.9893,4529.64,1629.9608,3877.9343,2060.479,7274.9385,5532.7305,9598.668,3530.6992,4055.7358,6428.201,5993.881,2081.7825,1531.7,3017.7617,2951.6763,1997.3557,2017.9594,2642.458,2757.6096,2422.308,2441.9202,
17,776.5118192922198,0.428233,4066.502,8317.424,4466.4365,15099.49,5996.409,9722.322,1959.0009,4103.6724,16428.963,13969.995,2783.6135,4371.886,18070.412,1994.091,2395.4802,7561.8975,2279.3862,2102.1953,2469.5293,7481.5654,8884.859,13911.269,17723.738,18135.246,8568.846,11803.529,10728.259,10151.864,2585.467,14519.503,12890.198,19675.62,3092.917,14567.228,17607.336,17461.098,12550.852,17951.346,8464.522,11368.681,11785.8125,2777.38,9748.351,15952.533,19518.043,10376.214,6489.256,15005.4,6738.4004,2967.89,1954.7532,10186.156,12690.451,2246.7395,13176.365,11769.765,1247.7539,2888.3052,7383.5913,
46,930.4244778569822,0.4130539,9027.439,2048.2666,8391.06,10617.817,4381.9487,15124.735,26263.627,11229.695,11410.815,1319.1486,13599.248,14400.347,4978.5957,8008.6953,0,14384.194,6015.2905,3456.1838,15580.261,23415.203,12141.89,13155.049,8576.171,3876.4387,11651.787,12441.283,14857.465,13861.879,8948.506,38009.91,16018.369,3996.1113,10354.455,10192.956,2114.0806,9900.688,1887.0184,2678.6938,18178.326,0,11019.81,7194.5586,10367.776,14016.761,11931.634,23424.38,40567.062,10208.605,7837.595,14654.27,1269.2874,11989.892,2018.4333,1669.3894,2034.0002,3298.3337,2519.7563,3012.849,9905.089,
47,333.3342117690657,0.4152336,37199.207,58991.895,39589.848,38660.555,159458.6,36133.29,165459.3,124169.875,28232.375,26060.18,20393.148,34291.156,96406.34,18815.266,28975.791,194869.23,180023.61,32107.537,107299.305,97412.21,64144.94,31824.64,142244.78,36419.26,964579.8,84026.13,26654.164,34938.902,37799.58,130962.94,42530.305,36083.21,62389.86,39966.434,19275.164,33134.17,41297.383,21968.734,54007.332,42585.86,31702.4,48486.617,186096.95,196807.9,27868.178,21032.264,30919.002,37911.188,238238.47,37805.355,18937.389,307351.9,27940.723,18769.451,26368.47,29672.238,26272.732,33147.805,49657.742,
50,388.39317201960444,0.41269135,13824.667,16881.057,23412.816,23822.094,35058.74,22230.72,57002.285,179036.58,89561.44,14156.738,28756.508,24708.58,32164.371,10731.589,16625.383,48885.582,49063.45,22828.887,62138.45,54527.457,47971.652,26742.854,26516.713,16942.393,3657.286,39786.535,13761.016,30235.496,37724.914,69023.984,45298.875,23865.162,25462.346,16503.328,10453.977,15533.055,67835.82,12290.916,27715.545,23139.965,29552.045,14789.027,63111.355,7554.1255,20464.094,22670.873,34283.84,16785.604,78009.53,19456.39,12583.27,60885.715,17084.191,14075.208,18813.604,18186.582,18860.736,22101.223,33525.69,
51,1326.9020120040695,0.4120326,27162.385,31478.217,26036.12,33626.82,27696.125,32101.45,30311.586,34304.367,44140.0,23367.287,39495.727,30294.654,39679.13,47042.58,24767.797,30635.248,54150.38,28325.344,19817.42,43722.016,35516.81,37566.316,20808.312,22343.543,19255.363,33649.28,42925.832,39965.44,32032.502,34470.23,30912.895,25605.992,20194.166,28794.842,26416.795,41422.06,24488.297,49802.555,28876.844,36105.637,42422.035,49268.12,28843.482,45368.484,35898.13,36879.453,25094.348,38151.566,32284.154,58537.965,14159.01,53482.934,19380.367,36312.35,19805.0,19714.018,18956.273,21790.361,15861.642,
54,610.1841753702334,0.41389948,8483.634,147295.22,140945.36,153451.25,122796.984,170713.95,127075.0,137415.5,120848.375,158578.98,164260.1,161715.52,130381.93,140277.98,158265.19,150336.31,147664.28,140004.97,190176.61,146350.02,136955.7,147848.03,155115.88,128455.91,136382.38,121768.58,150008.08,127396.13,145297.53,110233.76,145972.72,156951.92,166510.08,158188.6,167697.73,171555.1,142938.47,139504.17,133705.88,100326.91,131754.67,203701.25,0,136889.75,191206.72,154565.3,127050.305,168504.75,96279.99,157399.55,180911.52,184791.61,179787.92,186590.14,224916.28,209146.06,181638.42,201625.17,121255.75,
58,536.1655557126326,0.4131622,282932.06,212762.39,224480.75,191820.61,184324.61,247141.86,122986.21,237934.95,189163.72,207243.27,175457.38,190311.4,174750.84,230954.16,190151.6,203041.03,195672.72,240530.94,355323.38,162724.52,209153.14,202783.38,296102.62,242598.8,215017.11,179631.6,172029.88,176484.56,170046.53,145926.08,236154.92,191581.36,240217.5,178176.19,199241.56,248767.9,197846.94,199919.66,200110.75,153238.11,158926.22,302719.2,222877.27,148614.67,241060.7,162878.48,197839.56,284901.28,139534.92,195438.47,248573.44,199719.22,201217.61,213241.98,336600.0,258436.44,200306.55,291008.66,142806.39,
59,684.202379100472,0.41316226,12824.439,13876.434,13899.049,32615.125,13645.543,25743.816,34110.19,10936.23,12797.02,22289.0,27840.941,36651.54,15386.151,11683.453,25014.049,13099.755,2496.5588,12150.44,13077.892,3096.6375,12361.368,17361.06,13459.79,14342.01,8384.4795,16291.75,4345.711,12380.787,31142.941,12281.959,11436.562,27754.56,21657.348,35701.152,25232.217,29250.758,17996.34,12486.919,12384.775,9777.255,19612.428,14139.803,10415.773,29139.443,30421.924,35187.355,9366.349,13169.134,8360.135,14857.914,26881.818,49027.836,27735.57,33395.38,23688.293,36342.04,41996.47,15774.642,17248.295,
62,702.412138037567,0.42276946,13974.049,3247.6526,23519.748,27232.285,4487.9854,18599.219,20574.996,28177.232,27554.2,21453.432,28506.51,27765.033,5616.9434,31623.264,28086.451,5960.8896,32630.375,2790.1626,1801.6675,15121.122,24840.137,3228.7805,3264.6702,25606.033,20485.89,12322.509,17333.453,17769.17,27228.043,17599.797,27087.39,26256.24,24040.28,21297.414,28294.91,25658.457,26900.857,27890.053,18850.34,19674.525,27434.82,39596.156,3242.3403,3181.5312,4144.587,23800.096,18475.09,26433.123,24087.49,33116.95,18356.053,30188.793,2455.1333,29711.96,26336.977,23024.262,22596.0,2801.13,2465.9563,
68,1325.8985626930637,0.41240856,29026.73,35026.727,24752.58,33822.07,26754.658,34626.184,30521.797,34576.406,44747.152,23727.348,43607.63,33272.9,41600.406,50979.836,26245.871,36679.004,57850.25,30930.6,20243.45,45104.883,39458.48,40249.336,24252.395,22608.254,18593.332,41399.02,43986.54,42805.62,38224.547,35526.492,36212.156,26209.828,20864.826,28038.088,24261.248,43272.113,28580.31,53973.1,30941.973,40035.664,43515.93,49839.16,34719.348,47157.016,35963.83,37214.45,24145.646,42189.297,34743.266,61011.164,13322.351,57130.55,20634.46,39996.707,19724.27,21146.115,19335.758,25681.342,17673.527,
69,604.3834185788872,0.41476312,2063.6077,2532.7869,12128.409,35742.355,2380.0,22328.139,36124.336,24487.043,33863.02,44010.734,45175.125,35455.85,39106.0,40318.36,8981.077,41652.11,13860.268,9320.551,28843.037,5343.052,39934.99,43923.81,26019.895,11927.065,23713.672,16421.482,8436.408,33756.67,35873.02,32976.812,41394.805,13363.097,44554.363,40483.625,8879.29,24480.008,13421.336,39800.33,31337.85,11445.262,21141.654,43885.316,34411.496,34377.21,45246.727,36707.4,30552.947,35994.234,13028.077,41272.992,6987.178,38274.848,22258.395,11082.772,42087.934,43822.457,38559.68,46868.312,44964.094,
74,885.4256208242984,0.41594073,47060.094,10366.964,8941.167,6890.498,20687.002,15024.085,24427.723,7551.8804,7791.462,5830.3,8469.008,9722.005,2231.5803,4881.0835,5284.8555,10190.912,6986.712,2754.2676,9799.411,36410.504,10292.141,9093.108,4378.3706,2954.1616,8074.307,38811.445,34657.766,13189.137,5623.86,40135.613,11334.195,3272.9873,6294.255,4628.633,2506.1118,8194.847,7268.599,2907.9307,14319.284,16481.049,11064.109,6042.127,14574.63,13084.257,8279.998,15203.918,38920.09,7619.752,8866.512,14825.953,0,10815.491,1645.043,1006.18677,1151.0205,0,1609.3527,0,5800.8853,
75,360.3621450188167,0.41240853,68225.125,92754.586,46296.63,63721.086,234381.36,57018.234,275004.97,228992.27,51185.746,41862.375,37315.68,70439.195,170087.66,30780.97,53959.26,269962.12,282550.97,64967.297,281906.9,228654.92,130288.695,51000.848,143817.89,59337.93,85167.93,192056.45,46814.1,65332.4,74625.164,279601.3,71594.055,53789.414,92782.484,56051.83,26996.54,64411.273,53478.094,37755.027,84917.766,85856.195,54135.523,66390.336,312667.12,302843.0,51462.62,34520.297,47405.355,46091.715,340011.16,57294.93,40726.297,439499.8,56122.445,38931.926,54325.53,55658.008,44622.48,59308.273,117992.7,
79,647.4574879879565,0.41419864,8295.345,7100.9644,9442.922,17606.29,13321.203,19855.928,16068.294,5165.964,20669.848,7349.76,19175.22,14393.474,26815.293,13203.274,18288.38,14523.8125,21901.076,11302.667,14925.3545,12285.204,9317.096,4960.8345,10128.309,4307.5684,14016.273,22650.818,22039.111,2751.5713,9076.103,22417.43,7041.869,19656.473,11194.033,13037.5,7917.4717,9730.957,13065.577,12368.963,8454.626,26317.47,21109.75,15894.801,7474.817,24304.863,18201.344,12100.845,14046.067,10256.785,12845.74,17862.322,30567.648,18098.717,32167.617,40372.676,33508.01,30968.852,38454.453,41251.57,38790.0,
80,923.3225179643148,0.4146684,49040.566,18943.3,18694.44,14251.1,30542.537,24361.16,28186.244,14104.176,14606.585,10568.923,18425.951,21497.697,5388.836,11411.935,11988.123,16896.828,15084.545,7735.898,20504.525,39915.22,18259.559,14853.527,11562.15,8606.907,17694.162,40004.496,42074.473,21576.021,12596.001,37615.1,19072.494,10663.336,14194.219,11572.082,7266.259,21426.305,13796.944,4395.498,20739.21,22590.832,20185.393,17206.111,20525.076,18864.861,21367.754,26279.488,35141.96,14106.019,15970.001,27023.72,4913.11,21510.764,3789.578,4460.8936,3925.5457,3898.7544,4573.8164,5451.308,11892.254,
81,391.28365590713275,0.41259697,5338.617,13267.045,14007.472,13856.06,13187.309,9643.692,12740.976,15475.075,13723.06,14555.339,10046.253,13778.978,11774.737,17462.14,23624.053,12138.32,13158.012,14483.011,15077.776,7521.374,12943.241,25422.025,14840.626,13756.969,11349.245,12192.089,6762.3086,13048.929,12801.518,38379.574,10087.695,14871.457,21093.91,17781.225,13258.873,12059.381,20350.541,10774.046,13444.582,57273.703,13092.873,12528.215,19157.13,10760.343,12787.833,12038.134,10025.108,13082.037,13573.833,17593.621,21923.904,12843.49,12740.905,5885.86,10707.53,13775.1455,14241.5625,16892.361,19975.377,
82,863.6856698048857,0.41655198,18910.156,17872.842,23070.03,18741.842,18467.521,21364.299,20372.535,18335.936,23402.332,17004.621,23146.578,19969.135,23874.385,23641.756,16608.879,23448.621,24633.328,13954.964,14934.678,23200.812,22494.379,23480.914,15579.834,14047.215,15775.1455,23747.922,22871.15,22079.209,20528.066,22967.982,22568.016,17514.705,18308.062,20588.338,14972.371,22301.871,20086.406,21871.246,21565.963,26976.527,24862.463,25000.682,23009.043,25352.172,21000.887,21971.246,20263.135,23342.586,22481.582,29789.32,14009.749,25035.475,15417.181,24013.34,16893.963,17751.307,19886.74,22020.43,20056.02,
83,870.3755819461045,0.41533002,217056.83,59382.926,59398.26,31115.6,105911.695,81405.18,93404.5,43322.445,57445.016,33174.03,38485.555,56087.906,15286.681,27004.904,32537.088,56275.004,42701.367,21774.22,66659.016,217689.31,48286.535,59192.492,24733.67,21504.672,52616.527,216828.33,166368.72,76317.53,32719.732,220632.33,67669.14,24275.22,32787.277,30970.373,13231.014,48465.24,41642.82,16180.244,69572.2,102467.29,63998.234,42154.22,93204.97,27547.852,41966.77,35458.242,174423.3,39779.387,54823.176,23711.73,14851.596,59516.793,18034.705,13378.941,16160.481,15402.531,15795.761,17178.037,40692.07,
87,522.596035922191,0.41984963,7657.7065,4262.236,4587.9194,3964.655,4314.1504,7672.5347,17035.227,7126.5625,11410.29,3849.4343,3837.3906,6352.136,6191.8774,4222.103,4409.5034,3121.4236,5452.5244,4634.125,3385.9595,6912.1406,6756.3203,7858.039,6998.5312,2658.4688,4318.115,3728.6904,2655.1558,7773.3,9933.195,6817.2017,5757.267,7609.234,4204.7188,5159.9185,3205.0178,2134.0798,5816.3696,2983.869,3754.077,11256.945,6244.072,3603.38,8256.632,8173.9834,16886.488,6222.506,5652.95,3874.2783,7428.8057,4084.7593,2110.004,5068.3696,2035.7924,1620.6412,2604.8337,2982.47,2357.4497,3100.8342,3786.791,
89,326.37766020956053,0.4148568,8357.119,7565.0737,21840.455,21274.53,19844.055,14504.077,22763.252,54004.523,28172.664,9782.877,19619.676,11747.32,11723.089,9318.662,10893.45,32270.623,15144.98,18020.41,13016.64,25693.227,26876.43,16859.578,20060.188,13024.723,16705.092,17992.533,11598.059,22041.082,35498.934,26199.566,24013.12,13166.405,15449.741,9068.57,4565.8286,5946.2285,187458.92,6748.1406,21306.54,11989.784,13849.242,80434.39,39655.984,20560.344,19103.443,10680.891,17805.006,26039.48,47164.617,13654.124,3489.2266,23459.002,5374.9043,2965.0005,6493.485,15656.446,4636.7573,7595.1313,9663.2295,
90,869.3723966972447,0.41523394,352663.2,101641.31,102693.5,47769.742,177576.53,140410.69,159969.66,75298.836,98109.375,55438.984,65091.36,82590.18,22231.705,43934.5,55921.562,105552.28,64744.035,31621.54,92357.195,377529.75,80142.22,107746.01,40995.883,35532.46,90159.9,383463.2,263053.7,124766.82,54841.945,360178.34,119458.57,37304.59,50424.332,43615.27,20345.209,81134.805,64056.434,25609.076,112119.9,169857.86,105537.055,68453.6,159318.36,42143.227,67366.07,57712.332,286894.53,75315.234,92278.18,40234.586,23451.803,107926.72,26583.904,19667.695,25729.854,23392.248,25949.484,27464.201,62696.074,
92,776.2316000880747,0.41570482,8766.615,9156.223,9854.894,10033.835,7362.3057,9662.26,8339.159,5563.481,7152.641,8788.85,7805.669,7448.938,7731.7676,7689.1914,7587.273,5336.305,7794.7373,7219.0225,5938.3477,7848.454,5640.358,10061.315,6708.8447,7787.4097,5164.109,6528.3843,6402.604,8768.863,8090.5166,5986.694,7136.844,7281.2637,8868.857,6756.298,10519.928,7429.075,9449.464,6979.8267,7954.705,9079.583,7862.0527,9120.697,6211.5103,9202.254,12688.441,9056.393,5384.5723,9401.214,7116.205,6587.4014,11868.903,7408.302,8889.922,10023.901,7000.1577,8599.561,7784.4585,5538.409,5292.659,
94,722.491481363006,0.41692883,1688.9929,3622.7324,11396.598,20480.58,2885.4993,14779.431,12257.385,15021.896,21220.13,19283.64,21968.984,16345.065,18810.078,22908.031,6364.334,14715.298,15346.99,7706.7856,13857.875,9641.621,16270.231,18149.945,12925.222,6515.5933,11329.716,5611.1123,7084.538,15994.349,17378.045,15655.249,18897.742,11085.464,16573.152,17585.604,5636.493,16225.352,8743.224,18847.16,12681.036,8080.2715,13423.413,19381.926,14258.121,16810.244,20576.0,22036.018,12480.536,19579.613,12138.631,15795.519,4792.391,16628.254,15023.621,10286.571,18828.486,19277.264,17514.848,21975.053,17508.936,
96,698.498122999376,0.41561073,21490.336,19669.406,16019.908,23026.04,14301.103,18338.6,17584.422,17309.434,25483.37,22875.768,27284.004,20814.432,27336.984,25234.992,14747.038,19233.64,23187.693,26960.77,18560.562,38595.516,21519.979,21963.457,12688.584,12737.488,13943.425,29976.5,17255.025,33907.67,22229.25,26718.963,23994.215,20207.746,26172.236,20823.492,13901.184,32091.0,17478.352,22955.63,18760.78,19123.344,22168.73,22238.256,19469.297,20832.234,25101.025,27805.926,19254.701,22989.994,18616.904,35247.895,30023.148,21955.783,21780.406,31981.902,23043.326,25756.553,25242.73,33894.63,26045.506,
102,332.33107293613745,0.41617575,163942.89,238284.72,148800.3,148130.92,561910.4,132726.84,596920.75,434506.1,103402.01,96235.32,83150.0,127304.63,366191.9,56454.61,107866.125,712167.25,674639.7,126669.25,402658.5,344960.72,232817.69,103746.91,502452.44,151766.66,452756.25,296623.25,88559.0,141310.83,144810.52,460575.06,169160.23,126474.52,239799.52,133785.61,55133.668,126849.79,155032.86,86083.86,200624.55,163784.22,109512.64,188227.3,661400.06,704239.94,92987.71,73845.39,107877.86,124552.51,994805.5,134801.3,61302.883,1325642.5,97276.65,58909.055,109936.83,111881.35,84477.3,126305.516,219132.02,
103,638.3080513786908,0.41881293,29972.762,26713.674,30398.635,31519.244,31120.48,27674.826,33140.59,32013.65,33928.535,23479.771,31832.732,32033.045,34251.797,37189.754,28240.285,38124.29,38922.84,29238.707,23880.1,38384.273,32517.045,31375.682,24008.164,25742.445,23817.953,28036.363,32395.035,26215.074,32294.443,36639.984,35266.45,26388.844,25983.068,30487.398,26199.89,32307.006,28809.484,32534.074,32135.916,38365.184,37067.02,35972.957,37141.47,35487.992,30915.287,35338.145,28125.969,29396.455,32071.88,45790.402,35870.28,37456.312,41689.3,36532.836,39005.684,42332.117,41717.15,48953.43,46287.562,
105,885.3678080212516,0.4158924,998890.75,195608.97,180274.44,132141.86,354972.5,257795.06,404963.38,150035.11,139571.06,119482.914,160675.88,179297.2,46127.184,98207.92,110366.04,187136.03,153290.73,71322.45,194884.19,728928.6,198149.89,165931.53,86606.45,72014.87,153721.7,702800.2,612136.8,220103.4,120638.71,740293.94,208088.8,74529.9,121481.016,107814.25,49823.355,167939.84,150163.84,51815.117,234396.4,278147.9,201937.08,128526.17,238456.48,225634.5,164986.75,259514.61,632016.3,149571.8,160911.67,262221.28,35603.44,199296.98,30083.77,31950.758,31910.387,31395.09,32101.678,34871.668,111112.03,
109,793.6075884628234,0.41579974,12724.099,16812.227,16414.664,18132.918,13620.152,20865.363,19908.34,17732.678,23374.012,17470.889,20086.262,20140.002,30671.926,24339.215,14279.938,24108.51,22782.129,14000.125,14430.014,20694.79,23503.197,21729.502,15448.038,12460.461,12515.776,18840.162,18330.287,20198.408,20388.715,18373.762,20342.027,17417.895,15423.451,17736.07,13374.139,19142.35,15852.33,23351.115,18414.271,24002.758,23135.365,25981.266,18732.04,22687.158,20582.646,20805.973,15670.712,21962.234,18345.396,32767.498,10483.859,23003.82,16874.912,20882.094,16120.549,17046.605,16304.703,19482.605,17134.598,
110,792.6042314819006,0.41598812,23594.791,26011.773,28971.863,31967.58,22284.088,34381.215,32220.568,33736.08,40695.832,27229.127,37884.754,32724.477,41555.074,40059.1,25029.543,38439.59,43113.13,23939.088,23533.666,29929.398,36245.945,36801.848,21734.104,19740.254,24192.14,28502.125,31749.49,37655.824,31939.303,32362.824,33921.54,24720.588,28472.318,32342.264,21083.186,35477.645,24791.766,43166.445,31444.576,43257.797,38285.438,42630.05,34941.594,40855.94,35775.035,39617.87,29505.27,41798.594,31901.53,53245.742,19655.285,45442.918,25203.66,35496.57,31394.16,26724.334,25536.23,33173.992,29323.07,
